,Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock_Movement_Label
0,Ticker,ASTRAZEN.NS,ASTRAZEN.NS,ASTRAZEN.NS,ASTRAZEN.NS,ASTRAZEN.NS,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,
2,2020-01-10,2501.8388671875,2594.7558381537683,2495.9079967002913,2575.035742049347,23297,,,,,,,-1.1054671143143997,,0.0292572298807287,0.0371394705649941,-0.0023706045041486,Healthcare,11.0,
3,2020-01-13,2483.20556640625,2526.550434674608,2473.172608589933,2526.550434674608,12700,,,,,,,-1.1191495591827958,-0.0074478420755358,0.0174552074362042,0.0174552074362042,-0.0040403251152649,Healthcare,11.0,
4,2020-01-14,2495.710205078125,2519.6313330621306,2482.069155480192,2485.0345905524505,12028,,,,,,,-1.1099673948826676,0.005035684053323,-0.004277585796601,0.0095848980924677,-0.0054657987013785,Healthcare,11.0,
5,2020-01-15,2506.53369140625,2519.631028056603,2475.8413938581857,2495.9570225277303,20502,,,,,,,-1.1020197018406794,0.0043368361863897,-0.0042196396221532,0.005225278517204,-0.0122449172150743,Healthcare,11.0,1.0
6,2020-01-16,2511.37744140625,2560.1589448596656,2485.9241237112165,2506.533993987605,18105,2499.733154296875,,,,,,-1.0984629330690412,0.0019324495882927,-0.001928601945207,0.0194242022919901,-0.0101352020112042,Healthcare,11.0,1.0
7,2020-01-17,2497.835205078125,2533.1238323084845,2490.9653291224763,2533.1238323084845,7356,2498.932421875,,,,,,-1.1084070060022069,-0.005392354054332,0.0141276843078428,0.0141276843078428,-0.0027503319441098,Healthcare,11.0,0.0
8,2020-01-20,2462.4970703125,2518.4450381150655,2458.345509755776,2518.4450381150655,18871,2494.79072265625,,,,,,-1.134355821317267,-0.0141475044845961,0.0227200139553731,0.0227200139553731,-0.0016859149222041,Healthcare,11.0,0.0
9,2020-01-21,2519.087890625,2540.3896497670007,2456.764275270808,2471.1961573608955,11564,2499.466259765625,,,,,,-1.092801145198785,0.0229810711227844,-0.019011537248199,0.0084561397088513,-0.0247405481905315,Healthcare,11.0,1.0
10,2020-01-22,2500.10888671875,2548.4948540724135,2492.9424186239744,2548.4948540724135,27591,2498.181298828125,,,,,,-1.1067374400964474,-0.0075340777020452,0.0193535440039043,0.0193535440039043,-0.0028664623900366,Healthcare,11.0,0.0
11,2020-01-23,2505.29833984375,2520.6197540349426,2483.6012886578947,2500.1583007677323,61138,2496.965478515625,2498.34931640625,,,,,-1.102926821295543,0.0020756908439339,-0.0020516674578319,0.0061156046557506,-0.0086604660374335,Healthcare,11.0,1.0
12,2020-01-24,2490.96533203125,2529.318338583623,2471.195765904018,2505.7925066266744,15045,2495.59150390625,2497.261962890625,,,,,-1.113451558243393,-0.0057210782382883,0.0059523809523811,0.0153968447730654,-0.0079365079365077,Healthcare,11.0,0.0
13,2020-01-27,2519.5322265625,2589.7141854230454,2466.2533430571975,2490.96530040246,34218,2506.99853515625,2500.89462890625,,,,,-1.0924748690312254,0.0114682023727545,-0.01133818645337,0.0278551542705598,-0.0211463393655388,Healthcare,11.0,1.0
14,2020-01-28,2603.948486328125,2665.629436957615,2520.619715696612,2520.619715696612,68544,2523.970654296875,2511.71845703125,,,,,-1.0304879546461132,0.033504735075684,-0.0320009290003339,0.023687469607537,-0.0320009290003339,Healthcare,11.0,1.0
