,Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock_Movement_Label
0,Ticker,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,
2,2020-01-10,126.81319427490234,129.63872666439832,118.81554276433016,120.68325691261208,10302032,,,,,,,-1.2910320211166797,,-0.0483383247093511,0.0222810599926286,-0.0630663990155084,Financial Services,9.0,
3,2020-01-13,126.98080444335938,129.7584435450483,125.52015985573476,127.38787388062407,2298966,,,,,,,-1.290604578344651,0.001321709222888,0.0032057556970845,0.0218744802717634,-0.0115028771004214,Financial Services,9.0,
4,2020-01-14,129.71055603027344,133.61360279465967,125.71172305949163,127.10053536268805,4861706,,,,,,,-1.2836431117701517,0.0214973562254575,-0.0201218832719846,0.0300904327591911,-0.0308288939093631,Financial Services,9.0,
5,2020-01-15,133.1586456298828,134.76296965498625,127.86678634796823,128.82458999102417,4601172,,,,,,,-1.274849725365092,0.0265829528847645,-0.0325480603858441,0.0120482152511725,-0.0397410116097411,Financial Services,9.0,1.0
6,2020-01-16,131.4346160888672,134.52352419390306,130.64441635939525,133.94885075374316,1676476,129.61956329345702,,,,,,-1.2792463796543558,-0.0129471844119502,0.0191291665749304,0.0235014807891047,-0.0060121127370103,Financial Services,9.0,0.0
7,2020-01-17,130.7641143798828,132.94312606781608,129.4471345936858,131.45852774948247,1282408,130.4097473144531,,,,,,-1.2809563063955345,-0.0051014088140298,0.00531042765741,0.0166636825268668,-0.010071415941923,Financial Services,9.0,0.0
8,2020-01-20,130.93174743652344,135.05030578413044,130.0218369517426,130.9796405388641,1524986,131.19993591308594,,,,,,-1.2805288052536068,0.0012819500016161,0.0003657867803519,0.031455765528553,-0.0069495023368717,Financial Services,9.0,1.0
9,2020-01-21,134.81085205078125,135.81654871908242,127.91466929159436,130.21339200634912,2768254,132.2199951171875,,,,,,-1.2706362358195984,0.0296269215847625,-0.0341030412203041,0.0074600572060945,-0.0511545076251664,Financial Services,9.0,1.0
10,2020-01-22,134.71505737304688,136.72645058311033,132.22477702454918,135.81654017471845,2334974,132.53127746582032,,,,,,-1.2708805333044904,-0.0007105858043111,0.008176389656439,0.0149307230333843,-0.0184855382691314,Financial Services,9.0,0.0
11,2020-01-23,133.3502197265625,136.24756993725512,131.98534659506743,134.66719975231803,1300492,132.91439819335938,131.2669807434082,,,,,-1.2743611693085746,-0.0101312924709294,0.0098760994054305,0.0217273748527275,-0.0102352522125106,Financial Services,9.0,0.0
12,2020-01-24,128.41751098632812,132.27267913238396,126.95686638507212,129.3034822133672,2160330,132.44507751464843,131.4274124145508,,,,,-1.2869406608569984,-0.0369906307642312,0.0068991465434444,0.0300205798761064,-0.0113741855766968,Financial Services,9.0,0.0
13,2020-01-27,128.51327514648438,132.17687025782035,124.49050375727388,127.1484023675772,1783824,131.9613830566406,131.58065948486328,,,,,-1.2866964411986388,0.0007457250917006,-0.0106204808596733,0.0285075227221474,-0.0313023801208488,Financial Services,9.0,1.0
14,2020-01-28,130.11761474609375,131.5782592760741,127.86677061587548,128.87246724033304,2422412,131.02273559570312,131.62136535644532,,,,,-1.2826050225690586,0.0124838433833445,-0.0095694000246656,0.0112255710560833,-0.0172985351338516,Financial Services,9.0,1.0
15,2020-01-29,129.5668487548828,131.60218097463374,128.82455696776518,130.7401637628249,673324,129.99309387207032,131.2621856689453,,,,,-1.2840095969107557,-0.0042328319058544,0.0090556729535173,0.0157087421613641,-0.005729025551296,Financial Services,9.0,0.0
16,2020-01-30,128.24989318847656,130.47679819822721,127.5794336071735,130.26128654730852,669920,128.97302856445313,130.94371337890624,130.50233001708983,,,,-1.28736812308566,-0.0101642941775769,0.0156833920779646,0.0173637962136778,-0.0052277593737856,Financial Services,9.0,0.0
17,2020-01-31,127.07659912109375,129.7823914440835,126.0948416345737,129.01614561958388,539922,128.70484619140626,130.57496185302733,130.51989034016927,,,,-1.290360280859759,-0.0091484993726937,0.0152628140185109,0.0212926088808163,-0.0077257142015936,Financial Services,9.0,0.0
18,2020-02-03,121.85655975341797,124.849703266787,120.70719837333402,122.74252368588975,641216,127.37350311279296,129.6674430847168,130.17827402750652,,,,-1.303672528666427,-0.0410778963536906,0.0072705477182728,0.0245628427343245,-0.0094320845952793,Financial Services,9.0,0.0
19,2020-02-04,125.71171569824219,126.93290937619905,122.64674726705998,122.64674726705998,844044,126.49232330322266,128.75752944946288,129.91168467203775,,,,-1.2938410336036417,0.0316368355763964,-0.0243809291294643,0.0097142392113096,-0.0243809291294643,Financial Services,9.0,1.0
20,2020-02-05,132.77552795410156,134.09250794282573,126.19062801048065,126.19062801048065,1699772,127.1340591430664,128.56357650756837,129.88614349365236,,,,-1.2758267596515953,0.0561905643927039,-0.0495942290351668,0.0099188458070333,-0.0495942290351668,Financial Services,9.0,1.0
21,2020-02-06,136.00811767578125,140.79713590380172,132.17690309336487,132.560018705637,6374216,128.68570404052736,128.82936630249023,130.1910435994466,130.0481735229492,,,-1.2675829453043772,0.0243462765427462,-0.0253521556585607,0.0352112676056337,-0.0281690140845071,Financial Services,9.0,1.0
22,2020-02-07,138.6181182861328,142.56905774936084,134.26010940976968,136.79828285532932,6398004,130.99400787353517,129.84942703247071,130.7146438598633,130.63841972351074,,,-1.260926870042626,0.0191900355284184,-0.0131284095708688,0.028502330806948,-0.0314389556736545,Financial Services,9.0,1.0
23,2020-02-10,136.12783813476562,139.83932712524737,134.57140726778943,138.73785881920273,1419072,133.8482635498047,130.61088333129882,131.06104990641276,131.09577140808105,,,-1.2672776318181616,-0.0179650408053209,0.0191733059174361,0.0272647317502199,-0.011433597185576,Financial Services,9.0,0.0
24,2020-02-11,140.00692749023438,141.276014186211,135.76864414166377,136.91800540188936,1885370,136.70730590820312,131.59981460571288,131.40745493570964,131.6105899810791,,,-1.257385101297419,0.0284959300655937,-0.0220626374974228,0.0090644564431652,-0.0302719545707209,Financial Services,9.0,1.0
25,2020-02-12,140.15060424804688,143.6465960422816,138.1631647662483,140.5097805862607,4344016,138.18232116699218,132.6581901550293,131.7698247273763,131.9601879119873,,,-1.2570186939833476,0.0010262117767174,0.0025627883671348,0.0249445360081881,-0.0141807414421211,Financial Services,9.0,1.0
26,2020-02-13,136.43911743164062,140.5097826580861,135.577100053186,140.1506063145762,1309012,138.26852111816407,133.47711257934571,131.9757512410482,132.21041297912598,131.6922430419922,,-1.2664838011886943,-0.0264821321058126,0.0272025277852967,0.0298350304741965,-0.0063179636066358,Financial Services,9.0,0.0
27,2020-02-14,132.89524841308594,137.80399182293866,131.98533792351247,136.96591367979306,1022306,137.1239471435547,134.05897750854493,132.2742670694987,132.31696968078614,131.93552520751953,,-1.2755214461653797,-0.0259739954733308,0.0306306306306305,0.036936936936937,-0.0068468248521958,Financial Services,9.0,0.0
28,2020-02-17,131.88955688476562,133.8291180038337,130.26129363728427,132.65580271149906,814536,136.2762908935547,135.0622772216797,132.49935251871744,132.36486015319824,132.13187530517578,,-1.278086180624083,-0.0075675506861935,0.0058097535910512,0.014705949165958,-0.0123456571235885,Financial Services,9.0,0.0
29,2020-02-18,131.53036499023438,132.41633616604764,127.38786770404582,130.88384469356407,1218750,134.5809783935547,135.6441421508789,132.59353586832682,132.2008358001709,132.2046676635742,,-1.2790021989092624,-0.0027234293830032,-0.0049153691371441,0.0067358679942768,-0.0314946080055059,Financial Services,9.0,0.0
30,2020-02-19,135.64892578125,137.44480741118713,132.3205526477977,132.34450650515012,1559218,133.6806427001953,135.93148193359374,132.99900767008464,132.24752922058104,132.30427886962892,,-1.2684989635895565,0.0313126234487482,-0.0243600843653465,0.0132391879964697,-0.0245366715164385,Financial Services,9.0,1.0
31,2020-02-20,137.8997802734375,141.27603214482764,136.00811230213915,136.00811230213915,3287202,133.9727752685547,136.1206481933594,133.6423334757487,132.4750072479248,132.56288543701172,132.07233174641928,-1.262758789873186,0.0165932349203949,-0.0137177011272056,0.024483373829135,-0.0137177011272056,Financial Services,9.0,1.0
32,2020-02-24,138.54629516601562,144.53256810984493,137.20537587256754,138.21107265011568,5678530,135.1029846191406,136.11346588134765,134.4069798787435,132.98144645690917,132.87417266845702,132.46343510945638,-1.2611100347863955,0.0046882953061721,-0.0024195704078427,0.0432077446506682,-0.0096784926066864,Financial Services,9.0,1.0
33,2020-02-25,136.6067352294922,140.79712588070362,135.0503044161851,139.81538305981746,1591382,136.04642028808593,136.1613555908203,135.39032491048178,133.38611946105956,133.10117218017578,132.7842994689941,-1.2660563389600328,-0.0139993634199985,0.0234882110675942,0.0306748466257669,-0.011393514460999,Financial Services,9.0,0.0
34,2020-02-26,135.98416137695312,138.88151119558182,134.26011210809253,135.28974797500643,1704714,136.9371795654297,135.7590789794922,136.07515462239584,133.67944679260253,133.14810455322265,132.9934196472168,-1.2676440391322332,-0.004557416964055,-0.0051065756108298,0.0213065241517145,-0.012678309381057,Financial Services,9.0,0.0
35,2020-02-27,136.82223510742188,138.35471193047687,133.6135875531868,135.86443161241695,1258608,137.17184143066407,135.42624206542968,136.34493509928384,134.0422161102295,133.23239166259765,133.11553929646809,-1.265506766902191,0.0061630245903828,-0.0070003497183986,0.0112004954593221,-0.0234512142833794,Financial Services,9.0,1.0
36,2020-02-28,126.90897369384766,133.15863617506616,126.19062101256172,133.13469693165905,1785568,134.9736801147461,134.47322769165038,135.7383255004883,133.97517013549805,132.97474182128906,132.96468454996744,-1.2907877625450537,-0.0724535847977568,0.0490566037735848,0.049245236954599,-0.0056603773584905,Financial Services,9.0,0.0
37,2020-03-02,121.13819122314453,131.21907410788867,119.24653084986963,128.77667236026858,2052738,131.49205932617187,133.29752197265626,134.5729970296224,133.6782497406006,132.68356903076173,132.64382044474283,-1.3055045263235194,-0.0454718236444369,0.0630559286051535,0.0832180403467846,-0.015615722458579,Financial Services,9.0,0.0
38,2020-03-03,121.16213989257812,125.95115727963655,119.24653293775476,123.0777468474015,1477562,128.40314025878905,132.2247802734375,133.57528381347657,133.6435287475586,132.38952362060547,132.31816685994465,-1.3054434519522964,0.0001976971027203,0.015810276679842,0.0395256916996047,-0.0158102766798418,Financial Services,9.0,1.0
39,2020-03-04,121.37765502929688,123.53272035296864,117.47460843403347,121.95233570546075,1550620,125.4818389892578,131.20950927734376,132.33333231608074,133.42682571411132,132.03992523193358,131.8703936258952,-1.304893840981189,0.0017787333313015,0.0047346496851101,0.0177550416767533,-0.0321562201405302,Financial Services,9.0,1.0
40,2020-03-05,122.74252319335938,125.30465069831978,119.72544775588031,122.11995671099793,1042394,122.66589660644532,129.9188690185547,131.17279357910155,132.92517547607423,131.76695220947266,131.47130915323893,-1.3014131271505722,0.0112448058395349,-0.0050721336515194,0.0208740006177339,-0.0245805231877642,Financial Services,9.0,1.0
41,2020-03-06,119.7254409790039,121.52132259368896,115.22376732117776,115.87028031798778,779740,121.22919006347657,128.10143508911133,130.0585484822591,132.11104164123535,131.42597412109376,131.01714986165365,-1.309107349983316,-0.0245805783998963,-0.0322000122070312,0.0149999999999999,-0.0375999755859375,Financial Services,9.0,0.0
