,Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock_Movement_Label
0,Ticker,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,
2,2020-01-10,204.5609588623047,207.17237240678563,203.30360722735668,205.33471484982405,7800086,,,,,,,-1.30994021793812,,0.0037825203392802,0.0127659430176936,-0.0061465865331339,Metals & Mining,14.0,
3,2020-01-13,204.2707977294922,206.01174500511263,202.6265754862493,205.81830969852544,6614653,,,,,,,-1.3117249739921557,-0.0014184580206617,0.0075757865844463,0.0085227418454885,-0.0080492280909396,Metals & Mining,14.0,
4,2020-01-14,204.99620056152344,207.70433925194857,203.88393642921582,205.5281587475626,7981507,,,,,,,-1.307263083857067,0.0035511822546063,0.002594966075381,0.0132106774808851,-0.0054257792547418,Metals & Mining,14.0,
5,2020-01-15,206.6404266357422,207.9461408653737,203.11018410106269,204.17410049247863,9564560,,,,,,,-1.2971495913581883,0.0080207636517891,-0.0119353515835074,0.0063187743603201,-0.017083987834106,Metals & Mining,14.0,1.0
6,2020-01-16,202.7716522216797,207.70433380554428,202.1429837734983,206.9789403231035,6986058,204.64800720214845,,,,,,-1.320946088464016,-0.0187222533221063,0.0207488968764932,0.0243262878702192,-0.0031003764150133,Metals & Mining,14.0,0.0
7,2020-01-17,203.15855407714844,205.04457433282118,201.32088158435832,202.62659586191526,8678002,204.3675262451172,,,,,,-1.3185662885846443,0.0019080667895617,-0.0026184386753962,0.0092834892640383,-0.0090455088201319,Metals & Mining,14.0,1.0
8,2020-01-20,200.49876403808594,203.88393366569125,199.96680585925714,203.20690269180386,3977566,203.61311950683591,,,,,,-1.334926427272647,-0.0130921882720845,0.0135070092162936,0.0168837431185475,-0.0026531743543704,Metals & Mining,14.0,0.0
9,2020-01-21,198.41928100585938,201.65937762882206,197.93568537605407,199.2413994797954,4479791,202.29773559570313,,,,,,-1.3477171477080718,-0.0103715503793906,0.0041433396480845,0.0163295452263381,-0.0024372411156505,Metals & Mining,14.0,0.0
10,2020-01-22,196.92013549804688,200.98233561271059,196.33981487102352,198.85451791056929,6268889,200.35367736816409,,,,,,-1.356938262179932,-0.0075554426979716,0.0098231824167194,0.0206286680861236,-0.0029469847029894,Metals & Mining,14.0,0.0
11,2020-01-23,197.8873291015625,198.612722515046,196.0980194450365,196.92013788358452,5560681,199.37681274414064,202.01240997314457,,,,,-1.350989137903475,0.0049116033820991,-0.004887585386943,0.0036656890402073,-0.0090420627972984,Metals & Mining,14.0,1.0
12,2020-01-24,198.6610870361328,200.8856299768639,195.6144403456361,197.7906207697532,5749852,198.4773193359375,201.42242279052735,,,,,-1.346229819711211,0.0039100933752721,-0.0043816646700483,0.0111976782867722,-0.0153359006333363,Metals & Mining,14.0,1.0
13,2020-01-27,191.74566650390625,196.8717831123907,190.92354803303115,196.8717831123907,7942736,196.72669982910156,200.1699096679687,,,,,-1.388765973817934,-0.0348101414091667,0.0267339372093711,0.0267339372093711,-0.0042875465498896,Metals & Mining,14.0,0.0
14,2020-01-28,189.5695037841797,192.8579484567602,187.82855641003817,192.8579484567602,6308211,194.9567443847656,198.6272399902344,,,,,-1.4021513626567224,-0.011349214610189,0.0173469076351242,0.0173469076351242,-0.0091836890395806,Metals & Mining,14.0,0.0
15,2020-01-29,191.2620849609375,193.82513607484577,190.63341650150142,191.16535992494653,8978837,193.82513427734375,197.08940582275392,,,,,-1.3917404421006694,0.0089285520243001,-0.0005057198660713,0.0134007276686947,-0.0032869476434101,Metals & Mining,14.0,1.0
16,2020-01-30,187.1031494140625,191.2620748530183,186.3777559569714,190.82684173039718,8588693,191.66829833984377,195.52255554199215,198.56437276204423,,,,-1.4173216952605323,-0.0217446941861184,0.0199018152713938,0.0222279820087476,-0.0038769708546475,Metals & Mining,14.0,0.0
17,2020-01-31,183.13766479492188,188.74736210680186,182.07374854161117,188.40885403214256,6008376,188.56361389160156,193.5204666137695,197.1361531575521,,,,-1.4417130484807097,-0.0211941094073458,0.0287826605363969,0.0306310409612449,-0.0058093798154633,Metals & Mining,14.0,0.0
18,2020-02-03,175.83538818359375,179.51071821928383,174.3846011767294,177.86648113830267,7678833,185.38155822753907,191.05412902832032,195.2404591878255,,,,-1.4866287209003253,-0.0398731556368005,0.0115511045625709,0.0209021066444974,-0.0082508249440069,Metals & Mining,14.0,0.0
19,2020-02-04,183.04095458984375,184.10487092930032,176.99600892967717,176.99600892967717,9235507,184.0758483886719,189.51629638671875,193.7767761230469,,,,-1.4423079045950598,0.0409790456897476,-0.0330250990752972,0.0058124496883256,-0.0330250990752972,Metals & Mining,14.0,1.0
20,2020-02-05,189.85964965820312,191.0686387482857,182.12211948167456,183.863066723027,7411014,183.795361328125,188.8102478027344,192.6580576578776,,,,-1.4003667004581797,0.0372522918908428,-0.0315842936925857,0.0063678042820529,-0.0407539474051391,Metals & Mining,14.0,1.0
21,2020-02-06,187.63511657714844,190.87521341100057,186.32940238842156,189.9563698480314,7348886,183.9017547607422,187.78502655029297,191.64895528157552,194.89871826171876,,,-1.414049611209636,-0.0117167238276243,0.0123711025591979,0.0172680726985341,-0.0069587943480186,Metals & Mining,14.0,0.0
22,2020-02-07,190.92355346679688,191.89074475033317,186.52284493324098,187.63510900604058,6977770,185.4589324951172,187.0112731933594,190.83328857421876,194.21684799194335,,,-1.393822720067373,0.0175257006771243,-0.0172238804539545,0.0050658562863199,-0.0230495842636891,Metals & Mining,14.0,1.0
23,2020-02-10,184.5884552001953,190.48831294582558,183.37946614270953,189.4727591859041,5385023,187.2095458984375,186.2955520629883,189.77260131835936,193.23273086547852,,,-1.4327893620660246,-0.0331813343695349,0.0264605063215439,0.0319622250439854,-0.0065496461096365,Metals & Mining,14.0,0.0
24,2020-02-11,187.2965850830078,190.48831925206818,185.70072537756147,186.08759598549764,7530810,188.0606719970703,186.0682601928711,189.03108825683591,192.3477500915527,,,-1.4161318891763397,0.0146711769155627,-0.0064549446909262,0.0170410697431873,-0.008520495473738,Metals & Mining,14.0,1.0
25,2020-02-12,187.2965850830078,189.95636109753016,184.9269694035214,187.87690575307977,10581151,187.54805908203124,185.6717102050781,188.38951822916667,191.380558013916,,,-1.4161318891763397,0.0,0.0030984049699291,0.0142008783200375,-0.012651675835073,Metals & Mining,14.0,0.0
26,2020-02-13,188.84410095214844,190.5366857238066,186.08759984932362,188.31214278656512,6711481,187.78985595703125,185.8458053588867,187.78663635253903,190.68418045043944,193.47694580078124,,-1.4066132527918116,0.0082623816577049,-0.0028169170384523,0.0089628681177975,-0.0145967021947023,Metals & Mining,14.0,1.0
27,2020-02-14,187.63511657714844,190.53669054483632,187.10315839810534,189.08590356099236,3798528,187.13216857910157,186.29555053710936,187.05157165527345,189.90800857543945,192.799912109375,,-1.414049611209636,-0.0064020235151869,0.0077319587628865,0.0154639175257733,-0.002835067277102,Metals & Mining,14.0,0.0
28,2020-02-17,184.0081329345703,188.31213098981647,183.5245373158198,187.63510007519918,3484321,187.01610412597657,187.11282501220705,186.5357360839844,189.08347702026367,191.98940551757812,,-1.4363588741740958,-0.0193299831542292,0.0197109067017082,0.0233902599119169,-0.0026281208935611,Metals & Mining,14.0,0.0
29,2020-02-18,178.30172729492188,183.23439421489164,175.78702393779878,182.9442338647361,8152961,185.21713256835935,186.63890228271484,185.78455098470053,188.0775993347168,190.92162658691407,,-1.471458482152008,-0.0310117033885536,0.0260373617252469,0.0276647175257636,-0.0141036399101374,Metals & Mining,14.0,0.0
30,2020-02-19,181.92869567871094,182.41229134531233,178.3500759393258,179.89758797571767,4317249,184.1435546875,185.84580688476564,185.16232503255208,187.32802734375,189.9331573486328,,-1.4491493130430413,0.0203417456399053,-0.0111643064081558,0.0026581604666446,-0.019670452349667,Metals & Mining,14.0,1.0
31,2020-02-20,183.71798706054688,184.73354089142657,179.31726363218027,181.63853163964365,6207445,183.1183319091797,185.45409393310547,184.9366475423177,186.6195602416992,189.1710107421875,191.750510152181,-1.4381435363726385,0.0098351245533901,-0.0113187361464934,0.0055277866208331,-0.0239536884699061,Metals & Mining,14.0,1.0
32,2020-02-24,173.17559814453125,180.76804068457213,172.0633193400534,180.76804068457213,14690243,180.22642822265624,183.6792984008789,184.272509765625,185.34528579711915,187.9716925048828,190.70433146158857,-1.502988859588328,-0.057383542486459,0.0438424502146328,0.0438424502146328,-0.006422837954049,Metals & Mining,14.0,0.0
33,2020-02-25,168.72653198242188,175.4968715899793,168.33966133668625,175.06163842398442,10694830,177.17010803222655,182.09310607910157,183.7985860188802,184.19432907104493,186.70080322265625,189.51952260335287,-1.5303546810912407,-0.0256910685441733,0.0375465931002632,0.0401261113353692,-0.0022928856605428,Metals & Mining,14.0,0.0
