,Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock_Movement_Label
0,Ticker,JUSTDIAL.NS,JUSTDIAL.NS,JUSTDIAL.NS,JUSTDIAL.NS,JUSTDIAL.NS,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,
2,2020-01-10,573.2999877929688,578.0,566.5,572.0,1677002,,,,,,,-0.759746632297682,,-0.0022675524518556,0.0081981725224256,-0.0118611336782801,Consumer Services,6.0,
3,2020-01-13,584.5999755859375,589.0,569.0,575.9500122070312,2028116,,,,,,,-0.7104866755665731,0.019710427408991,-0.0147963799865651,0.007526555931947,-0.0266848721132803,Consumer Services,6.0,
4,2020-01-14,575.5999755859375,590.9500122070312,573.0999755859375,585.0,1468276,,,,,,,-0.7497203118060601,-0.0153951426203523,0.0163308283751986,0.0266678896319758,-0.0043432941383555,Consumer Services,6.0,
5,2020-01-15,581.5,585.0,574.2999877929688,575.9000244140625,1383443,,,,,,,-0.724000377176569,0.0102502165815009,-0.0096302245673903,0.0060189165950128,-0.0123817922734845,Consumer Services,6.0,1.0
6,2020-01-16,592.9000244140625,596.5,577.2999877929688,581.4000244140625,1924467,581.5799926757812,,,,,,-0.6743043315118357,0.0196045131798151,-0.0193961874286731,0.0060718088003035,-0.0263114116692955,Consumer Services,6.0,1.0
7,2020-01-17,592.2999877929688,599.6500244140625,588.5,590.0,1440384,585.3799926757813,,,,,,-0.6769200669032093,-0.0010120367623306,-0.0038831467843498,0.0124093141525825,-0.0064156472586269,Consumer Services,6.0,0.0
8,2020-01-20,579.9000244140625,597.4000244140625,570.3499755859375,589.25,2214118,584.4400024414062,,,,,,-0.7309751394133169,-0.0209352754253989,0.0161234267844441,0.0301776155599962,-0.0164684401208199,Consumer Services,6.0,0.0
9,2020-01-21,575.5499877929688,592.75,560.0,567.5,4107286,584.4300048828125,,,,,,-0.7499382232378102,-0.0075013561613298,-0.0139866005797995,0.0298844801873547,-0.0270176146690532,Consumer Services,6.0,0.0
10,2020-01-22,599.5999755859375,606.0,572.0,579.0999755859375,2704523,588.05,,,,,,-0.6450972818340946,0.0417860973035408,-0.0341894610318606,0.0106738236735388,-0.0460306482817421,Consumer Services,6.0,1.0
11,2020-01-23,616.4500122070312,620.7999877929688,592.7999877929688,593.9500122070312,2882355,592.7599975585938,587.1699951171875,,,,,-0.5716430365658693,0.0281021302654785,-0.0364993098458136,0.0070564936325714,-0.0383648697311076,Consumer Services,6.0,1.0
12,2020-01-24,608.5999755859375,623.9500122070312,604.5499877929688,614.9000244140625,2597554,596.0199951171875,590.6999938964843,,,,,-0.6058636455946076,-0.0127342630637459,0.0103517073296948,0.0252218817562641,-0.0066545973635138,Consumer Services,6.0,0.0
13,2020-01-27,598.0499877929688,611.0,596.2000122070312,605.0,1446816,599.6499877929688,592.0449951171875,,,,,-0.6518541326390925,-0.017334847545486,0.0116211225631479,0.0216537287373279,-0.0030933460809264,Consumer Services,6.0,0.0
14,2020-01-28,591.25,606.8499755859375,588.3499755859375,599.3499755859375,1042162,602.789990234375,593.6099975585937,,,,,-0.681497271250458,-0.0113702665860144,0.0136997472912261,0.0263847367204017,-0.0049049038715645,Consumer Services,6.0,0.0
15,2020-01-29,596.3499755859375,603.7000122070312,587.5,596.5,1322169,602.139990234375,595.0949951171875,,,,,-0.659264983809465,0.008625751519556,0.000251571091145,0.0123250388563729,-0.0148402380284196,Consumer Services,6.0,1.0
16,2020-01-30,581.7000122070312,600.9500122070312,578.0499877929688,591.0,1483071,595.189990234375,593.9749938964844,589.8433268229167,,,,-0.7231284653794444,-0.0245660501025628,0.0159876011652184,0.0330926587519972,-0.0062747538894041,Consumer Services,6.0,0.0
17,2020-01-31,562.2999877929688,587.7000122070312,559.0999755859375,585.0,2414622,585.9299926757812,590.9749938964844,589.1099934895833,,,,-0.8076988543681661,-0.0333505655955838,0.0403699318865877,0.0451716609736339,-0.0056909341570348,Consumer Services,6.0,0.0
18,2020-02-03,514.6500244140625,553.7999877929688,500.20001220703125,550.5,4252305,569.25,584.4499938964843,584.4466634114583,,,,-1.015419002149598,-0.084741178042583,0.0696589408049737,0.0760710415266745,-0.0280773564977148,Consumer Services,6.0,0.0
19,2020-02-04,528.9500122070312,534.8499755859375,508.20001220703125,530.0,4226979,556.7900024414063,579.7899963378907,581.3366658528646,,,,-0.9530811666719936,0.0277858488576766,0.0019850416272564,0.0111541038713447,-0.0392286596486143,Consumer Services,6.0,1.0
20,2020-02-05,525.4000244140625,534.2999877929688,517.0,529.5,2727856,542.6000122070312,572.3700012207031,577.5966674804688,,,,-0.9685566033079884,-0.006711386163234,0.0078035313959299,0.0169394041974619,-0.0159878645293752,Consumer Services,6.0,0.0
21,2020-02-06,530.4000244140625,541.6500244140625,521.25,525.4000244140625,2246244,532.3400146484375,563.7650024414063,573.430000813802,575.4674987792969,,,-0.9467601387304956,0.009516558370122,-0.0094268472282283,0.0212104062635138,-0.0172511764571855,Consumer Services,6.0,1.0
22,2020-02-07,534.0999755859375,539.4500122070312,527.0499877929688,533.0,1818858,526.7000122070312,556.3150024414062,569.55,573.5074981689453,,,-0.9306309677992504,0.006975774889834,-0.0020594937955777,0.0100169198008752,-0.0131997530710136,Consumer Services,6.0,1.0
23,2020-02-10,499.8500061035156,534.9000244140625,491.20001220703125,532.0,4504943,523.7400085449219,546.495004272461,564.2133321126302,569.2699996948243,,,-1.079936617120014,-0.0641265138513585,0.064319282792659,0.0701210720867495,-0.0173051791354644,Consumer Services,6.0,0.0
24,2020-02-11,505.20001220703125,514.3499755859375,500.25,508.95001220703125,3178450,518.9900085449219,537.890005493164,559.5233337402344,565.7500015258789,,,-1.0566143734150844,0.0107032230432896,0.0074228026710008,0.0181115660289346,-0.0097981236884902,Consumer Services,6.0,1.0
25,2020-02-12,505.70001220703125,511.54998779296875,501.54998779296875,508.1000061035156,1848092,515.0500061035157,528.8250091552734,553.2633361816406,561.9600021362305,,,-1.054434726957335,0.0009897070228001,0.004745884592745,0.0115680748363173,-0.0082064945894513,Consumer Services,6.0,1.0
26,2020-02-13,515.6500244140625,517.7999877929688,488.1499938964844,505.70001220703125,4830575,512.1000061035156,522.2200103759766,546.5433369954427,558.0975021362304,562.7940002441406,,-1.0110597092340996,0.0196757207175185,-0.0192960568911783,0.0041694235956823,-0.0533308042578426,Consumer Services,6.0,1.0
27,2020-02-14,507.6000061035156,520.7000122070312,505.3999938964844,516.0,1981818,506.8000122070313,516.7500122070312,539.8100056966146,553.8625030517578,560.1660009765625,,-1.0461520970249003,-0.0156113990679903,0.0165484511337286,0.0258077343301768,-0.0043341453518079,Consumer Services,6.0,0.0
28,2020-02-17,493.0,509.0,487.1000061035156,508.0,2571383,505.4300109863281,514.585009765625,532.8066731770833,549.5175018310547,556.502001953125,,-1.1097978001981916,-0.0287628170369608,0.0304259634888437,0.0324543610547667,-0.011967533258589,Consumer Services,6.0,0.0
29,2020-02-18,488.45001220703125,497.54998779296875,480.25,493.0,2539160,502.08001098632815,510.535009765625,525.9533406575521,545.1625030517578,553.0160034179687,,-1.1296325297496852,-0.0092291841642368,0.0093151554493977,0.0186303108987955,-0.0167878227087763,Consumer Services,6.0,0.0
