,Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock_Movement_Label
0,Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,
2,2020-01-10,1679.625244140625,1686.9033035283805,1666.1659092720474,1669.0571981398932,2536083,,,,,,,-0.3305395646006541,,-0.0062919071010622,0.0043331447971177,-0.0080132963680621,Financial Services,9.0,
3,2020-01-13,1686.0059814453125,1699.3656418082633,1680.4727723829606,1686.9032947724152,1807958,,,,,,,-0.2975352310041947,0.0037989053373344,0.0005322124221252,0.0079238511072767,-0.0032818442658244,Financial Services,9.0,
4,2020-01-14,1671.7491455078125,1690.9909364943321,1665.9665677466191,1690.8912620576098,2136892,,,,,,,-0.3712786476099165,-0.0084559818259235,0.0114503522261306,0.0115099750690614,-0.0034589984847498,Financial Services,9.0,
5,2020-01-15,1670.5526123046875,1681.5194773101166,1660.8818800263957,1670.901533668885,2490245,,,,,,,-0.3774677099563896,-0.0007157372900953,0.0002088658337531,0.0065648127000916,-0.0057889420584904,Financial Services,9.0,0.0
6,2020-01-16,1696.4248046875,1700.462532648457,1673.8430044817076,1673.8430044817076,3321282,1680.8715576171876,,,,,,-0.2436439169525905,0.0154872059654076,-0.0133114065199914,0.0023801396618348,-0.0133114065199914,Financial Services,9.0,1.0
7,2020-01-17,1692.9849853515625,1700.7116409225616,1685.0090828266602,1698.7675633631625,2295875,1683.543505859375,,,,,,-0.2614363662344989,-0.0020276874792402,0.0034156109248655,0.0045639244516952,-0.0047111478211048,Financial Services,9.0,0.0
8,2020-01-20,1613.026611328125,1703.8521769959898,1606.1473710594146,1703.8521769959898,8004034,1668.9476318359375,,,,,,-0.6750206785304032,-0.0472292280884189,0.0563075432420059,0.0563075432420059,-0.0042648027133577,Financial Services,9.0,0.0
9,2020-01-21,1620.2047119140625,1625.6881443486204,1580.4248777301123,1600.1652831755619,5745469,1658.6387451171877,,,,,,-0.6378919871246026,0.0044500819363589,-0.0123684547953367,0.0033844071642525,-0.0245523506328749,Financial Services,9.0,1.0
10,2020-01-22,1580.72412109375,1632.966304970893,1571.2527372082939,1628.28038939547,5479162,1640.673046875,,,,,,-0.8421051568254859,-0.0243676558461993,0.030085115844765,0.0330495265935431,-0.0059918006937874,Financial Services,9.0,0.0
11,2020-01-23,1601.0128173828125,1603.5551849270103,1576.5368401728458,1583.2166096812628,3495683,1621.5906494140625,1651.231103515625,,,,,-0.7371619710169204,0.0128350646506388,-0.0111155935220065,0.0015879745100066,-0.0152878084074166,Financial Services,9.0,1.0
12,2020-01-24,1638.0009765625,1644.0328011361282,1582.2195605840118,1600.613935905978,4252937,1610.59384765625,1647.0686767578125,,,,,-0.5458408922148626,0.0231029750530993,-0.022824797537656,0.0036824303891971,-0.0340545682063943,Financial Services,9.0,1.0
13,2020-01-27,1613.4752197265625,1624.0931643867411,1603.5552395643624,1623.7940193586626,1874429,1610.6835693359376,1639.8156005859375,,,,,-0.6727002537065623,-0.014972980594558,0.006395387735703,0.006580791902077,-0.0061482073234947,Financial Services,9.0,0.0
14,2020-01-28,1621.152099609375,1633.0660554230208,1605.3996433119164,1615.1202745941964,1981104,1610.873046875,1634.7558959960938,,,,,-0.6329916287415198,0.0047579781758987,-0.0037207027129854,0.0073490672568703,-0.0097168281133239,Financial Services,9.0,1.0
15,2020-01-29,1635.508544921875,1641.24122462148,1618.161055019071,1628.0810346877784,2227493,1621.829931640625,1631.2514892578124,,,,,-0.5587329831136881,0.0088557053443407,-0.0045414071709735,0.0035051358902431,-0.0106067864681396,Financial Services,9.0,1.0
16,2020-01-30,1623.345458984375,1635.3592112003596,1612.6278396482276,1632.866741587302,1590156,1626.2964599609377,1623.9435546875,1642.9195556640625,,,,-0.621646487725255,-0.0074368831488318,0.0058652226796407,0.0074006134365884,-0.0066021802548749,Financial Services,9.0,0.0
17,2020-01-31,1686.6541748046875,1723.791971767285,1678.0801037390809,1704.5002814440163,9495046,1636.027099609375,1623.3104736328123,1643.3881510416666,,,,-0.2941824539117879,0.0389989176178931,0.0105807739997414,0.022018619772425,-0.0050834789927221,Financial Services,9.0,1.0
18,2020-02-03,1671.2008056640625,1675.7371488511608,1629.0780709649982,1640.6431051454022,2510294,1647.572216796875,1629.1278930664062,1642.4011393229166,,,,-0.3741149328639827,-0.0091621444226493,-0.0182848766079418,0.0027144213739747,-0.0252050708426546,Financial Services,9.0,0.0
19,2020-02-04,1693.1844482421875,1697.6708933920581,1665.1192170196969,1678.977371934264,2070417,1661.9786865234375,1636.425866699219,1643.8301595052085,,,,-0.2604046453740482,0.0131543992221746,-0.0083907434436175,0.0026497084558791,-0.0165754128273662,Financial Services,9.0,1.0
20,2020-02-05,1684.66015625,1702.3067918510228,1672.0482360807675,1696.8732569536915,2096512,1671.8090087890623,1646.8194702148437,1644.770662434896,,,,-0.3044965054757175,-0.0050344733564244,0.0072495931350791,0.0104748934291314,-0.0074863289918996,Financial Services,9.0,0.0
21,2020-02-06,1668.95751953125,1692.7855514684245,1662.975592937948,1688.7976004062232,2532618,1680.9314208984374,1653.6139404296875,1642.9395100911458,1652.4225219726563,,,-0.3857183197994179,-0.0093209521579138,0.0118877087300253,0.0142771949904794,-0.003584229390681,Financial Services,9.0,0.0
22,2020-02-07,1648.07080078125,1672.8957006831802,1639.0480121307485,1670.7023761119842,2290151,1673.21474609375,1654.6209228515625,1639.9452311197915,1650.8447998046877,,,-0.4937547739649893,-0.012514829470235,0.0137321620648858,0.0150630057216971,-0.0054747579085949,Financial Services,9.0,0.0
23,2020-02-10,1664.2718505859375,1669.5558131182495,1640.7428401914617,1654.9998149895875,1355124,1671.828955078125,1659.7005859375,1643.3615804036458,1649.7580932617188,,,-0.409954920306393,0.0098303117784791,-0.0055712265956343,0.0031749395571714,-0.0141377205810409,Financial Services,9.0,1.0
24,2020-02-11,1672.3970947265625,1680.7220400110639,1661.5300253396304,1677.3820336022595,1914766,1667.671484375,1664.8250854492187,1646.8410725911458,1649.7904907226562,,,-0.3679271333337403,0.004882161611857,0.0029807148621674,0.0049778520369065,-0.0064979001824377,Financial Services,9.0,1.0
25,2020-02-12,1709.7344970703125,1714.8191107908547,1669.9546573108614,1675.0392710314034,3010537,1672.6863525390625,1672.2476806640625,1655.4417643229167,1651.7495849609377,,,-0.1747995959137209,0.0223256799844265,-0.0202927566229497,0.0029739200614216,-0.0232666766843713,Financial Services,9.0,1.0
26,2020-02-13,1684.7100830078125,1709.5349826008248,1677.2326742863952,1709.5349826008248,2246920,1675.836865234375,1678.3841430664063,1661.02158203125,1651.1638488769531,1657.105390625,,-0.3042382595565472,-0.0146364327943199,0.014735413436056,0.014735413436056,-0.0044383949480895,Financial Services,9.0,0.0
