,Price,Close,High,Low,Open,Volume,MA_5,MA_10,MA_15,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock_Movement_Label
0,Ticker,NHPC.NS,NHPC.NS,NHPC.NS,NHPC.NS,NHPC.NS,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,
2,2020-01-10,18.842397689819336,18.881247401525826,18.68699587895037,18.68699587895037,1395260,,,,,,,-0.8632676704817839,,-0.008247454141833,0.0020618242086822,-0.008247454141833,Power,16.0,
3,2020-01-13,18.803546905517578,18.95894722550067,18.803546905517578,18.842396615007996,828140,,,,,,,-0.8647028454444328,-0.002061881133246,0.0020660841109194,0.0082644152597344,0.0,Power,16.0,
4,2020-01-14,18.803546905517578,18.881246324498413,18.725846004515322,18.803546905517578,625103,,,,,,,-0.8647028454444328,0.0,0.0,0.0041321682218387,-0.0041322470378956,Power,16.0,
5,2020-01-15,18.997798919677734,19.19205043631239,18.72584649998493,18.80354740304308,1439779,,,,,,,-0.8575270410899716,0.0103306049191791,-0.0102249485561957,0.0102249485561956,-0.0143149435807071,Power,16.0,1.0
6,2020-01-16,19.11435317993164,19.269753533674102,19.03665226204954,19.15320289786182,1213473,18.912328720092773,,,,,,-0.8532214457432411,0.0061351454843108,0.0020324892798866,0.0081300346540429,-0.0040650560942695,Power,16.0,1.0
7,2020-01-17,18.842397689819336,19.11435011782928,18.803547978112846,19.036649212394792,691602,18.912328720092773,,,,,,-0.8632676704817839,-0.014227815482547,0.0103092783505154,0.0144330054214321,-0.0020618242086823,Power,16.0,0.0
8,2020-01-20,21.018016815185547,22.61088039151088,20.318711541638137,20.94031738191937,64792445,19.355222702026367,,,,,,-0.7828987885376287,0.1154640275182022,-0.0036968013656758,0.0757856266997791,-0.0332717058748454,Power,16.0,1.0
9,2020-01-21,20.085607528686523,20.823762417836033,19.93020571938058,20.823762417836033,10549907,19.61163482666016,,,,,,-0.8173426353472858,-0.0443623817935741,0.0367504387455179,0.0367504387455179,-0.0077369733070804,Power,16.0,0.0
10,2020-01-22,20.318708419799805,21.13456568193866,19.54170235034649,20.2021578057861,41607850,19.87581672668457,,,,,,-0.8087317264889592,0.0116053692067996,-0.0057361231632286,0.0401530080201275,-0.0382409183398759,Power,16.0,1.0
11,2020-01-23,21.134567260742188,22.53317769742916,19.308602564718612,20.629512092251517,189153144,20.27985954284668,19.596094131469727,,,,,-0.7785933341084654,0.0401530857220904,-0.0238971142517225,0.0661764406827916,-0.0863970704247791,Power,16.0,1.0
12,2020-01-24,21.328819274902344,21.98927331259215,20.357561593568388,20.47411221892414,13774410,20.77714385986328,19.844736289978027,,,,,-0.7714175297540042,0.0091911990325433,-0.0400728725281074,0.0309653351729115,-0.0455373393536526,Power,16.0,1.0
13,2020-01-27,21.561918258666992,21.911571579994497,20.862613098033435,21.173415226979298,4363464,20.88592414855957,20.120573425292967,,,,,-0.7628066913544612,0.0109288273654667,-0.018018018018018,0.0162162437095299,-0.0324324186857756,Power,16.0,1.0
14,2020-01-28,21.21226692199707,21.87272243406384,21.056866583995333,21.445369652032067,3135829,21.11125602722168,20.36144542694092,,,,,-0.7757230546419511,-0.0162161516649557,0.0109890532158667,0.0311355459789108,-0.0073259656109921,Power,16.0,0.0
15,2020-01-29,20.318708419799805,21.561918427329395,20.2021578057861,21.36766690996607,6543973,21.11125602722168,20.493536376953124,,,,,-0.8087317264889592,-0.0421246114563383,0.0516252543465849,0.0611854839315539,-0.0057361231632286,Power,16.0,0.0
16,2020-01-30,19.58055305480957,20.512959425692,19.46400096168052,20.435258524279774,5968109,20.800453186035156,20.54015636444092,19.997547149658203,,,,-0.8359996984853715,-0.0363288526878475,0.043650731778501,0.0476190007643018,-0.0059524413229187,Power,16.0,0.0
17,2020-01-31,19.03664779663086,19.852503537963624,18.725845680028918,19.580552612200297,16998025,20.34201889038086,20.55958137512207,20.01049715677897,,,,-0.8560919365861062,-0.0277778291887987,0.0285714597118142,0.0428571117167571,-0.016326515042052,Power,16.0,0.0
18,2020-02-03,18.64814567565918,18.80354748243159,18.37619325481819,18.5315950615906,2375863,19.759264373779295,20.322594261169435,20.000137074788412,,,,-0.8704434748362451,-0.0204081162356976,-0.0062499841054282,0.008333365122477,-0.0145833492279052,Power,16.0,0.0
19,2020-02-04,18.997798919677734,19.230900146830734,18.648145596926774,18.648145596926774,3891159,19.31637077331543,20.213813400268556,20.013087209065755,,,,-0.8575270410899716,0.0187500274879848,-0.0184049386052187,0.012269907063368,-0.0184049386052187,Power,16.0,1.0
20,2020-02-05,19.075502395629883,19.34745487313214,18.958951757277994,19.114353596428362,2522784,19.067729568481447,20.08949279785156,20.0182674407959,,,,-0.8546566207058901,0.0040901304556742,0.0020367065565403,0.0142566351261375,-0.0061099642847985,Power,16.0,1.0
21,2020-02-06,18.88124656677246,19.192050174769545,18.764695954784273,19.114349272770273,3913375,18.927868270874026,19.86416072845459,20.002726999918615,19.73012742996216,,,-0.8618325659779185,-0.0101835236015553,0.0123457264949884,0.0164609686599845,-0.0061728240016364,Power,16.0,0.0
22,2020-02-07,19.075502395629883,19.15320331520507,18.686999279775737,18.958951757277994,7901351,18.93563919067383,19.638829040527344,20.018267313639324,19.74178266525269,,,-0.8546566207058901,0.0102882946933851,-0.0061099642847985,0.0040733354206694,-0.0203665994109361,Power,16.0,1.0
23,2020-02-10,18.842397689819336,19.735954397262137,18.220793410386477,19.347451352111225,24731189,18.974489593505854,19.366876983642577,19.87322603861491,19.743725204467772,,,-0.8632676704817839,-0.012220108334549,0.0268041079806298,0.0474226646816606,-0.0329896592602285,Power,16.0,0.0
24,2020-02-11,18.609294891357422,18.958946713390816,18.41504338510952,18.88124581448738,14033951,18.896788787841796,19.106579780578613,19.7748051961263,19.73401260375977,,,-0.871878649798894,-0.0123711855730473,0.0146137145290903,0.0187890956683038,-0.0104384130286482,Power,16.0,0.0
25,2020-02-12,18.609294891357422,18.764695207142914,18.45389309355055,18.764695207142914,8487719,18.803547286987303,18.935638427734375,19.66084429423014,19.71458740234375,,,-0.871878649798894,0.0,0.0083506826396557,0.0083506826396557,-0.0083507622784269,Power,16.0,0.0
