date,close,high,low,open,volume,ma_20_unnamed: 6_level_1,ma_50_unnamed: 7_level_1,NORMALISED_CLOSE,RETURN RATIO,PERCENTAGE_CHANGE_OPEN,PERCENTAGE_CHANGE_CLOSE,PERCENTAGE_CHANGE_LOW,Sector_Name,Sector_Encoded,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30
2020-01-10,370.2085571289063,380.94600582243066,368.8546935047339,374.6902634468667,29549.0,,,-0.7634873552377273,,0.0121058960730611,0.0290037831021439,-0.0036570295259299,Capital Goods,1.0,,,,,,
2020-01-13,376.744384765625,380.5725242377546,372.8695721328812,377.21123034773854,18445.0,,,-0.7614083042986898,0.0176544477723754,0.0012391573729864,0.0101611055849208,-0.0102849910693542,Capital Goods,1.0,,,,,,
2020-01-14,404.94183349609375,415.3057817068809,375.43718961811066,380.01227021924944,89566.0,,,-0.7524386778764465,0.074845040485502,-0.0615633190120495,0.0255936713707971,-0.0728614369704722,Capital Goods,1.0,,,,,,
2020-01-15,408.4431762695313,437.71436897036153,401.4871662931353,412.691459305967,111321.0,,,-0.7513248985074634,0.0086465326222495,0.0104011605120617,0.0716652753711675,-0.0170305452031978,Capital Goods,1.0,,,,,,
2020-01-16,402.18743896484375,420.9079340123898,397.3322338757391,412.6447906210733,33165.0,,,-0.7533148525332723,-0.015316052925216,0.0260011891051217,0.0465466924967352,-0.0120719958375652,Capital Goods,1.0,392.505078125,,,,,
2020-01-17,405.17523193359375,410.7773780868741,401.58051578644114,403.6346189462506,26837.0,,,-0.7523644336846431,0.007428856993744,-0.0038023375219431,0.0138264773158653,-0.0088720036760335,Capital Goods,1.0,399.4984130859375,,,,,
2020-01-20,405.0818786621094,417.3132374456589,403.72801520551405,408.8166429627968,15547.0,,,-0.7523941294198323,-0.0002304022164407,0.0092197762907155,0.0301947814203558,-0.0033421970419087,Capital Goods,1.0,405.1659118652344,,,,,
2020-01-21,400.97369384765625,406.9959849403457,395.8850654530793,402.2808558178063,49617.0,,,-0.7537009456290363,-0.0101416158827481,0.0032599693950163,0.0150191675541127,-0.012690678896532,Capital Goods,1.0,404.3722839355469,,,,,
2020-01-22,413.8585815429688,424.8294520068828,402.18744275157087,404.89514125237696,196623.0,,,-0.7496022546366619,0.0321339975489961,-0.0216582201996967,0.0265087422447829,-0.0282007896221093,Capital Goods,1.0,405.4553649902344,,,,,
2020-01-23,398.8728942871094,423.4289615879999,388.5089162098611,419.22735116430414,83823.0,,,-0.754369211308894,-0.0362096810944186,0.0510299325141496,0.0615636400783228,-0.0259831596122153,Capital Goods,1.0,404.7924560546875,398.6487670898438,,,,
2020-01-24,382.486572265625,396.3985646424274,379.0319321217706,391.2165901796496,108333.0,,,-0.7595817107932348,-0.0410815632151967,0.0228243774998768,0.0363724987635407,-0.0090320560102047,Capital Goods,1.0,400.2547241210938,399.8765686035157,,,,
