0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0.0,2823.3306,2874.3071,2815.6292,2866.0557,364459.0,0.0,0.0,0.0,0.0,0.0,0.20808776,0.0,0.01513285,0.018055497,-0.0027277726,9.0,1.0,2807.4695,2851.3862,2800.9597,2833.0493,321948.0,0.0,0.0,0.0,0.0,0.0,0.1878809,-0.005617863,0.009111362,0.015642827,-0.002318702,9.0,2.0,2880.8167,2891.727,2808.8901,2819.2964,466628.0,0.0,0.0,0.0,0.0,0.0,0.2813244,0.026125722,-0.021355174,0.003787245,-0.02496744,9.0,3.0,2937.7068,2943.9873,2883.5215,2891.727,366511.0,0.0,0.0,0.0,0.0,0.0,0.3538018,0.01974792,-0.015651546,0.002137883,-0.018444784,9.0,4.0,2974.9768,2988.6836,2950.0386,2954.0728,371056.0,2884.86,0.0,0.0,0.0,0.0,0.40128338,0.012686773,-0.007026642,0.0046073566,-0.008382628,9.0
1.0,2807.4695,2851.3862,2800.9597,2833.0493,321948.0,0.0,0.0,0.0,0.0,0.0,0.1878809,-0.005617863,0.009111362,0.015642827,-0.002318702,9.0,2.0,2880.8167,2891.727,2808.8901,2819.2964,466628.0,0.0,0.0,0.0,0.0,0.0,0.2813244,0.026125722,-0.021355174,0.003787245,-0.02496744,9.0,3.0,2937.7068,2943.9873,2883.5215,2891.727,366511.0,0.0,0.0,0.0,0.0,0.0,0.3538018,0.01974792,-0.015651546,0.002137883,-0.018444784,9.0,4.0,2974.9768,2988.6836,2950.0386,2954.0728,371056.0,2884.86,0.0,0.0,0.0,0.0,0.40128338,0.012686773,-0.007026642,0.0046073566,-0.008382628,9.0,5.0,2991.8926,2998.448,2971.5386,2986.9873,243008.0,2918.5725,0.0,0.0,0.0,0.0,0.4228339,0.005686018,-0.0016394998,0.0021910372,-0.006803019,9.0
2.0,2880.8167,2891.727,2808.8901,2819.2964,466628.0,0.0,0.0,0.0,0.0,0.0,0.2813244,0.026125722,-0.021355174,0.003787245,-0.02496744,9.0,3.0,2937.7068,2943.9873,2883.5215,2891.727,366511.0,0.0,0.0,0.0,0.0,0.0,0.3538018,0.01974792,-0.015651546,0.002137883,-0.018444784,9.0,4.0,2974.9768,2988.6836,2950.0386,2954.0728,371056.0,2884.86,0.0,0.0,0.0,0.0,0.40128338,0.012686773,-0.007026642,0.0046073566,-0.008382628,9.0,5.0,2991.8926,2998.448,2971.5386,2986.9873,243008.0,2918.5725,0.0,0.0,0.0,0.0,0.4228339,0.005686018,-0.0016394998,0.0021910372,-0.006803019,9.0,6.0,2975.16,3011.8337,2937.019,3006.8828,260251.0,2952.1106,0.0,0.0,0.0,0.0,0.40151668,-0.0055926694,0.010662588,0.012326657,-0.012819753,9.0
3.0,2937.7068,2943.9873,2883.5215,2891.727,366511.0,0.0,0.0,0.0,0.0,0.0,0.3538018,0.01974792,-0.015651546,0.002137883,-0.018444784,9.0,4.0,2974.9768,2988.6836,2950.0386,2954.0728,371056.0,2884.86,0.0,0.0,0.0,0.0,0.40128338,0.012686773,-0.007026642,0.0046073566,-0.008382628,9.0,5.0,2991.8926,2998.448,2971.5386,2986.9873,243008.0,2918.5725,0.0,0.0,0.0,0.0,0.4228339,0.005686018,-0.0016394998,0.0021910372,-0.006803019,9.0,6.0,2975.16,3011.8337,2937.019,3006.8828,260251.0,2952.1106,0.0,0.0,0.0,0.0,0.40151668,-0.0055926694,0.010662588,0.012326657,-0.012819753,9.0,7.0,2915.061,2970.576,2908.2305,2959.574,362236.0,2958.9595,0.0,0.0,0.0,0.0,0.32495135,-0.020200217,0.015269952,0.01904419,-0.0023431573,9.0
4.0,2974.9768,2988.6836,2950.0386,2954.0728,371056.0,2884.86,0.0,0.0,0.0,0.0,0.40128338,0.012686773,-0.007026642,0.0046073566,-0.008382628,9.0,5.0,2991.8926,2998.448,2971.5386,2986.9873,243008.0,2918.5725,0.0,0.0,0.0,0.0,0.4228339,0.005686018,-0.0016394998,0.0021910372,-0.006803019,9.0,6.0,2975.16,3011.8337,2937.019,3006.8828,260251.0,2952.1106,0.0,0.0,0.0,0.0,0.40151668,-0.0055926694,0.010662588,0.012326657,-0.012819753,9.0,7.0,2915.061,2970.576,2908.2305,2959.574,362236.0,2958.9595,0.0,0.0,0.0,0.0,0.32495135,-0.020200217,0.015269952,0.01904419,-0.0023431573,9.0,8.0,2913.502,2990.746,2878.891,2943.07,660200.0,2954.1184,0.0,0.0,0.0,0.0,0.32296512,-0.00053483684,0.01014869,0.02651247,-0.011879475,9.0
5.0,2991.8926,2998.448,2971.5386,2986.9873,243008.0,2918.5725,0.0,0.0,0.0,0.0,0.4228339,0.005686018,-0.0016394998,0.0021910372,-0.006803019,9.0,6.0,2975.16,3011.8337,2937.019,3006.8828,260251.0,2952.1106,0.0,0.0,0.0,0.0,0.40151668,-0.0055926694,0.010662588,0.012326657,-0.012819753,9.0,7.0,2915.061,2970.576,2908.2305,2959.574,362236.0,2958.9595,0.0,0.0,0.0,0.0,0.32495135,-0.020200217,0.015269952,0.01904419,-0.0023431573,9.0,8.0,2913.502,2990.746,2878.891,2943.07,660200.0,2954.1184,0.0,0.0,0.0,0.0,0.32296512,-0.00053483684,0.01014869,0.02651247,-0.011879475,9.0,9.0,2955.3105,2970.576,2907.6804,2907.6804,435772.0,2950.1853,0.0,0.0,0.0,0.0,0.3762288,0.014349945,-0.016116833,0.0051654032,-0.016116833,9.0
6.0,2975.16,3011.8337,2937.019,3006.8828,260251.0,2952.1106,0.0,0.0,0.0,0.0,0.40151668,-0.0055926694,0.010662588,0.012326657,-0.012819753,9.0,7.0,2915.061,2970.576,2908.2305,2959.574,362236.0,2958.9595,0.0,0.0,0.0,0.0,0.32495135,-0.020200217,0.015269952,0.01904419,-0.0023431573,9.0,8.0,2913.502,2990.746,2878.891,2943.07,660200.0,2954.1184,0.0,0.0,0.0,0.0,0.32296512,-0.00053483684,0.01014869,0.02651247,-0.011879475,9.0,9.0,2955.3105,2970.576,2907.6804,2907.6804,435772.0,2950.1853,0.0,0.0,0.0,0.0,0.3762288,0.014349945,-0.016116833,0.0051654032,-0.016116833,9.0,10.0,2942.612,2974.5642,2928.401,2956.8232,505490.0,2940.329,0.0,0.0,0.0,0.0,0.36005107,-0.0042968364,0.004829413,0.010858419,-0.004829413,9.0
7.0,2915.061,2970.576,2908.2305,2959.574,362236.0,2958.9595,0.0,0.0,0.0,0.0,0.32495135,-0.020200217,0.015269952,0.01904419,-0.0023431573,9.0,8.0,2913.502,2990.746,2878.891,2943.07,660200.0,2954.1184,0.0,0.0,0.0,0.0,0.32296512,-0.00053483684,0.01014869,0.02651247,-0.011879475,9.0,9.0,2955.3105,2970.576,2907.6804,2907.6804,435772.0,2950.1853,0.0,0.0,0.0,0.0,0.3762288,0.014349945,-0.016116833,0.0051654032,-0.016116833,9.0,10.0,2942.612,2974.5642,2928.401,2956.8232,505490.0,2940.329,0.0,0.0,0.0,0.0,0.36005107,-0.0042968364,0.004829413,0.010858419,-0.004829413,9.0,11.0,2915.1526,2937.5693,2899.7954,2932.8933,172858.0,2928.3276,0.0,0.0,0.0,0.0,0.325068,-0.009331666,0.006085721,0.007689752,-0.005268041,9.0
8.0,2913.502,2990.746,2878.891,2943.07,660200.0,2954.1184,0.0,0.0,0.0,0.0,0.32296512,-0.00053483684,0.01014869,0.02651247,-0.011879475,9.0,9.0,2955.3105,2970.576,2907.6804,2907.6804,435772.0,2950.1853,0.0,0.0,0.0,0.0,0.3762288,0.014349945,-0.016116833,0.0051654032,-0.016116833,9.0,10.0,2942.612,2974.5642,2928.401,2956.8232,505490.0,2940.329,0.0,0.0,0.0,0.0,0.36005107,-0.0042968364,0.004829413,0.010858419,-0.004829413,9.0,11.0,2915.1526,2937.5693,2899.7954,2932.8933,172858.0,2928.3276,0.0,0.0,0.0,0.0,0.325068,-0.009331666,0.006085721,0.007689752,-0.005268041,9.0,12.0,2927.484,2952.0554,2913.7312,2924.7334,262484.0,2930.8123,0.0,0.0,0.0,0.0,0.34077793,0.00423007,-0.0009395553,0.008393376,-0.0046977764,9.0
9.0,2955.3105,2970.576,2907.6804,2907.6804,435772.0,2950.1853,0.0,0.0,0.0,0.0,0.3762288,0.014349945,-0.016116833,0.0051654032,-0.016116833,9.0,10.0,2942.612,2974.5642,2928.401,2956.8232,505490.0,2940.329,0.0,0.0,0.0,0.0,0.36005107,-0.0042968364,0.004829413,0.010858419,-0.004829413,9.0,11.0,2915.1526,2937.5693,2899.7954,2932.8933,172858.0,2928.3276,0.0,0.0,0.0,0.0,0.325068,-0.009331666,0.006085721,0.007689752,-0.005268041,9.0,12.0,2927.484,2952.0554,2913.7312,2924.7334,262484.0,2930.8123,0.0,0.0,0.0,0.0,0.34077793,0.00423007,-0.0009395553,0.008393376,-0.0046977764,9.0,13.0,2913.4104,2938.486,2899.9788,2933.627,133279.0,2930.794,0.0,0.0,0.0,0.0,0.32284847,-0.004807366,0.0069391057,0.008607021,-0.0046102945,9.0
