0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0.0,1478.02,1494.212,1463.5323,1472.3386,55261.0,0.0,0.0,0.0,0.0,0.0,-1.5601561,0.0,-0.0038439361,0.010955202,-0.009802069,12.0,1.0,1479.3932,1491.3716,1469.9716,1486.5424,84927.0,0.0,0.0,0.0,0.0,0.0,-1.559143,0.00092905975,0.0048324955,0.008096793,-0.0063685803,12.0,2.0,1505.433,1510.3096,1472.3861,1479.3932,65177.0,0.0,0.0,0.0,0.0,0.0,-1.5399313,0.017601673,-0.017297229,0.0032393148,-0.021951772,12.0,3.0,1516.4169,1538.7164,1497.9996,1504.4386,102724.0,0.0,0.0,0.0,0.0,0.0,-1.5318277,0.0072961645,-0.007899031,0.014705454,-0.012145213,12.0,4.0,1567.7393,1577.5397,1520.7255,1520.7255,189001.0,1509.4005,0.0,0.0,0.0,0.0,-1.493963,0.033844512,-0.029988237,0.0062513063,-0.029988237,12.0
1.0,1479.3932,1491.3716,1469.9716,1486.5424,84927.0,0.0,0.0,0.0,0.0,0.0,-1.559143,0.00092905975,0.0048324955,0.008096793,-0.0063685803,12.0,2.0,1505.433,1510.3096,1472.3861,1479.3932,65177.0,0.0,0.0,0.0,0.0,0.0,-1.5399313,0.017601673,-0.017297229,0.0032393148,-0.021951772,12.0,3.0,1516.4169,1538.7164,1497.9996,1504.4386,102724.0,0.0,0.0,0.0,0.0,0.0,-1.5318277,0.0072961645,-0.007899031,0.014705454,-0.012145213,12.0,4.0,1567.7393,1577.5397,1520.7255,1520.7255,189001.0,1509.4005,0.0,0.0,0.0,0.0,-1.493963,0.033844512,-0.029988237,0.0062513063,-0.029988237,12.0,5.0,1555.4293,1585.02,1537.1068,1573.7518,115600.0,1524.8823,0.0,0.0,0.0,0.0,-1.5030451,-0.007852031,0.011779731,0.019024137,-0.011779731,12.0
2.0,1505.433,1510.3096,1472.3861,1479.3932,65177.0,0.0,0.0,0.0,0.0,0.0,-1.5399313,0.017601673,-0.017297229,0.0032393148,-0.021951772,12.0,3.0,1516.4169,1538.7164,1497.9996,1504.4386,102724.0,0.0,0.0,0.0,0.0,0.0,-1.5318277,0.0072961645,-0.007899031,0.014705454,-0.012145213,12.0,4.0,1567.7393,1577.5397,1520.7255,1520.7255,189001.0,1509.4005,0.0,0.0,0.0,0.0,-1.493963,0.033844512,-0.029988237,0.0062513063,-0.029988237,12.0,5.0,1555.4293,1585.02,1537.1068,1573.7518,115600.0,1524.8823,0.0,0.0,0.0,0.0,-1.5030451,-0.007852031,0.011779731,0.019024137,-0.011779731,12.0,6.0,1541.3679,1556.7076,1519.8732,1554.8138,180467.0,1537.2772,0.0,0.0,0.0,0.0,-1.5134193,-0.009040206,0.0087234005,0.0099520525,-0.013945247,12.0
3.0,1516.4169,1538.7164,1497.9996,1504.4386,102724.0,0.0,0.0,0.0,0.0,0.0,-1.5318277,0.0072961645,-0.007899031,0.014705454,-0.012145213,12.0,4.0,1567.7393,1577.5397,1520.7255,1520.7255,189001.0,1509.4005,0.0,0.0,0.0,0.0,-1.493963,0.033844512,-0.029988237,0.0062513063,-0.029988237,12.0,5.0,1555.4293,1585.02,1537.1068,1573.7518,115600.0,1524.8823,0.0,0.0,0.0,0.0,-1.5030451,-0.007852031,0.011779731,0.019024137,-0.011779731,12.0,6.0,1541.3679,1556.7076,1519.8732,1554.8138,180467.0,1537.2772,0.0,0.0,0.0,0.0,-1.5134193,-0.009040206,0.0087234005,0.0099520525,-0.013945247,12.0,7.0,1539.7582,1543.4512,1521.5303,1537.7697,123496.0,1544.1423,0.0,0.0,0.0,0.0,-1.514607,-0.0010443588,-0.0012914184,0.0023983915,-0.011838141,12.0
4.0,1567.7393,1577.5397,1520.7255,1520.7255,189001.0,1509.4005,0.0,0.0,0.0,0.0,-1.493963,0.033844512,-0.029988237,0.0062513063,-0.029988237,12.0,5.0,1555.4293,1585.02,1537.1068,1573.7518,115600.0,1524.8823,0.0,0.0,0.0,0.0,-1.5030451,-0.007852031,0.011779731,0.019024137,-0.011779731,12.0,6.0,1541.3679,1556.7076,1519.8732,1554.8138,180467.0,1537.2772,0.0,0.0,0.0,0.0,-1.5134193,-0.009040206,0.0087234005,0.0099520525,-0.013945247,12.0,7.0,1539.7582,1543.4512,1521.5303,1537.7697,123496.0,1544.1423,0.0,0.0,0.0,0.0,-1.514607,-0.0010443588,-0.0012914184,0.0023983915,-0.011838141,12.0,8.0,1546.3391,1563.1466,1535.1182,1538.7166,47182.0,1550.1267,0.0,0.0,0.0,0.0,-1.5097517,0.004274004,-0.0049294564,0.010869232,-0.0072564203,12.0
5.0,1555.4293,1585.02,1537.1068,1573.7518,115600.0,1524.8823,0.0,0.0,0.0,0.0,-1.5030451,-0.007852031,0.011779731,0.019024137,-0.011779731,12.0,6.0,1541.3679,1556.7076,1519.8732,1554.8138,180467.0,1537.2772,0.0,0.0,0.0,0.0,-1.5134193,-0.009040206,0.0087234005,0.0099520525,-0.013945247,12.0,7.0,1539.7582,1543.4512,1521.5303,1537.7697,123496.0,1544.1423,0.0,0.0,0.0,0.0,-1.514607,-0.0010443588,-0.0012914184,0.0023983915,-0.011838141,12.0,8.0,1546.3391,1563.1466,1535.1182,1538.7166,47182.0,1550.1267,0.0,0.0,0.0,0.0,-1.5097517,0.004274004,-0.0049294564,0.010869232,-0.0072564203,12.0,9.0,1632.9808,1655.1857,1543.4512,1543.4512,296507.0,1563.175,0.0,0.0,0.0,0.0,-1.4458292,0.05603022,-0.054825924,0.013597721,-0.054825924,12.0
6.0,1541.3679,1556.7076,1519.8732,1554.8138,180467.0,1537.2772,0.0,0.0,0.0,0.0,-1.5134193,-0.009040206,0.0087234005,0.0099520525,-0.013945247,12.0,7.0,1539.7582,1543.4512,1521.5303,1537.7697,123496.0,1544.1423,0.0,0.0,0.0,0.0,-1.514607,-0.0010443588,-0.0012914184,0.0023983915,-0.011838141,12.0,8.0,1546.3391,1563.1466,1535.1182,1538.7166,47182.0,1550.1267,0.0,0.0,0.0,0.0,-1.5097517,0.004274004,-0.0049294564,0.010869232,-0.0072564203,12.0,9.0,1632.9808,1655.1857,1543.4512,1543.4512,296507.0,1563.175,0.0,0.0,0.0,0.0,-1.4458292,0.05603022,-0.054825924,0.013597721,-0.054825924,12.0,10.0,1642.2129,1646.6633,1606.1832,1632.9806,80890.0,1580.5317,0.0,0.0,0.0,0.0,-1.4390179,0.005653499,-0.0056218645,0.002709999,-0.021939715,12.0
7.0,1539.7582,1543.4512,1521.5303,1537.7697,123496.0,1544.1423,0.0,0.0,0.0,0.0,-1.514607,-0.0010443588,-0.0012914184,0.0023983915,-0.011838141,12.0,8.0,1546.3391,1563.1466,1535.1182,1538.7166,47182.0,1550.1267,0.0,0.0,0.0,0.0,-1.5097517,0.004274004,-0.0049294564,0.010869232,-0.0072564203,12.0,9.0,1632.9808,1655.1857,1543.4512,1543.4512,296507.0,1563.175,0.0,0.0,0.0,0.0,-1.4458292,0.05603022,-0.054825924,0.013597721,-0.054825924,12.0,10.0,1642.2129,1646.6633,1606.1832,1632.9806,80890.0,1580.5317,0.0,0.0,0.0,0.0,-1.4390179,0.005653499,-0.0056218645,0.002709999,-0.021939715,12.0,11.0,1646.8054,1685.4863,1620.1501,1620.1501,105045.0,1601.6193,0.0,0.0,0.0,0.0,-1.4356296,0.0027965494,-0.01618608,0.023488471,-0.01618608,12.0
8.0,1546.3391,1563.1466,1535.1182,1538.7166,47182.0,1550.1267,0.0,0.0,0.0,0.0,-1.5097517,0.004274004,-0.0049294564,0.010869232,-0.0072564203,12.0,9.0,1632.9808,1655.1857,1543.4512,1543.4512,296507.0,1563.175,0.0,0.0,0.0,0.0,-1.4458292,0.05603022,-0.054825924,0.013597721,-0.054825924,12.0,10.0,1642.2129,1646.6633,1606.1832,1632.9806,80890.0,1580.5317,0.0,0.0,0.0,0.0,-1.4390179,0.005653499,-0.0056218645,0.002709999,-0.021939715,12.0,11.0,1646.8054,1685.4863,1620.1501,1620.1501,105045.0,1601.6193,0.0,0.0,0.0,0.0,-1.4356296,0.0027965494,-0.01618608,0.023488471,-0.01618608,12.0,12.0,1603.39,1673.1766,1582.0374,1646.6635,103398.0,1614.3457,0.0,0.0,0.0,0.0,-1.4676607,-0.02636341,0.02698869,0.043524448,-0.01331722,12.0
9.0,1632.9808,1655.1857,1543.4512,1543.4512,296507.0,1563.175,0.0,0.0,0.0,0.0,-1.4458292,0.05603022,-0.054825924,0.013597721,-0.054825924,12.0,10.0,1642.2129,1646.6633,1606.1832,1632.9806,80890.0,1580.5317,0.0,0.0,0.0,0.0,-1.4390179,0.005653499,-0.0056218645,0.002709999,-0.021939715,12.0,11.0,1646.8054,1685.4863,1620.1501,1620.1501,105045.0,1601.6193,0.0,0.0,0.0,0.0,-1.4356296,0.0027965494,-0.01618608,0.023488471,-0.01618608,12.0,12.0,1603.39,1673.1766,1582.0374,1646.6635,103398.0,1614.3457,0.0,0.0,0.0,0.0,-1.4676607,-0.02636341,0.02698869,0.043524448,-0.01331722,12.0,13.0,1637.0524,1656.1324,1614.7529,1627.5834,73418.0,1632.4883,0.0,0.0,0.0,0.0,-1.4428252,0.020994488,-0.0057841917,0.011655161,-0.01362173,12.0
