Price,Close,High,Low,Open,Volume,MA_20,MA_50,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,,,,,,,,,
Date,,,,,,,,,,,,,,
2020-01-10,189.94961547851562,191.96797030650458,185.50923759450887,187.07906912738918,5362463,,,-1.420018297998025,,-0.015112146154626638,0.010625737898465104,-0.023376608964543966,Construction Materials,4
2020-01-13,189.72537231445312,192.68562908813436,188.96287716334646,190.71212913496223,2628821,,,-1.4215700380917724,-0.0011805402369338472,0.005200974484707466,0.01560285130854755,-0.0040189413877806945,Construction Materials,4
2020-01-14,187.7518768310547,190.57756845765755,187.30335348157192,190.35330678291618,3725008,,,-1.4352264279274305,-0.010401853264662685,0.013855680144291505,0.015050137843072076,-0.002388915397561475,Construction Materials,4
2020-01-15,190.21873474121094,190.9812161404026,185.37467487644238,187.48273986682938,3359831,,,-1.4181560198248195,0.013138925436021126,-0.01438341432616419,0.004008445331260324,-0.025465734862335276,Construction Materials,4
2020-01-16,188.15553283691406,192.3267942399244,187.57245799575193,191.51945773864674,3126006,,,-1.4324331690515462,-0.010846470549306424,0.017878426698450633,0.022169220007076884,-0.003098898195396216,Construction Materials,4
2020-01-17,188.7386016845703,190.5326949085219,187.12392873328992,188.06581672558846,1968147,,,-1.428398391393525,0.0030988663413986954,-0.0035646388866769074,0.009505703697805234,-0.008555075309813476,Construction Materials,4
2020-01-20,185.73348999023438,189.949606016672,185.37466315931465,189.63563425059775,1743715,,,-1.4491934614318287,-0.01592208306893274,0.02100937348761689,0.022699815884896557,-0.0019319446963420583,Construction Materials,4
2020-01-21,186.2268829345703,188.29007920084865,184.52248615166616,184.79160287400313,3142796,,,-1.4457792319863112,0.0026564565408310555,-0.007707158268183356,0.01107893894676426,-0.009152259631081239,Construction Materials,4
2020-01-22,188.6937713623047,190.35329947900655,186.85482296241705,187.3930427484369,3780055,,,-1.4287086127051356,0.01324668269618786,-0.0068933309482182015,0.00879482192083314,-0.009745676217137733,Construction Materials,4
2020-01-23,191.65402221679688,192.82018566580783,187.8864288097084,188.37980723288763,4656562,,,-1.4082239751570074,0.015688121728238223,-0.01708398783410603,0.006084732454463282,-0.01965830595940543,Construction Materials,4
2020-01-24,193.7172088623047,194.56940038738858,190.71211099091994,192.05768087931915,3540793,,,-1.3939469315195632,0.010765162252498718,-0.008566755595601938,0.00439915240410893,-0.01551280802068955,Construction Materials,4
2020-01-27,193.3583984375,196.36349635142153,192.23709018129534,192.50620690035345,2903622,,,-1.3964298634945544,-0.0018522382544739844,-0.0044073158654238664,0.015541594977023454,-0.00579911845187886,Construction Materials,4
2020-01-28,193.8966064453125,197.5745027780668,192.0128169016787,193.58264836529557,5093967,,,-1.3927055183267087,0.002783473653907343,-0.0016192035836660734,0.018968337817669045,-0.009715433282557862,Construction Materials,4
2020-01-29,192.01283264160156,195.78042572555523,191.29519260469485,194.43485578929713,3410299,,,-1.405741043182016,-0.009715352105671048,0.012613860825731127,0.019621569205148015,-0.003737458726241538,Construction Materials,4
2020-01-30,188.29006958007812,192.14737256889725,187.21361643357716,192.10251750282546,2971434,,,-1.431502188348867,-0.0193880951096227,0.020247737606395422,0.020485960823221516,-0.005716993726231356,Construction Materials,4
2020-01-31,183.44602966308594,189.94961751177723,182.54898306326643,188.87316432956283,2906515,,,-1.465022456341585,-0.02572647579235218,0.02958436700126077,0.03545232273838628,-0.004889975550122272,Construction Materials,4
2020-02-03,180.0821075439453,181.60708404834244,175.86599120078432,175.86599120078432,4031740,,,-1.48830045835488,-0.018337393975322067,-0.02341218903233977,0.008468228882899886,-0.02341218903233977,Construction Materials,4
2020-02-04,185.50924682617188,188.3797933201479,181.6070884894021,181.9210602867405,3761981,,,-1.4507452015255762,0.030137026694349308,-0.01934235948245544,0.015473872828915214,-0.02103484545126877,Construction Materials,4
2020-02-05,185.1504364013672,187.258501655623,184.07398308151497,185.59895975862617,4000586,,,-1.4532281335005675,-0.001934191588524449,0.0024224806917909625,0.011385688822714846,-0.005813938874649427,Construction Materials,4
2020-02-06,186.13717651367188,187.7070081228233,183.4908916815285,185.91291485522166,3569538,188.4224006652832,,-1.4463999913773795,0.005329396632723255,-0.001204819277108471,0.008433734939758963,-0.014216852762612975,Construction Materials,4
2020-02-07,188.20037841796875,190.17387818991782,185.8231967278879,186.22687864601968,1957283,188.33493881225587,,-1.432122842150653,0.011084308588646351,-0.010486162613159933,0.010486162613160044,-0.012631120670764218,Construction Materials,4
2020-02-10,185.77838134765625,189.09745147695466,184.92617601264257,188.2004047561796,1734578,188.13758926391603,,-1.4488828177630886,-0.012869246548131572,0.01303716498633345,0.017865750068557507,-0.0045872147708021505,Construction Materials,4
2020-02-11,190.1738739013672,191.47458869755766,186.5856876013414,186.67539773397982,4444457,188.25868911743163,,-1.418466452314995,0.02365987108847415,-0.01839619762492628,0.006839608246425488,-0.018867924528301883,Construction Materials,4
2020-02-12,189.6356658935547,191.9679927762552,188.60406766919465,190.1738993858229,3036372,188.22953567504882,,-1.4221907974828407,-0.002830083842597849,0.0028382503350943278,0.012298988545802692,-0.0054398955992756015,Construction Materials,4
2020-02-13,187.07907104492188,189.68050070807845,186.49598254259723,188.91801931128524,1177002,188.17571258544922,,-1.4398821761550848,-0.013481614002230293,0.009829791521264175,0.013905508770309938,-0.003116802425134124,Construction Materials,4
2020-02-14,184.47764587402344,190.39815948874113,183.89457100208213,186.9445242655148,3183445,187.96266479492186,,-1.4578837761389394,-0.01390548475769252,0.013372234775675507,0.03209339314076409,-0.003160680358743728,Construction Materials,4
2020-02-17,182.81808471679688,185.10555609542072,181.47251492794092,184.20850956951676,1397181,187.81689453125,,-1.4693677720790639,-0.008996001381976914,0.0076055104442964705,0.012512281715276519,-0.007360156906470072,Construction Materials,4
2020-02-18,180.17181396484375,182.6386920995049,177.3909640469969,182.32472031631923,4007197,187.51414108276367,,-1.4876796989638115,-0.014474884998672083,0.011949185081166824,0.013691809392242238,-0.01543443370331754,Construction Materials,4
2020-02-19,184.61219787597656,185.1504176374339,180.93430124404804,181.42767962460118,1630613,187.31006240844727,,-1.456952689846978,0.024645275048400455,-0.017249771618637832,0.0029154073655464074,-0.019922283978219824,Construction Materials,4
2020-02-20,184.2533416748047,188.6040225816713,179.49900627700367,183.84967349602726,3826080,186.94002838134764,,-1.4594359385898164,-0.0019438379765835216,-0.002190832335024151,0.023612493902798626,-0.025803251949655825,Construction Materials,4
2020-02-24,188.29006958007812,190.80180271380996,181.2034071517561,185.5540884916761,7946307,186.66867141723634,,-1.431502188348867,0.021908573644205613,-0.014530671184644794,0.01333970049155253,-0.037636942001915474,Construction Materials,4
2020-02-25,189.8150634765625,191.96796981240487,187.75185358680415,189.27683004867956,6147428,186.49150466918945,,-1.4209493842899863,0.0080991732590327,-0.002835567515164006,0.01134212583770089,-0.01086957932615873,Construction Materials,4
2020-02-26,191.60914611816406,193.8069074001431,188.42462816859742,190.08415605228433,6034979,186.37713165283202,,-1.408534513236465,0.009451740071319933,-0.007958858419729542,0.01147002283817744,-0.016619863999617013,Construction Materials,4
2020-02-27,189.8150634765625,192.9995679133617,188.82830675472533,191.60915665237937,3753324,186.2672431945801,,-1.4209493842899863,-0.009363241149747435,0.00945179556857667,0.01677687944504158,-0.005198516407308285,Construction Materials,4
2020-02-28,183.93942260742188,187.84156741316767,182.3247358622168,186.36144588130648,7650031,186.04971084594726,,-1.4616082268960675,-0.030954555247224215,0.013167505038079286,0.02121429300163702,-0.008778361497041587,Construction Materials,4
2020-03-02,181.4276885986328,194.2554586882932,179.22992699965488,187.12394041543405,5187934,185.94879379272462,,-1.4789891730781362,-0.01365522394919008,0.03139681633382252,0.07070458863662687,-0.01211370555373148,Construction Materials,4
2020-03-03,189.41139221191406,190.3532939197479,182.6835424243086,182.90780408389546,4549626,186.41525802612304,,-1.423742748755153,0.04400487971239806,-0.03433578124351877,0.004972782771059725,-0.03551977370019188,Construction Materials,4
2020-03-04,186.67539978027344,191.07092257084997,183.62543317911178,189.59080118100238,3541106,186.47356567382812,,-1.4426755406202514,-0.01444470894643754,0.015617491132524863,0.023546341916236946,-0.01633834241014953,Construction Materials,4
2020-03-05,183.3563232421875,190.08417287711873,182.68353827869439,186.7651031281217,2414347,186.38386001586915,,-1.4656432157326533,-0.017779935342271458,0.018591013528514555,0.036692760391168644,-0.00366927603911682,Construction Materials,4
2020-03-06,183.98423767089844,185.28495232330476,175.28287590492985,178.287987074147,2587514,186.27621307373047,,-1.4612981111737393,0.0034245583550535767,-0.030960535907106346,0.00706970699703624,-0.047294061035452084,Construction Materials,4
2020-03-09,173.75791931152344,182.3247168635933,171.7395645122955,179.22990890901264,3909789,185.5540901184082,,-1.5320632035055857,-0.05558257864278196,0.03149202994125799,0.049303062479188586,-0.011615901060655132,Construction Materials,4
2020-03-11,170.842529296875,176.2248091194356,170.25945445790245,174.11675773497328,3553042,184.80729751586915,,-1.5522374085635384,-0.01677845836437276,0.019165183584987755,0.031504332350452025,-0.003412937290101392,Construction Materials,4
2020-03-12,157.4316864013672,164.83232123220068,151.69059334107095,164.15953624757947,8015838,183.17018814086913,,-1.6450390897158254,-0.07849826943385765,0.042735042735042805,0.047008547008547064,-0.036467201689369566,Construction Materials,4
2020-03-13,168.42050170898438,171.0667864816231,136.39594033997153,148.90973786253744,3970438,182.10942993164062,,-1.5689975953545388,0.0698005310036605,-0.11584553928095875,0.015712367234312463,-0.19014645511713557,Construction Materials,4
2020-03-16,160.97500610351562,165.10142584819366,154.4265633295025,161.4683844602687,5362750,180.80422668457032,,-1.620519674509676,-0.04420777476565117,0.0030649376489901847,0.025633915752266034,-0.04067987281082708,Construction Materials,4
2020-03-17,153.75376892089844,163.03820593045234,152.5876193885897,161.91689777412185,6785864,179.26803283691407,,-1.6704899079817834,-0.04485936890086863,0.05309221953071663,0.06038510193743907,-0.007584526483436549,Construction Materials,4
2020-03-18,143.2135009765625,156.84862184269218,141.86793091907705,156.4449398751694,5655031,177.28780364990234,,-1.7434274997984458,-0.06855290779739247,0.09238960578704303,0.09520834818751567,-0.009395553130885692,Construction Materials,4
2020-03-19,138.10032653808594,144.55905956397717,134.01876161666345,138.1451816073457,11032806,175.18422927856446,,-1.7788101515536512,-0.035703159294411466,0.0003248006024620942,0.04676841241291352,-0.029555070749936685,Construction Materials,4
2020-03-20,143.8862762451172,151.19721460757563,135.812856447846,138.10032812797527,14150719,173.14793319702147,,-1.738771962749356,0.041896712716574025,-0.04021195257903032,0.05081053282666037,-0.0561097278208641,Construction Materials,4
2020-03-23,130.83425903320312,135.36433365350072,125.18286241551189,130.07176390757223,4517269,170.47697906494142,180.70376098632812,-1.8290906063373693,-0.09071064699512638,-0.005827946986250665,0.03462452918503511,-0.04319508253764803,Construction Materials,4
2020-03-24,127.51518249511719,139.75987812107851,125.67624771666387,130.1614812013721,3874319,167.43823471069337,179.45507232666014,-1.8520582814497712,-0.02536855837769236,0.020752812759031736,0.09602539388931364,-0.014421300604920084,Construction Materials,4
2020-03-25,125.00345611572266,129.57838581666425,123.79243766344204,124.68948431317713,6937525,164.19765434265136,178.16063400268555,-1.8694391748371988,-0.019697469197369578,-0.0025117049744197706,0.03659842570037686,-0.009687879758776496,Construction Materials,4
