Price,Close,High,Low,Open,Volume,MA_20,MA_50,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,AWL.NS,AWL.NS,AWL.NS,AWL.NS,AWL.NS,,,,,,,,,
Date,,,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-13,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-14,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-15,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-16,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-17,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-20,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-21,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-22,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-23,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-24,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-27,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-28,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-29,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-30,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-01-31,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-02-03,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-02-04,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-02-05,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-02-06,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-02-07,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-02-10,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-02-11,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-02-12,,,,,,,,,,,,,Fast Moving Consumer Goods,8
2020-02-13,,,,,,,,,,,,,Fast Moving Consumer Goods,8
