Price,Close,High,Low,Open,Volume,MA_20,MA_50,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,,,,,,,,,
Date,,,,,,,,,,,,,,
2020-01-10,2706.045654296875,2728.899622946761,2695.4559387607474,2728.8543233685855,526254,,,-1.4640027505929574,,0.008428782062672502,0.00844552220085304,-0.003913354351325338,Fast Moving Consumer Goods,8
2020-01-13,2756.143310546875,2766.235172151566,2703.828045754912,2710.797330255686,420792,,,-1.4069551176597836,0.018513233939882332,-0.016452693195475154,0.0036615881206440992,-0.01898132966880539,Fast Moving Consumer Goods,8
2020-01-14,2810.4951171875,2823.030947359847,2748.9477929103373,2767.819377052392,653300,,,-1.3450631620957105,0.019720239667015173,-0.015184420664574594,0.004460363619094743,-0.021899103791631513,Fast Moving Consumer Goods,8
2020-01-15,2818.68603515625,2836.561910201906,2799.407199140152,2823.9357034149975,438959,,,-1.3357359297131182,0.002914403913623149,0.0018624522892123352,0.006341917766894856,-0.006839653574623572,Fast Moving Consumer Goods,8
2020-01-16,2851.315673828125,2860.140474342314,2819.4106258152874,2820.3157335603323,768872,,,-1.298579627621736,0.011576187721831964,-0.0108721530037299,0.003094992460915824,-0.011189588127926364,Fast Moving Consumer Goods,8
2020-01-17,2827.96337890625,2868.2859664283096,2818.821924787648,2855.614460107705,294064,,,-1.3251715532440118,-0.00819000685761413,0.00977773665942916,0.014258525348250783,-0.0032325220993977277,Fast Moving Consumer Goods,8
2020-01-20,2815.292236328125,2844.753536524708,2809.816290480223,2844.753536524708,203111,,,-1.3396005454314615,-0.004480660065345585,0.010464739616164342,0.010464739616164342,-0.0019450719102056535,Fast Moving Consumer Goods,8
2020-01-21,2816.016357421875,2832.9871269523405,2785.242695339965,2805.8338957035958,220943,,,-1.338775968047057,0.0002572099210185166,-0.0036159100040177306,0.006026516673362847,-0.0109280835676977,Fast Moving Consumer Goods,8
2020-01-22,2811.581298828125,2840.861399365726,2795.7869932092763,2828.9140223175655,248578,,,-1.3438262960191039,-0.001574940636286074,0.006164759844100809,0.010414104173265493,-0.005617588090172543,Fast Moving Consumer Goods,8
2020-01-23,2817.55517578125,2826.5609538576155,2776.9612250630867,2809.318827695362,203032,,,-1.3370236716027208,0.002124739183467655,-0.0029232251267641285,0.003196309393965313,-0.014407508703678684,Fast Moving Consumer Goods,8
2020-01-24,2889.556396484375,2908.0658051661244,2816.740524595402,2817.736010503396,580192,,,-1.2550338238358945,0.025554502471512575,-0.024855159798355397,0.006405622919929632,-0.025199671471221596,Fast Moving Consumer Goods,8
2020-01-27,2872.992919921875,2905.395820935747,2855.6148956549164,2884.578343091036,322446,,,-1.2738951279719481,-0.005732186636901159,0.0040325275738848365,0.011278447917216994,-0.006048752903794585,Fast Moving Consumer Goods,8
2020-01-28,2879.3740234375,2905.3052720292844,2838.870451712917,2880.86736283233,292577,,,-1.2666287830305527,0.0022210648245518548,0.0005186333497053663,0.009005863212180776,-0.014066797642436235,Fast Moving Consumer Goods,8
2020-01-29,2909.197021484375,2937.526935679631,2887.3387596976554,2896.3445367970485,434882,,,-1.2326684828309824,0.010357458879646082,-0.004417880464063106,0.00973805279808837,-0.007513503425617629,Fast Moving Consumer Goods,8
2020-01-30,2906.029296875,2927.751882038881,2889.5110810732986,2904.4453583734667,337850,,,-1.2362756613753678,-0.0010888656168631422,-0.0005450524890566744,0.007475005564204107,-0.00568411881444697,Fast Moving Consumer Goods,8
2020-01-31,2896.978271484375,2963.86586541406,2884.4426619895467,2934.9927962003817,468850,,,-1.2465823226606094,-0.0031145678401652815,0.013122129734348453,0.0230887454656028,-0.004327132729375016,Fast Moving Consumer Goods,8
2020-02-03,2923.54296875,2940.6947142862,2798.909691258895,2803.6615063558484,657504,,,-1.216332342680952,0.009169795136921613,-0.04100554145281077,0.005866767042433274,-0.0426309032647445,Fast Moving Consumer Goods,8
2020-02-04,2925.7607421875,2986.8555140661256,2885.483448134184,2928.023511516338,511585,,,-1.2138069006850214,0.0007585910182288987,0.0007733952049497894,0.02088167053364276,-0.01376643464810523,Fast Moving Consumer Goods,8
2020-02-05,2946.9853515625,3003.147328159962,2935.897782312964,2959.521181511602,423733,,,-1.189637831402963,0.007254389967352909,0.004253780882370384,0.01905743324027198,-0.003762342844241595,Fast Moving Consumer Goods,8
2020-02-06,2943.591064453125,2980.51950088473,2929.245240739342,2950.967824408104,410631,2856.2551147460936,,-1.1935030031411205,-0.001151782823615102,0.002506041020460037,0.012545369116503169,-0.004873579039909259,Fast Moving Consumer Goods,8
