0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0.0,660.77783,670.20154,648.57495,659.37225,80388.0,0.0,0.0,0.0,0.0,0.0,-1.3703152,0.0,-0.002127157,0.014261513,-0.018467495,11.0,1.0,666.0805,678.6348,659.97906,661.25684,192306.0,0.0,0.0,0.0,0.0,0.0,-1.3617399,0.008024896,-0.0072418475,0.018848069,-0.009160191,11.0,2.0,689.17664,696.3642,662.53467,665.7292,126219.0,0.0,0.0,0.0,0.0,0.0,-1.324389,0.03467468,-0.034022443,0.01042922,-0.03865771,11.0,3.0,692.2432,697.003,685.50287,689.87933,73255.0,0.0,0.0,0.0,0.0,0.0,-1.3194298,0.0044496423,-0.0034148707,0.006875877,-0.009736952,11.0,4.0,721.05756,726.42426,692.24335,692.24335,193513.0,685.8671,0.0,0.0,0.0,0.0,-1.2728314,0.041624576,-0.039961074,0.0074428166,-0.039961074,11.0
1.0,666.0805,678.6348,659.97906,661.25684,192306.0,0.0,0.0,0.0,0.0,0.0,-1.3617399,0.008024896,-0.0072418475,0.018848069,-0.009160191,11.0,2.0,689.17664,696.3642,662.53467,665.7292,126219.0,0.0,0.0,0.0,0.0,0.0,-1.324389,0.03467468,-0.034022443,0.01042922,-0.03865771,11.0,3.0,692.2432,697.003,685.50287,689.87933,73255.0,0.0,0.0,0.0,0.0,0.0,-1.3194298,0.0044496423,-0.0034148707,0.006875877,-0.009736952,11.0,4.0,721.05756,726.42426,692.24335,692.24335,193513.0,685.8671,0.0,0.0,0.0,0.0,-1.2728314,0.041624576,-0.039961074,0.0074428166,-0.039961074,11.0,5.0,726.3284,748.1467,712.4644,720.6742,206274.0,698.9773,0.0,0.0,0.0,0.0,-1.2643075,0.0073099216,-0.0077847,0.030039137,-0.01908784,11.0
2.0,689.17664,696.3642,662.53467,665.7292,126219.0,0.0,0.0,0.0,0.0,0.0,-1.324389,0.03467468,-0.034022443,0.01042922,-0.03865771,11.0,3.0,692.2432,697.003,685.50287,689.87933,73255.0,0.0,0.0,0.0,0.0,0.0,-1.3194298,0.0044496423,-0.0034148707,0.006875877,-0.009736952,11.0,4.0,721.05756,726.42426,692.24335,692.24335,193513.0,685.8671,0.0,0.0,0.0,0.0,-1.2728314,0.041624576,-0.039961074,0.0074428166,-0.039961074,11.0,5.0,726.3284,748.1467,712.4644,720.6742,206274.0,698.9773,0.0,0.0,0.0,0.0,-1.2643075,0.0073099216,-0.0077847,0.030039137,-0.01908784,11.0,6.0,763.8635,773.7025,722.1117,725.1465,615586.0,718.5339,0.0,0.0,0.0,0.0,-1.2036061,0.051677857,-0.050685804,0.012880557,-0.05465873,11.0
3.0,692.2432,697.003,685.50287,689.87933,73255.0,0.0,0.0,0.0,0.0,0.0,-1.3194298,0.0044496423,-0.0034148707,0.006875877,-0.009736952,11.0,4.0,721.05756,726.42426,692.24335,692.24335,193513.0,685.8671,0.0,0.0,0.0,0.0,-1.2728314,0.041624576,-0.039961074,0.0074428166,-0.039961074,11.0,5.0,726.3284,748.1467,712.4644,720.6742,206274.0,698.9773,0.0,0.0,0.0,0.0,-1.2643075,0.0073099216,-0.0077847,0.030039137,-0.01908784,11.0,6.0,763.8635,773.7025,722.1117,725.1465,615586.0,718.5339,0.0,0.0,0.0,0.0,-1.2036061,0.051677857,-0.050685804,0.012880557,-0.05465873,11.0,7.0,753.8009,773.38306,747.5078,768.5914,302712.0,731.45874,0.0,0.0,0.0,0.0,-1.2198793,-0.013173324,0.01962116,0.0259779,-0.0083484985,11.0
4.0,721.05756,726.42426,692.24335,692.24335,193513.0,685.8671,0.0,0.0,0.0,0.0,-1.2728314,0.041624576,-0.039961074,0.0074428166,-0.039961074,11.0,5.0,726.3284,748.1467,712.4644,720.6742,206274.0,698.9773,0.0,0.0,0.0,0.0,-1.2643075,0.0073099216,-0.0077847,0.030039137,-0.01908784,11.0,6.0,763.8635,773.7025,722.1117,725.1465,615586.0,718.5339,0.0,0.0,0.0,0.0,-1.2036061,0.051677857,-0.050685804,0.012880557,-0.05465873,11.0,7.0,753.8009,773.38306,747.5078,768.5914,302712.0,731.45874,0.0,0.0,0.0,0.0,-1.2198793,-0.013173324,0.01962116,0.0259779,-0.0083484985,11.0,8.0,762.52185,766.6747,752.012,753.8968,130822.0,745.51447,0.0,0.0,0.0,0.0,-1.2057759,0.011569298,-0.011311269,0.005446141,-0.013783001,11.0
5.0,726.3284,748.1467,712.4644,720.6742,206274.0,698.9773,0.0,0.0,0.0,0.0,-1.2643075,0.0073099216,-0.0077847,0.030039137,-0.01908784,11.0,6.0,763.8635,773.7025,722.1117,725.1465,615586.0,718.5339,0.0,0.0,0.0,0.0,-1.2036061,0.051677857,-0.050685804,0.012880557,-0.05465873,11.0,7.0,753.8009,773.38306,747.5078,768.5914,302712.0,731.45874,0.0,0.0,0.0,0.0,-1.2198793,-0.013173324,0.01962116,0.0259779,-0.0083484985,11.0,8.0,762.52185,766.6747,752.012,753.8968,130822.0,745.51447,0.0,0.0,0.0,0.0,-1.2057759,0.011569298,-0.011311269,0.005446141,-0.013783001,11.0,9.0,755.7175,761.5635,748.01886,756.7717,93963.0,752.4465,0.0,0.0,0.0,0.0,-1.2167797,-0.008923444,0.0013949824,0.0077356007,-0.01018725,11.0
6.0,763.8635,773.7025,722.1117,725.1465,615586.0,718.5339,0.0,0.0,0.0,0.0,-1.2036061,0.051677857,-0.050685804,0.012880557,-0.05465873,11.0,7.0,753.8009,773.38306,747.5078,768.5914,302712.0,731.45874,0.0,0.0,0.0,0.0,-1.2198793,-0.013173324,0.01962116,0.0259779,-0.0083484985,11.0,8.0,762.52185,766.6747,752.012,753.8968,130822.0,745.51447,0.0,0.0,0.0,0.0,-1.2057759,0.011569298,-0.011311269,0.005446141,-0.013783001,11.0,9.0,755.7175,761.5635,748.01886,756.7717,93963.0,752.4465,0.0,0.0,0.0,0.0,-1.2167797,-0.008923444,0.0013949824,0.0077356007,-0.01018725,11.0,10.0,754.0564,763.48016,745.59106,760.28564,66211.0,757.99207,0.0,0.0,0.0,0.0,-1.2194661,-0.0021980868,0.008260962,0.012497405,-0.011226409,11.0
7.0,753.8009,773.38306,747.5078,768.5914,302712.0,731.45874,0.0,0.0,0.0,0.0,-1.2198793,-0.013173324,0.01962116,0.0259779,-0.0083484985,11.0,8.0,762.52185,766.6747,752.012,753.8968,130822.0,745.51447,0.0,0.0,0.0,0.0,-1.2057759,0.011569298,-0.011311269,0.005446141,-0.013783001,11.0,9.0,755.7175,761.5635,748.01886,756.7717,93963.0,752.4465,0.0,0.0,0.0,0.0,-1.2167797,-0.008923444,0.0013949824,0.0077356007,-0.01018725,11.0,10.0,754.0564,763.48016,745.59106,760.28564,66211.0,757.99207,0.0,0.0,0.0,0.0,-1.2194661,-0.0021980868,0.008260962,0.012497405,-0.011226409,11.0,11.0,751.40497,763.3523,737.95624,754.0564,107995.0,755.5003,0.0,0.0,0.0,0.0,-1.2237539,-0.00351622,0.0035286064,0.01590002,-0.017898127,11.0
8.0,762.52185,766.6747,752.012,753.8968,130822.0,745.51447,0.0,0.0,0.0,0.0,-1.2057759,0.011569298,-0.011311269,0.005446141,-0.013783001,11.0,9.0,755.7175,761.5635,748.01886,756.7717,93963.0,752.4465,0.0,0.0,0.0,0.0,-1.2167797,-0.008923444,0.0013949824,0.0077356007,-0.01018725,11.0,10.0,754.0564,763.48016,745.59106,760.28564,66211.0,757.99207,0.0,0.0,0.0,0.0,-1.2194661,-0.0021980868,0.008260962,0.012497405,-0.011226409,11.0,11.0,751.40497,763.3523,737.95624,754.0564,107995.0,755.5003,0.0,0.0,0.0,0.0,-1.2237539,-0.00351622,0.0035286064,0.01590002,-0.017898127,11.0,12.0,743.0355,762.8413,736.90216,755.17456,70312.0,753.3472,0.0,0.0,0.0,0.0,-1.237289,-0.011138395,0.016337086,0.026655229,-0.0082544675,11.0
9.0,755.7175,761.5635,748.01886,756.7717,93963.0,752.4465,0.0,0.0,0.0,0.0,-1.2167797,-0.008923444,0.0013949824,0.0077356007,-0.01018725,11.0,10.0,754.0564,763.48016,745.59106,760.28564,66211.0,757.99207,0.0,0.0,0.0,0.0,-1.2194661,-0.0021980868,0.008260962,0.012497405,-0.011226409,11.0,11.0,751.40497,763.3523,737.95624,754.0564,107995.0,755.5003,0.0,0.0,0.0,0.0,-1.2237539,-0.00351622,0.0035286064,0.01590002,-0.017898127,11.0,12.0,743.0355,762.8413,736.90216,755.17456,70312.0,753.3472,0.0,0.0,0.0,0.0,-1.237289,-0.011138395,0.016337086,0.026655229,-0.0082544675,11.0,13.0,734.5701,750.3189,726.83954,748.7855,87483.0,747.7569,0.0,0.0,0.0,0.0,-1.2509791,-0.0113929855,0.019352006,0.021439465,-0.010524006,11.0
