0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
43.95,44.75,43.8,44.6,10735748.0,0.0,0.0,0.0,0.0,0.0,-0.60506207,0.0,0.014789482,0.018202486,-0.0034130039,9.0,0.0,44.3,44.5,43.9,44.2,9007779.0,0.0,0.0,0.0,0.0,0.0,-0.5872397,0.0079635605,-0.002257302,0.00451469,-0.009029293,9.0,0.0,44.6,44.8,44.0,44.3,10977076.0,0.0,0.0,0.0,0.0,0.0,-0.5719633,0.006771992,-0.0067264405,0.0044843224,-0.013452881,9.0,0.0,45.0,45.45,44.1,44.7,23476674.0,0.0,0.0,0.0,0.0,0.0,-0.5515947,0.008968645,-0.0066666496,0.010000017,-0.020000033,9.0,1.0,45.0,45.45,44.85,45.25,14976576.0,44.57,0.0,0.0,0.0,0.0,-0.5515947,0.0,0.0055555557,0.010000017,-0.0033333672,9.0,0.0
44.3,44.5,43.9,44.2,9007779.0,0.0,0.0,0.0,0.0,0.0,-0.5872397,0.0079635605,-0.002257302,0.00451469,-0.009029293,9.0,0.0,44.6,44.8,44.0,44.3,10977076.0,0.0,0.0,0.0,0.0,0.0,-0.5719633,0.006771992,-0.0067264405,0.0044843224,-0.013452881,9.0,0.0,45.0,45.45,44.1,44.7,23476674.0,0.0,0.0,0.0,0.0,0.0,-0.5515947,0.008968645,-0.0066666496,0.010000017,-0.020000033,9.0,1.0,45.0,45.45,44.85,45.25,14976576.0,44.57,0.0,0.0,0.0,0.0,-0.5515947,0.0,0.0055555557,0.010000017,-0.0033333672,9.0,0.0,43.5,44.3,41.35,43.5,28332556.0,44.48,0.0,0.0,0.0,0.0,-0.6279767,-0.033333335,0.0,0.018390788,-0.049425323,9.0,0.0
44.6,44.8,44.0,44.3,10977076.0,0.0,0.0,0.0,0.0,0.0,-0.5719633,0.006771992,-0.0067264405,0.0044843224,-0.013452881,9.0,0.0,45.0,45.45,44.1,44.7,23476674.0,0.0,0.0,0.0,0.0,0.0,-0.5515947,0.008968645,-0.0066666496,0.010000017,-0.020000033,9.0,1.0,45.0,45.45,44.85,45.25,14976576.0,44.57,0.0,0.0,0.0,0.0,-0.5515947,0.0,0.0055555557,0.010000017,-0.0033333672,9.0,0.0,43.5,44.3,41.35,43.5,28332556.0,44.48,0.0,0.0,0.0,0.0,-0.6279767,-0.033333335,0.0,0.018390788,-0.049425323,9.0,0.0,43.05,45.45,42.7,45.45,15760822.0,44.23,0.0,0.0,0.0,0.0,-0.65089136,-0.010344845,0.055749167,0.055749167,-0.008130046,9.0,0.0
45.0,45.45,44.1,44.7,23476674.0,0.0,0.0,0.0,0.0,0.0,-0.5515947,0.008968645,-0.0066666496,0.010000017,-0.020000033,9.0,1.0,45.0,45.45,44.85,45.25,14976576.0,44.57,0.0,0.0,0.0,0.0,-0.5515947,0.0,0.0055555557,0.010000017,-0.0033333672,9.0,0.0,43.5,44.3,41.35,43.5,28332556.0,44.48,0.0,0.0,0.0,0.0,-0.6279767,-0.033333335,0.0,0.018390788,-0.049425323,9.0,0.0,43.05,45.45,42.7,45.45,15760822.0,44.23,0.0,0.0,0.0,0.0,-0.65089136,-0.010344845,0.055749167,0.055749167,-0.008130046,9.0,0.0,43.2,43.85,42.95,43.0,13924250.0,43.95,0.0,0.0,0.0,0.0,-0.6432531,0.003484356,-0.0046296474,0.015046243,-0.005787037,9.0,1.0
45.0,45.45,44.85,45.25,14976576.0,44.57,0.0,0.0,0.0,0.0,-0.5515947,0.0,0.0055555557,0.010000017,-0.0033333672,9.0,0.0,43.5,44.3,41.35,43.5,28332556.0,44.48,0.0,0.0,0.0,0.0,-0.6279767,-0.033333335,0.0,0.018390788,-0.049425323,9.0,0.0,43.05,45.45,42.7,45.45,15760822.0,44.23,0.0,0.0,0.0,0.0,-0.65089136,-0.010344845,0.055749167,0.055749167,-0.008130046,9.0,0.0,43.2,43.85,42.95,43.0,13924250.0,43.95,0.0,0.0,0.0,0.0,-0.6432531,0.003484356,-0.0046296474,0.015046243,-0.005787037,9.0,1.0,43.35,43.6,43.05,43.5,8871732.0,43.62,0.0,0.0,0.0,0.0,-0.635615,0.0034721692,0.0034602429,0.005767013,-0.0069203977,9.0,1.0
43.5,44.3,41.35,43.5,28332556.0,44.48,0.0,0.0,0.0,0.0,-0.6279767,-0.033333335,0.0,0.018390788,-0.049425323,9.0,0.0,43.05,45.45,42.7,45.45,15760822.0,44.23,0.0,0.0,0.0,0.0,-0.65089136,-0.010344845,0.055749167,0.055749167,-0.008130046,9.0,0.0,43.2,43.85,42.95,43.0,13924250.0,43.95,0.0,0.0,0.0,0.0,-0.6432531,0.003484356,-0.0046296474,0.015046243,-0.005787037,9.0,1.0,43.35,43.6,43.05,43.5,8871732.0,43.62,0.0,0.0,0.0,0.0,-0.635615,0.0034721692,0.0034602429,0.005767013,-0.0069203977,9.0,1.0,43.6,44.05,43.05,43.3,13603990.0,43.34,0.0,0.0,0.0,0.0,-0.6228847,0.005767013,-0.006880717,0.010321119,-0.012614662,9.0,1.0
43.05,45.45,42.7,45.45,15760822.0,44.23,0.0,0.0,0.0,0.0,-0.65089136,-0.010344845,0.055749167,0.055749167,-0.008130046,9.0,0.0,43.2,43.85,42.95,43.0,13924250.0,43.95,0.0,0.0,0.0,0.0,-0.6432531,0.003484356,-0.0046296474,0.015046243,-0.005787037,9.0,1.0,43.35,43.6,43.05,43.5,8871732.0,43.62,0.0,0.0,0.0,0.0,-0.635615,0.0034721692,0.0034602429,0.005767013,-0.0069203977,9.0,1.0,43.6,44.05,43.05,43.3,13603990.0,43.34,0.0,0.0,0.0,0.0,-0.6228847,0.005767013,-0.006880717,0.010321119,-0.012614662,9.0,1.0,44.0,44.25,43.5,43.5,14965229.0,43.44,0.0,0.0,0.0,0.0,-0.60251606,0.009174347,-0.011363637,0.0056818184,-0.011363637,9.0,1.0
43.2,43.85,42.95,43.0,13924250.0,43.95,0.0,0.0,0.0,0.0,-0.6432531,0.003484356,-0.0046296474,0.015046243,-0.005787037,9.0,1.0,43.35,43.6,43.05,43.5,8871732.0,43.62,0.0,0.0,0.0,0.0,-0.635615,0.0034721692,0.0034602429,0.005767013,-0.0069203977,9.0,1.0,43.6,44.05,43.05,43.3,13603990.0,43.34,0.0,0.0,0.0,0.0,-0.6228847,0.005767013,-0.006880717,0.010321119,-0.012614662,9.0,1.0,44.0,44.25,43.5,43.5,14965229.0,43.44,0.0,0.0,0.0,0.0,-0.60251606,0.009174347,-0.011363637,0.0056818184,-0.011363637,9.0,1.0,43.75,44.3,43.35,43.9,14328490.0,43.579998,0.0,0.0,0.0,0.0,-0.6152464,-0.0056818184,0.0034286063,0.012571411,-0.009142892,9.0,0.0
43.35,43.6,43.05,43.5,8871732.0,43.62,0.0,0.0,0.0,0.0,-0.635615,0.0034721692,0.0034602429,0.005767013,-0.0069203977,9.0,1.0,43.6,44.05,43.05,43.3,13603990.0,43.34,0.0,0.0,0.0,0.0,-0.6228847,0.005767013,-0.006880717,0.010321119,-0.012614662,9.0,1.0,44.0,44.25,43.5,43.5,14965229.0,43.44,0.0,0.0,0.0,0.0,-0.60251606,0.009174347,-0.011363637,0.0056818184,-0.011363637,9.0,1.0,43.75,44.3,43.35,43.9,14328490.0,43.579998,0.0,0.0,0.0,0.0,-0.6152464,-0.0056818184,0.0034286063,0.012571411,-0.009142892,9.0,0.0,43.3,43.95,43.05,43.8,11659396.0,43.6,0.0,0.0,0.0,0.0,-0.63816106,-0.010285731,0.011547345,0.0150115825,-0.0057736724,9.0,0.0
43.6,44.05,43.05,43.3,13603990.0,43.34,0.0,0.0,0.0,0.0,-0.6228847,0.005767013,-0.006880717,0.010321119,-0.012614662,9.0,1.0,44.0,44.25,43.5,43.5,14965229.0,43.44,0.0,0.0,0.0,0.0,-0.60251606,0.009174347,-0.011363637,0.0056818184,-0.011363637,9.0,1.0,43.75,44.3,43.35,43.9,14328490.0,43.579998,0.0,0.0,0.0,0.0,-0.6152464,-0.0056818184,0.0034286063,0.012571411,-0.009142892,9.0,0.0,43.3,43.95,43.05,43.8,11659396.0,43.6,0.0,0.0,0.0,0.0,-0.63816106,-0.010285731,0.011547345,0.0150115825,-0.0057736724,9.0,0.0,44.05,44.65,43.4,43.4,28530084.0,43.739998,0.0,0.0,0.0,0.0,-0.59997004,0.017321017,-0.0147559075,0.013620937,-0.0147559075,9.0,1.0
