0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0.0,292.13834,296.5731,289.36664,294.05722,952468.0,0.0,0.0,0.0,0.0,0.0,-0.39024365,0.0,0.0065683844,0.015180302,-0.009487666,9.0,1.0,292.86322,294.22775,290.9017,293.37494,523153.0,0.0,0.0,0.0,0.0,0.0,-0.3852869,0.002481304,0.0017472514,0.004659307,-0.0066976934,9.0,2.0,300.53873,302.20175,291.15756,293.247,2089390.0,0.0,0.0,0.0,0.0,0.0,-0.33280176,0.026208503,-0.024262168,0.005533519,-0.03121453,9.0,3.0,299.5153,305.05872,297.46848,301.00775,1389041.0,0.0,0.0,0.0,0.0,0.0,-0.33980003,-0.0034053433,0.0049829157,0.018507972,-0.0068337824,9.0,4.0,297.21268,301.69006,296.35983,300.1976,678802.0,296.45364,0.0,0.0,0.0,0.0,-0.35554528,-0.0076877954,0.010043042,0.015064563,-0.0028694405,9.0
1.0,292.86322,294.22775,290.9017,293.37494,523153.0,0.0,0.0,0.0,0.0,0.0,-0.3852869,0.002481304,0.0017472514,0.004659307,-0.0066976934,9.0,2.0,300.53873,302.20175,291.15756,293.247,2089390.0,0.0,0.0,0.0,0.0,0.0,-0.33280176,0.026208503,-0.024262168,0.005533519,-0.03121453,9.0,3.0,299.5153,305.05872,297.46848,301.00775,1389041.0,0.0,0.0,0.0,0.0,0.0,-0.33980003,-0.0034053433,0.0049829157,0.018507972,-0.0068337824,9.0,4.0,297.21268,301.69006,296.35983,300.1976,678802.0,296.45364,0.0,0.0,0.0,0.0,-0.35554528,-0.0076877954,0.010043042,0.015064563,-0.0028694405,9.0,5.0,295.0805,301.26355,294.39825,298.06543,860015.0,297.04208,0.0,0.0,0.0,0.0,-0.3701251,-0.007173892,0.010115607,0.020953758,-0.0023121035,9.0
2.0,300.53873,302.20175,291.15756,293.247,2089390.0,0.0,0.0,0.0,0.0,0.0,-0.33280176,0.026208503,-0.024262168,0.005533519,-0.03121453,9.0,3.0,299.5153,305.05872,297.46848,301.00775,1389041.0,0.0,0.0,0.0,0.0,0.0,-0.33980003,-0.0034053433,0.0049829157,0.018507972,-0.0068337824,9.0,4.0,297.21268,301.69006,296.35983,300.1976,678802.0,296.45364,0.0,0.0,0.0,0.0,-0.35554528,-0.0076877954,0.010043042,0.015064563,-0.0028694405,9.0,5.0,295.0805,301.26355,294.39825,298.06543,860015.0,297.04208,0.0,0.0,0.0,0.0,-0.3701251,-0.007173892,0.010115607,0.020953758,-0.0023121035,9.0,6.0,289.92096,298.32135,289.11075,296.78625,756781.0,296.45364,0.0,0.0,0.0,0.0,-0.40540606,-0.017485214,0.023679916,0.028974777,-0.0027945645,9.0
3.0,299.5153,305.05872,297.46848,301.00775,1389041.0,0.0,0.0,0.0,0.0,0.0,-0.33980003,-0.0034053433,0.0049829157,0.018507972,-0.0068337824,9.0,4.0,297.21268,301.69006,296.35983,300.1976,678802.0,296.45364,0.0,0.0,0.0,0.0,-0.35554528,-0.0076877954,0.010043042,0.015064563,-0.0028694405,9.0,5.0,295.0805,301.26355,294.39825,298.06543,860015.0,297.04208,0.0,0.0,0.0,0.0,-0.3701251,-0.007173892,0.010115607,0.020953758,-0.0023121035,9.0,6.0,289.92096,298.32135,289.11075,296.78625,756781.0,296.45364,0.0,0.0,0.0,0.0,-0.40540606,-0.017485214,0.023679916,0.028974777,-0.0027945645,9.0,7.0,288.98282,293.33228,288.12997,290.0062,630169.0,294.14246,0.0,0.0,0.0,0.0,-0.41182107,-0.0032358505,0.003541336,0.015050925,-0.0029511582,9.0
4.0,297.21268,301.69006,296.35983,300.1976,678802.0,296.45364,0.0,0.0,0.0,0.0,-0.35554528,-0.0076877954,0.010043042,0.015064563,-0.0028694405,9.0,5.0,295.0805,301.26355,294.39825,298.06543,860015.0,297.04208,0.0,0.0,0.0,0.0,-0.3701251,-0.007173892,0.010115607,0.020953758,-0.0023121035,9.0,6.0,289.92096,298.32135,289.11075,296.78625,756781.0,296.45364,0.0,0.0,0.0,0.0,-0.40540606,-0.017485214,0.023679916,0.028974777,-0.0027945645,9.0,7.0,288.98282,293.33228,288.12997,290.0062,630169.0,294.14246,0.0,0.0,0.0,0.0,-0.41182107,-0.0032358505,0.003541336,0.015050925,-0.0029511582,9.0,8.0,295.37912,298.2361,290.81644,290.81644,1202368.0,293.31522,0.0,0.0,0.0,0.0,-0.36808315,0.022133846,-0.015446819,0.009672314,-0.015446819,9.0
5.0,295.0805,301.26355,294.39825,298.06543,860015.0,297.04208,0.0,0.0,0.0,0.0,-0.3701251,-0.007173892,0.010115607,0.020953758,-0.0023121035,9.0,6.0,289.92096,298.32135,289.11075,296.78625,756781.0,296.45364,0.0,0.0,0.0,0.0,-0.40540606,-0.017485214,0.023679916,0.028974777,-0.0027945645,9.0,7.0,288.98282,293.33228,288.12997,290.0062,630169.0,294.14246,0.0,0.0,0.0,0.0,-0.41182107,-0.0032358505,0.003541336,0.015050925,-0.0029511582,9.0,8.0,295.37912,298.2361,290.81644,290.81644,1202368.0,293.31522,0.0,0.0,0.0,0.0,-0.36808315,0.022133846,-0.015446819,0.009672314,-0.015446819,9.0,9.0,295.80548,301.4342,291.15753,296.5304,1573539.0,293.03378,0.0,0.0,0.0,0.0,-0.3651677,0.0014434367,0.0024506447,0.019028416,-0.01571288,9.0
6.0,289.92096,298.32135,289.11075,296.78625,756781.0,296.45364,0.0,0.0,0.0,0.0,-0.40540606,-0.017485214,0.023679916,0.028974777,-0.0027945645,9.0,7.0,288.98282,293.33228,288.12997,290.0062,630169.0,294.14246,0.0,0.0,0.0,0.0,-0.41182107,-0.0032358505,0.003541336,0.015050925,-0.0029511582,9.0,8.0,295.37912,298.2361,290.81644,290.81644,1202368.0,293.31522,0.0,0.0,0.0,0.0,-0.36808315,0.022133846,-0.015446819,0.009672314,-0.015446819,9.0,9.0,295.80548,301.4342,291.15753,296.5304,1573539.0,293.03378,0.0,0.0,0.0,0.0,-0.3651677,0.0014434367,0.0024506447,0.019028416,-0.01571288,9.0,10.0,306.6791,309.06705,297.21265,297.21265,2884049.0,295.3535,0.0,0.0,0.0,0.0,-0.29081383,0.036759384,-0.030867647,0.0077863955,-0.030867647,9.0
7.0,288.98282,293.33228,288.12997,290.0062,630169.0,294.14246,0.0,0.0,0.0,0.0,-0.41182107,-0.0032358505,0.003541336,0.015050925,-0.0029511582,9.0,8.0,295.37912,298.2361,290.81644,290.81644,1202368.0,293.31522,0.0,0.0,0.0,0.0,-0.36808315,0.022133846,-0.015446819,0.009672314,-0.015446819,9.0,9.0,295.80548,301.4342,291.15753,296.5304,1573539.0,293.03378,0.0,0.0,0.0,0.0,-0.3651677,0.0014434367,0.0024506447,0.019028416,-0.01571288,9.0,10.0,306.6791,309.06705,297.21265,297.21265,2884049.0,295.3535,0.0,0.0,0.0,0.0,-0.29081383,0.036759384,-0.030867647,0.0077863955,-0.030867647,9.0,11.0,312.56366,318.87463,302.41495,304.7176,3575864.0,299.88205,0.0,0.0,0.0,0.0,-0.25057524,0.019187978,-0.025102353,0.020190978,-0.032469288,9.0
8.0,295.37912,298.2361,290.81644,290.81644,1202368.0,293.31522,0.0,0.0,0.0,0.0,-0.36808315,0.022133846,-0.015446819,0.009672314,-0.015446819,9.0,9.0,295.80548,301.4342,291.15753,296.5304,1573539.0,293.03378,0.0,0.0,0.0,0.0,-0.3651677,0.0014434367,0.0024506447,0.019028416,-0.01571288,9.0,10.0,306.6791,309.06705,297.21265,297.21265,2884049.0,295.3535,0.0,0.0,0.0,0.0,-0.29081383,0.036759384,-0.030867647,0.0077863955,-0.030867647,9.0,11.0,312.56366,318.87463,302.41495,304.7176,3575864.0,299.88205,0.0,0.0,0.0,0.0,-0.25057524,0.019187978,-0.025102353,0.020190978,-0.032469288,9.0,12.0,308.76855,317.93652,307.02026,315.54858,1487913.0,303.83917,0.0,0.0,0.0,0.0,-0.27652618,-0.012141863,0.021958327,0.029692033,-0.005662168,9.0
9.0,295.80548,301.4342,291.15753,296.5304,1573539.0,293.03378,0.0,0.0,0.0,0.0,-0.3651677,0.0014434367,0.0024506447,0.019028416,-0.01571288,9.0,10.0,306.6791,309.06705,297.21265,297.21265,2884049.0,295.3535,0.0,0.0,0.0,0.0,-0.29081383,0.036759384,-0.030867647,0.0077863955,-0.030867647,9.0,11.0,312.56366,318.87463,302.41495,304.7176,3575864.0,299.88205,0.0,0.0,0.0,0.0,-0.25057524,0.019187978,-0.025102353,0.020190978,-0.032469288,9.0,12.0,308.76855,317.93652,307.02026,315.54858,1487913.0,303.83917,0.0,0.0,0.0,0.0,-0.27652618,-0.012141863,0.021958327,0.029692033,-0.005662168,9.0,13.0,312.86218,315.46332,307.95837,311.28442,913343.0,307.3358,0.0,0.0,0.0,0.0,-0.24853393,0.013257917,-0.0050429497,0.008313991,-0.01567398,9.0
