0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0.0,25.4,25.7,24.5,25.6,112415.0,0.0,0.0,0.0,0.0,0.0,-1.6494856,0.0,0.0078740455,0.011811069,-0.035433058,13.0,1.0,26.65,26.65,24.75,25.75,392760.0,0.0,0.0,0.0,0.0,0.0,-1.5950913,0.049212597,-0.033771094,0.0,-0.071294546,13.0,2.0,27.95,27.95,27.0,27.4,555463.0,0.0,0.0,0.0,0.0,0.0,-1.5385213,0.04878053,-0.019678038,0.0,-0.03398929,13.0,3.0,28.95,29.3,27.65,29.3,545853.0,0.0,0.0,0.0,0.0,0.0,-1.495006,0.035778176,0.012089757,0.012089757,-0.044905048,13.0,4.0,28.2,29.7,28.05,29.5,242917.0,27.43,0.0,0.0,0.0,0.0,-1.5276425,-0.025906734,0.046099264,0.053191487,-0.005319203,13.0
1.0,26.65,26.65,24.75,25.75,392760.0,0.0,0.0,0.0,0.0,0.0,-1.5950913,0.049212597,-0.033771094,0.0,-0.071294546,13.0,2.0,27.95,27.95,27.0,27.4,555463.0,0.0,0.0,0.0,0.0,0.0,-1.5385213,0.04878053,-0.019678038,0.0,-0.03398929,13.0,3.0,28.95,29.3,27.65,29.3,545853.0,0.0,0.0,0.0,0.0,0.0,-1.495006,0.035778176,0.012089757,0.012089757,-0.044905048,13.0,4.0,28.2,29.7,28.05,29.5,242917.0,27.43,0.0,0.0,0.0,0.0,-1.5276425,-0.025906734,0.046099264,0.053191487,-0.005319203,13.0,5.0,27.4,28.95,27.25,28.1,232399.0,27.83,0.0,0.0,0.0,0.0,-1.5624548,-0.028368834,0.025547473,0.056569386,-0.005474439,13.0
2.0,27.95,27.95,27.0,27.4,555463.0,0.0,0.0,0.0,0.0,0.0,-1.5385213,0.04878053,-0.019678038,0.0,-0.03398929,13.0,3.0,28.95,29.3,27.65,29.3,545853.0,0.0,0.0,0.0,0.0,0.0,-1.495006,0.035778176,0.012089757,0.012089757,-0.044905048,13.0,4.0,28.2,29.7,28.05,29.5,242917.0,27.43,0.0,0.0,0.0,0.0,-1.5276425,-0.025906734,0.046099264,0.053191487,-0.005319203,13.0,5.0,27.4,28.95,27.25,28.1,232399.0,27.83,0.0,0.0,0.0,0.0,-1.5624548,-0.028368834,0.025547473,0.056569386,-0.005474439,13.0,6.0,26.85,27.9,26.75,27.5,124014.0,27.87,0.0,0.0,0.0,0.0,-1.5863882,-0.020072965,0.024208551,0.039106116,-0.003724409,13.0
3.0,28.95,29.3,27.65,29.3,545853.0,0.0,0.0,0.0,0.0,0.0,-1.495006,0.035778176,0.012089757,0.012089757,-0.044905048,13.0,4.0,28.2,29.7,28.05,29.5,242917.0,27.43,0.0,0.0,0.0,0.0,-1.5276425,-0.025906734,0.046099264,0.053191487,-0.005319203,13.0,5.0,27.4,28.95,27.25,28.1,232399.0,27.83,0.0,0.0,0.0,0.0,-1.5624548,-0.028368834,0.025547473,0.056569386,-0.005474439,13.0,6.0,26.85,27.9,26.75,27.5,124014.0,27.87,0.0,0.0,0.0,0.0,-1.5863882,-0.020072965,0.024208551,0.039106116,-0.003724409,13.0,7.0,27.9,28.15,26.35,26.5,329446.0,27.86,0.0,0.0,0.0,0.0,-1.5406972,0.039106116,-0.0501792,0.008960574,-0.05555553,13.0
4.0,28.2,29.7,28.05,29.5,242917.0,27.43,0.0,0.0,0.0,0.0,-1.5276425,-0.025906734,0.046099264,0.053191487,-0.005319203,13.0,5.0,27.4,28.95,27.25,28.1,232399.0,27.83,0.0,0.0,0.0,0.0,-1.5624548,-0.028368834,0.025547473,0.056569386,-0.005474439,13.0,6.0,26.85,27.9,26.75,27.5,124014.0,27.87,0.0,0.0,0.0,0.0,-1.5863882,-0.020072965,0.024208551,0.039106116,-0.003724409,13.0,7.0,27.9,28.15,26.35,26.5,329446.0,27.86,0.0,0.0,0.0,0.0,-1.5406972,0.039106116,-0.0501792,0.008960574,-0.05555553,13.0,8.0,27.9,28.45,26.9,28.45,116352.0,27.65,0.0,0.0,0.0,0.0,-1.5406972,0.0,0.019713303,0.019713303,-0.035842296,13.0
5.0,27.4,28.95,27.25,28.1,232399.0,27.83,0.0,0.0,0.0,0.0,-1.5624548,-0.028368834,0.025547473,0.056569386,-0.005474439,13.0,6.0,26.85,27.9,26.75,27.5,124014.0,27.87,0.0,0.0,0.0,0.0,-1.5863882,-0.020072965,0.024208551,0.039106116,-0.003724409,13.0,7.0,27.9,28.15,26.35,26.5,329446.0,27.86,0.0,0.0,0.0,0.0,-1.5406972,0.039106116,-0.0501792,0.008960574,-0.05555553,13.0,8.0,27.9,28.45,26.9,28.45,116352.0,27.65,0.0,0.0,0.0,0.0,-1.5406972,0.0,0.019713303,0.019713303,-0.035842296,13.0,9.0,27.25,27.9,27.0,27.55,72120.0,27.46,0.0,0.0,0.0,0.0,-1.5689821,-0.023297478,0.011009146,0.023853198,-0.0091743115,13.0
6.0,26.85,27.9,26.75,27.5,124014.0,27.87,0.0,0.0,0.0,0.0,-1.5863882,-0.020072965,0.024208551,0.039106116,-0.003724409,13.0,7.0,27.9,28.15,26.35,26.5,329446.0,27.86,0.0,0.0,0.0,0.0,-1.5406972,0.039106116,-0.0501792,0.008960574,-0.05555553,13.0,8.0,27.9,28.45,26.9,28.45,116352.0,27.65,0.0,0.0,0.0,0.0,-1.5406972,0.0,0.019713303,0.019713303,-0.035842296,13.0,9.0,27.25,27.9,27.0,27.55,72120.0,27.46,0.0,0.0,0.0,0.0,-1.5689821,-0.023297478,0.011009146,0.023853198,-0.0091743115,13.0,10.0,27.65,27.9,26.6,27.4,60704.0,27.51,0.0,0.0,0.0,0.0,-1.551576,0.014678885,-0.009041592,0.009041592,-0.037974656,13.0
7.0,27.9,28.15,26.35,26.5,329446.0,27.86,0.0,0.0,0.0,0.0,-1.5406972,0.039106116,-0.0501792,0.008960574,-0.05555553,13.0,8.0,27.9,28.45,26.9,28.45,116352.0,27.65,0.0,0.0,0.0,0.0,-1.5406972,0.0,0.019713303,0.019713303,-0.035842296,13.0,9.0,27.25,27.9,27.0,27.55,72120.0,27.46,0.0,0.0,0.0,0.0,-1.5689821,-0.023297478,0.011009146,0.023853198,-0.0091743115,13.0,10.0,27.65,27.9,26.6,27.4,60704.0,27.51,0.0,0.0,0.0,0.0,-1.551576,0.014678885,-0.009041592,0.009041592,-0.037974656,13.0,11.0,27.2,28.5,26.7,26.7,88542.0,27.58,0.0,0.0,0.0,0.0,-1.5711579,-0.016274823,-0.018382352,0.04779409,-0.018382352,13.0
8.0,27.9,28.45,26.9,28.45,116352.0,27.65,0.0,0.0,0.0,0.0,-1.5406972,0.0,0.019713303,0.019713303,-0.035842296,13.0,9.0,27.25,27.9,27.0,27.55,72120.0,27.46,0.0,0.0,0.0,0.0,-1.5689821,-0.023297478,0.011009146,0.023853198,-0.0091743115,13.0,10.0,27.65,27.9,26.6,27.4,60704.0,27.51,0.0,0.0,0.0,0.0,-1.551576,0.014678885,-0.009041592,0.009041592,-0.037974656,13.0,11.0,27.2,28.5,26.7,26.7,88542.0,27.58,0.0,0.0,0.0,0.0,-1.5711579,-0.016274823,-0.018382352,0.04779409,-0.018382352,13.0,12.0,26.85,27.4,26.55,27.0,41714.0,27.37,0.0,0.0,0.0,0.0,-1.5863882,-0.01286766,0.005586578,0.020484142,-0.011173227,13.0
9.0,27.25,27.9,27.0,27.55,72120.0,27.46,0.0,0.0,0.0,0.0,-1.5689821,-0.023297478,0.011009146,0.023853198,-0.0091743115,13.0,10.0,27.65,27.9,26.6,27.4,60704.0,27.51,0.0,0.0,0.0,0.0,-1.551576,0.014678885,-0.009041592,0.009041592,-0.037974656,13.0,11.0,27.2,28.5,26.7,26.7,88542.0,27.58,0.0,0.0,0.0,0.0,-1.5711579,-0.016274823,-0.018382352,0.04779409,-0.018382352,13.0,12.0,26.85,27.4,26.55,27.0,41714.0,27.37,0.0,0.0,0.0,0.0,-1.5863882,-0.01286766,0.005586578,0.020484142,-0.011173227,13.0,13.0,27.1,27.55,26.6,27.35,83496.0,27.210001,0.0,0.0,0.0,0.0,-1.5755094,0.009310987,0.009225092,0.016605124,-0.018450184,13.0
