0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0.0,2017.2177,2035.8538,2012.1599,2030.386,1915807.0,0.0,0.0,0.0,0.0,0.0,-1.7048292,0.0,0.0065279533,0.009238531,-0.0025073066,12.0,1.0,1996.0758,2022.139,1990.9268,2021.1367,2843893.0,0.0,0.0,0.0,0.0,0.0,-1.7361444,-0.010480696,0.01255507,0.013057207,-0.0025795633,12.0,2.0,2011.1575,2032.0265,2000.313,2000.313,2948452.0,0.0,0.0,0.0,0.0,0.0,-1.7138056,0.0075556575,-0.005392135,0.010376613,-0.005392135,12.0,3.0,2029.3835,2033.12,1999.584,2016.7166,2620681.0,0.0,0.0,0.0,0.0,0.0,-1.6868091,0.00906248,-0.0062418175,0.0018411684,-0.014684069,12.0,4.0,2040.2275,2049.5227,2018.5385,2029.4285,3117214.0,2018.8124,0.0,0.0,0.0,0.0,-1.6707469,0.0053434917,-0.0052930578,0.0045559905,-0.010630717,12.0
1.0,1996.0758,2022.139,1990.9268,2021.1367,2843893.0,0.0,0.0,0.0,0.0,0.0,-1.7361444,-0.010480696,0.01255507,0.013057207,-0.0025795633,12.0,2.0,2011.1575,2032.0265,2000.313,2000.313,2948452.0,0.0,0.0,0.0,0.0,0.0,-1.7138056,0.0075556575,-0.005392135,0.010376613,-0.005392135,12.0,3.0,2029.3835,2033.12,1999.584,2016.7166,2620681.0,0.0,0.0,0.0,0.0,0.0,-1.6868091,0.00906248,-0.0062418175,0.0018411684,-0.014684069,12.0,4.0,2040.2275,2049.5227,2018.5385,2029.4285,3117214.0,2018.8124,0.0,0.0,0.0,0.0,-1.6707469,0.0053434917,-0.0052930578,0.0045559905,-0.010630717,12.0,5.0,2022.275,2053.6694,2016.716,2042.0046,3281059.0,2019.8239,0.0,0.0,0.0,0.0,-1.6973382,-0.008799271,0.009756163,0.015524289,-0.0027489061,12.0
2.0,2011.1575,2032.0265,2000.313,2000.313,2948452.0,0.0,0.0,0.0,0.0,0.0,-1.7138056,0.0075556575,-0.005392135,0.010376613,-0.005392135,12.0,3.0,2029.3835,2033.12,1999.584,2016.7166,2620681.0,0.0,0.0,0.0,0.0,0.0,-1.6868091,0.00906248,-0.0062418175,0.0018411684,-0.014684069,12.0,4.0,2040.2275,2049.5227,2018.5385,2029.4285,3117214.0,2018.8124,0.0,0.0,0.0,0.0,-1.6707469,0.0053434917,-0.0052930578,0.0045559905,-0.010630717,12.0,5.0,2022.275,2053.6694,2016.716,2042.0046,3281059.0,2019.8239,0.0,0.0,0.0,0.0,-1.6973382,-0.008799271,0.009756163,0.015524289,-0.0027489061,12.0,6.0,1977.8492,2043.3263,1964.9541,2000.2216,5817599.0,2016.1786,0.0,0.0,0.0,0.0,-1.7631416,-0.02196822,0.011311449,0.03310519,-0.006519753,12.0
3.0,2029.3835,2033.12,1999.584,2016.7166,2620681.0,0.0,0.0,0.0,0.0,0.0,-1.6868091,0.00906248,-0.0062418175,0.0018411684,-0.014684069,12.0,4.0,2040.2275,2049.5227,2018.5385,2029.4285,3117214.0,2018.8124,0.0,0.0,0.0,0.0,-1.6707469,0.0053434917,-0.0052930578,0.0045559905,-0.010630717,12.0,5.0,2022.275,2053.6694,2016.716,2042.0046,3281059.0,2019.8239,0.0,0.0,0.0,0.0,-1.6973382,-0.008799271,0.009756163,0.015524289,-0.0027489061,12.0,6.0,1977.8492,2043.3263,1964.9541,2000.2216,5817599.0,2016.1786,0.0,0.0,0.0,0.0,-1.7631416,-0.02196822,0.011311449,0.03310519,-0.006519753,12.0,7.0,1978.487,1992.6123,1966.6401,1977.4845,1902980.0,2009.6445,0.0,0.0,0.0,0.0,-1.7621969,0.00032248028,-0.00050671224,0.0071394024,-0.005987886,12.0
4.0,2040.2275,2049.5227,2018.5385,2029.4285,3117214.0,2018.8124,0.0,0.0,0.0,0.0,-1.6707469,0.0053434917,-0.0052930578,0.0045559905,-0.010630717,12.0,5.0,2022.275,2053.6694,2016.716,2042.0046,3281059.0,2019.8239,0.0,0.0,0.0,0.0,-1.6973382,-0.008799271,0.009756163,0.015524289,-0.0027489061,12.0,6.0,1977.8492,2043.3263,1964.9541,2000.2216,5817599.0,2016.1786,0.0,0.0,0.0,0.0,-1.7631416,-0.02196822,0.011311449,0.03310519,-0.006519753,12.0,7.0,1978.487,1992.6123,1966.6401,1977.4845,1902980.0,2009.6445,0.0,0.0,0.0,0.0,-1.7621969,0.00032248028,-0.00050671224,0.0071394024,-0.005987886,12.0,8.0,2011.1575,2013.9825,1980.9022,1987.5548,1773686.0,2005.9993,0.0,0.0,0.0,0.0,-1.7138056,0.016512824,-0.011735875,0.0014047297,-0.015043705,12.0
5.0,2022.275,2053.6694,2016.716,2042.0046,3281059.0,2019.8239,0.0,0.0,0.0,0.0,-1.6973382,-0.008799271,0.009756163,0.015524289,-0.0027489061,12.0,6.0,1977.8492,2043.3263,1964.9541,2000.2216,5817599.0,2016.1786,0.0,0.0,0.0,0.0,-1.7631416,-0.02196822,0.011311449,0.03310519,-0.006519753,12.0,7.0,1978.487,1992.6123,1966.6401,1977.4845,1902980.0,2009.6445,0.0,0.0,0.0,0.0,-1.7621969,0.00032248028,-0.00050671224,0.0071394024,-0.005987886,12.0,8.0,2011.1575,2013.9825,1980.9022,1987.5548,1773686.0,2005.9993,0.0,0.0,0.0,0.0,-1.7138056,0.016512824,-0.011735875,0.0014047297,-0.015043705,12.0,9.0,2001.1558,2025.6343,1994.5338,2018.3729,2069866.0,1998.1849,0.0,0.0,0.0,0.0,-1.72862,-0.0049731107,0.0086036185,0.012232159,-0.0033090669,12.0
6.0,1977.8492,2043.3263,1964.9541,2000.2216,5817599.0,2016.1786,0.0,0.0,0.0,0.0,-1.7631416,-0.02196822,0.011311449,0.03310519,-0.006519753,12.0,7.0,1978.487,1992.6123,1966.6401,1977.4845,1902980.0,2009.6445,0.0,0.0,0.0,0.0,-1.7621969,0.00032248028,-0.00050671224,0.0071394024,-0.005987886,12.0,8.0,2011.1575,2013.9825,1980.9022,1987.5548,1773686.0,2005.9993,0.0,0.0,0.0,0.0,-1.7138056,0.016512824,-0.011735875,0.0014047297,-0.015043705,12.0,9.0,2001.1558,2025.6343,1994.5338,2018.3729,2069866.0,1998.1849,0.0,0.0,0.0,0.0,-1.72862,-0.0049731107,0.0086036185,0.012232159,-0.0033090669,12.0,10.0,1994.2598,2001.1558,1982.0206,2001.1558,1319430.0,1992.5819,0.0,0.0,0.0,0.0,-1.7388344,-0.0034460067,0.0034579323,0.0034579323,-0.0061371727,12.0
7.0,1978.487,1992.6123,1966.6401,1977.4845,1902980.0,2009.6445,0.0,0.0,0.0,0.0,-1.7621969,0.00032248028,-0.00050671224,0.0071394024,-0.005987886,12.0,8.0,2011.1575,2013.9825,1980.9022,1987.5548,1773686.0,2005.9993,0.0,0.0,0.0,0.0,-1.7138056,0.016512824,-0.011735875,0.0014047297,-0.015043705,12.0,9.0,2001.1558,2025.6343,1994.5338,2018.3729,2069866.0,1998.1849,0.0,0.0,0.0,0.0,-1.72862,-0.0049731107,0.0086036185,0.012232159,-0.0033090669,12.0,10.0,1994.2598,2001.1558,1982.0206,2001.1558,1319430.0,1992.5819,0.0,0.0,0.0,0.0,-1.7388344,-0.0034460067,0.0034579323,0.0034579323,-0.0061371727,12.0,11.0,1981.3354,2003.4391,1977.4536,2000.0139,1549101.0,1993.279,0.0,0.0,0.0,0.0,-1.7579778,-0.0064807585,0.009427199,0.011155907,-0.0019592026,12.0
8.0,2011.1575,2013.9825,1980.9022,1987.5548,1773686.0,2005.9993,0.0,0.0,0.0,0.0,-1.7138056,0.016512824,-0.011735875,0.0014047297,-0.015043705,12.0,9.0,2001.1558,2025.6343,1994.5338,2018.3729,2069866.0,1998.1849,0.0,0.0,0.0,0.0,-1.72862,-0.0049731107,0.0086036185,0.012232159,-0.0033090669,12.0,10.0,1994.2598,2001.1558,1982.0206,2001.1558,1319430.0,1992.5819,0.0,0.0,0.0,0.0,-1.7388344,-0.0034460067,0.0034579323,0.0034579323,-0.0061371727,12.0,11.0,1981.3354,2003.4391,1977.4536,2000.0139,1549101.0,1993.279,0.0,0.0,0.0,0.0,-1.7579778,-0.0064807585,0.009427199,0.011155907,-0.0019592026,12.0,12.0,1994.5797,1998.2789,1965.5801,1985.6743,1743024.0,1996.4977,0.0,0.0,0.0,0.0,-1.7383605,0.0066845133,-0.0044647967,0.0018546303,-0.01453921,12.0
9.0,2001.1558,2025.6343,1994.5338,2018.3729,2069866.0,1998.1849,0.0,0.0,0.0,0.0,-1.72862,-0.0049731107,0.0086036185,0.012232159,-0.0033090669,12.0,10.0,1994.2598,2001.1558,1982.0206,2001.1558,1319430.0,1992.5819,0.0,0.0,0.0,0.0,-1.7388344,-0.0034460067,0.0034579323,0.0034579323,-0.0061371727,12.0,11.0,1981.3354,2003.4391,1977.4536,2000.0139,1549101.0,1993.279,0.0,0.0,0.0,0.0,-1.7579778,-0.0064807585,0.009427199,0.011155907,-0.0019592026,12.0,12.0,1994.5797,1998.2789,1965.5801,1985.6743,1743024.0,1996.4977,0.0,0.0,0.0,0.0,-1.7383605,0.0066845133,-0.0044647967,0.0018546303,-0.01453921,12.0,13.0,1967.9548,1997.5023,1963.7532,1995.7213,2306761.0,1987.857,0.0,0.0,0.0,0.0,-1.7777972,-0.013348616,0.014109301,0.015014319,-0.0021350123,12.0
