0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0.0,44.75,48.35,43.8,47.95,303072420.0,0.0,0.0,0.0,0.0,0.0,4.233381,0.0,0.0715084,0.08044689,-0.021229068,9.0,1.0,42.1,43.9,41.05,43.4,194734030.0,0.0,0.0,0.0,0.0,0.0,3.8050117,-0.05921791,0.030878933,0.042755418,-0.0249406,9.0,2.0,38.55,41.75,36.55,41.75,314975420.0,0.0,0.0,0.0,0.0,0.0,3.2311597,-0.084323026,0.0830091,0.0830091,-0.051880676,9.0,3.0,39.75,41.1,36.65,38.45,400694720.0,0.0,0.0,0.0,0.0,0.0,3.425138,0.031128425,-0.032704383,0.033962227,-0.07798738,9.0,4.0,39.95,40.9,39.75,40.15,126354616.0,41.02,0.0,0.0,0.0,0.0,3.4574678,0.0050314656,0.005006277,0.023779742,-0.005006277,9.0
1.0,42.1,43.9,41.05,43.4,194734030.0,0.0,0.0,0.0,0.0,0.0,3.8050117,-0.05921791,0.030878933,0.042755418,-0.0249406,9.0,2.0,38.55,41.75,36.55,41.75,314975420.0,0.0,0.0,0.0,0.0,0.0,3.2311597,-0.084323026,0.0830091,0.0830091,-0.051880676,9.0,3.0,39.75,41.1,36.65,38.45,400694720.0,0.0,0.0,0.0,0.0,0.0,3.425138,0.031128425,-0.032704383,0.033962227,-0.07798738,9.0,4.0,39.95,40.9,39.75,40.15,126354616.0,41.02,0.0,0.0,0.0,0.0,3.4574678,0.0050314656,0.005006277,0.023779742,-0.005006277,9.0,5.0,39.25,39.55,37.0,37.6,125635830.0,39.92,0.0,0.0,0.0,0.0,3.3443136,-0.017521922,-0.042038254,0.0076432927,-0.05732484,9.0
2.0,38.55,41.75,36.55,41.75,314975420.0,0.0,0.0,0.0,0.0,0.0,3.2311597,-0.084323026,0.0830091,0.0830091,-0.051880676,9.0,3.0,39.75,41.1,36.65,38.45,400694720.0,0.0,0.0,0.0,0.0,0.0,3.425138,0.031128425,-0.032704383,0.033962227,-0.07798738,9.0,4.0,39.95,40.9,39.75,40.15,126354616.0,41.02,0.0,0.0,0.0,0.0,3.4574678,0.0050314656,0.005006277,0.023779742,-0.005006277,9.0,5.0,39.25,39.55,37.0,37.6,125635830.0,39.92,0.0,0.0,0.0,0.0,3.3443136,-0.017521922,-0.042038254,0.0076432927,-0.05732484,9.0,6.0,38.65,40.2,38.45,39.5,89703180.0,39.23,0.0,0.0,0.0,0.0,3.247325,-0.015286585,0.021992197,0.040103473,-0.005174664,9.0
3.0,39.75,41.1,36.65,38.45,400694720.0,0.0,0.0,0.0,0.0,0.0,3.425138,0.031128425,-0.032704383,0.033962227,-0.07798738,9.0,4.0,39.95,40.9,39.75,40.15,126354616.0,41.02,0.0,0.0,0.0,0.0,3.4574678,0.0050314656,0.005006277,0.023779742,-0.005006277,9.0,5.0,39.25,39.55,37.0,37.6,125635830.0,39.92,0.0,0.0,0.0,0.0,3.3443136,-0.017521922,-0.042038254,0.0076432927,-0.05732484,9.0,6.0,38.65,40.2,38.45,39.5,89703180.0,39.23,0.0,0.0,0.0,0.0,3.247325,-0.015286585,0.021992197,0.040103473,-0.005174664,9.0,7.0,38.35,39.2,38.1,38.6,67215940.0,39.19,0.0,0.0,0.0,0.0,3.19883,-0.007762045,0.006518905,0.022164337,-0.006518905,9.0
4.0,39.95,40.9,39.75,40.15,126354616.0,41.02,0.0,0.0,0.0,0.0,3.4574678,0.0050314656,0.005006277,0.023779742,-0.005006277,9.0,5.0,39.25,39.55,37.0,37.6,125635830.0,39.92,0.0,0.0,0.0,0.0,3.3443136,-0.017521922,-0.042038254,0.0076432927,-0.05732484,9.0,6.0,38.65,40.2,38.45,39.5,89703180.0,39.23,0.0,0.0,0.0,0.0,3.247325,-0.015286585,0.021992197,0.040103473,-0.005174664,9.0,7.0,38.35,39.2,38.1,38.6,67215940.0,39.19,0.0,0.0,0.0,0.0,3.19883,-0.007762045,0.006518905,0.022164337,-0.006518905,9.0,8.0,38.45,39.0,38.0,38.7,62400796.0,38.93,0.0,0.0,0.0,0.0,3.214995,0.0026076217,0.0065019503,0.014304271,-0.01170353,9.0
5.0,39.25,39.55,37.0,37.6,125635830.0,39.92,0.0,0.0,0.0,0.0,3.3443136,-0.017521922,-0.042038254,0.0076432927,-0.05732484,9.0,6.0,38.65,40.2,38.45,39.5,89703180.0,39.23,0.0,0.0,0.0,0.0,3.247325,-0.015286585,0.021992197,0.040103473,-0.005174664,9.0,7.0,38.35,39.2,38.1,38.6,67215940.0,39.19,0.0,0.0,0.0,0.0,3.19883,-0.007762045,0.006518905,0.022164337,-0.006518905,9.0,8.0,38.45,39.0,38.0,38.7,62400796.0,38.93,0.0,0.0,0.0,0.0,3.214995,0.0026076217,0.0065019503,0.014304271,-0.01170353,9.0,9.0,40.95,41.4,38.35,38.55,178774940.0,39.13,0.0,0.0,0.0,0.0,3.6191163,0.0650195,-0.058608096,0.010989029,-0.06349212,9.0
6.0,38.65,40.2,38.45,39.5,89703180.0,39.23,0.0,0.0,0.0,0.0,3.247325,-0.015286585,0.021992197,0.040103473,-0.005174664,9.0,7.0,38.35,39.2,38.1,38.6,67215940.0,39.19,0.0,0.0,0.0,0.0,3.19883,-0.007762045,0.006518905,0.022164337,-0.006518905,9.0,8.0,38.45,39.0,38.0,38.7,62400796.0,38.93,0.0,0.0,0.0,0.0,3.214995,0.0026076217,0.0065019503,0.014304271,-0.01170353,9.0,9.0,40.95,41.4,38.35,38.55,178774940.0,39.13,0.0,0.0,0.0,0.0,3.6191163,0.0650195,-0.058608096,0.010989029,-0.06349212,9.0,10.0,42.8,45.0,41.1,41.2,289854100.0,39.84,0.0,0.0,0.0,0.0,3.918166,0.045177005,-0.037383143,0.051401887,-0.039719645,9.0
7.0,38.35,39.2,38.1,38.6,67215940.0,39.19,0.0,0.0,0.0,0.0,3.19883,-0.007762045,0.006518905,0.022164337,-0.006518905,9.0,8.0,38.45,39.0,38.0,38.7,62400796.0,38.93,0.0,0.0,0.0,0.0,3.214995,0.0026076217,0.0065019503,0.014304271,-0.01170353,9.0,9.0,40.95,41.4,38.35,38.55,178774940.0,39.13,0.0,0.0,0.0,0.0,3.6191163,0.0650195,-0.058608096,0.010989029,-0.06349212,9.0,10.0,42.8,45.0,41.1,41.2,289854100.0,39.84,0.0,0.0,0.0,0.0,3.918166,0.045177005,-0.037383143,0.051401887,-0.039719645,9.0,11.0,42.4,43.45,41.85,42.3,134241970.0,40.59,0.0,0.0,0.0,0.0,3.8535068,-0.009345741,-0.0023585444,0.024764132,-0.01297177,9.0
8.0,38.45,39.0,38.0,38.7,62400796.0,38.93,0.0,0.0,0.0,0.0,3.214995,0.0026076217,0.0065019503,0.014304271,-0.01170353,9.0,9.0,40.95,41.4,38.35,38.55,178774940.0,39.13,0.0,0.0,0.0,0.0,3.6191163,0.0650195,-0.058608096,0.010989029,-0.06349212,9.0,10.0,42.8,45.0,41.1,41.2,289854100.0,39.84,0.0,0.0,0.0,0.0,3.918166,0.045177005,-0.037383143,0.051401887,-0.039719645,9.0,11.0,42.4,43.45,41.85,42.3,134241970.0,40.59,0.0,0.0,0.0,0.0,3.8535068,-0.009345741,-0.0023585444,0.024764132,-0.01297177,9.0,12.0,41.65,43.3,41.25,42.5,106167370.0,41.25,0.0,0.0,0.0,0.0,3.7322705,-0.017688679,0.020408126,0.03961579,-0.009603878,9.0
9.0,40.95,41.4,38.35,38.55,178774940.0,39.13,0.0,0.0,0.0,0.0,3.6191163,0.0650195,-0.058608096,0.010989029,-0.06349212,9.0,10.0,42.8,45.0,41.1,41.2,289854100.0,39.84,0.0,0.0,0.0,0.0,3.918166,0.045177005,-0.037383143,0.051401887,-0.039719645,9.0,11.0,42.4,43.45,41.85,42.3,134241970.0,40.59,0.0,0.0,0.0,0.0,3.8535068,-0.009345741,-0.0023585444,0.024764132,-0.01297177,9.0,12.0,41.65,43.3,41.25,42.5,106167370.0,41.25,0.0,0.0,0.0,0.0,3.7322705,-0.017688679,0.020408126,0.03961579,-0.009603878,9.0,13.0,41.2,42.35,41.0,41.85,141475650.0,41.8,0.0,0.0,0.0,0.0,3.6595285,-0.010804339,0.015776644,0.027912565,-0.004854387,9.0
