Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2020-01-10,2154.628173828125,2193.7060198744134,2042.1658181730104,2051.7086490990528,266354,,,,,,,-1.3526217630725552,,-0.04776672187768494,0.018136700578299303,-0.05219571386895161,Healthcare,11
2020-01-13,2232.545654296875,2242.565628381131,2173.857234660518,2178.5808901329483,231850,,,,,,,-1.2784138831544016,0.0361628430441964,-0.024171852459125898,0.004488138491130389,-0.026287668305193357,Healthcare,11
2020-01-14,2217.56396484375,2243.5204285225755,2138.835578900274,2237.3175859936955,160556,,,,,,,-1.2926823041200213,-0.006710585928798567,0.008907802193357517,0.011704944745823509,-0.035502193935146864,Healthcare,11
2020-01-15,2257.547607421875,2295.0509819134486,2202.1991845732346,2202.1991845732346,159401,,,,,,,-1.2546022567509605,0.018030434842921095,-0.024517056768449952,0.016612440140034268,-0.024517056768449952,Healthcare,11
2020-01-16,2254.63720703125,2266.422698253893,2235.6948244776386,2247.193984132009,85579,2223.384521484375,,,,,,-1.257374094872547,-0.0012891867179486347,-0.003301295160049955,0.005227222892396632,-0.00840152131550842,Healthcare,11
2020-01-17,2231.30517578125,2266.4228479794915,2224.4343825853452,2254.637355978269,76445,2238.719921875,,,,,,-1.2795953032949756,-0.010348463680647763,0.010456740947078158,0.015738623555133335,-0.003079270944414403,Healthcare,11
2020-01-20,2251.48828125,2278.3990223300843,2237.126271727791,2278.3990223300843,72290,2242.508447265625,,,,,,-1.2603731023460996,0.00904542582871178,0.011952423338905227,0.011952423338905227,-0.00637889596930763,Healthcare,11
2020-01-21,2249.1025390625,2265.516164133897,2215.4162942193007,2252.060677307969,127081,2248.816162109375,,,,,,-1.2626452609002596,-0.0010596289607048117,0.0013152527259614466,0.007297855382902396,-0.014977638528317572,Healthcare,11
2020-01-22,2252.919921875,2261.651521265368,2235.7428217134907,2252.2042093682703,47447,2247.890625,,,,,,-1.2590096211998045,0.0016972915846207755,-0.0003176821775955352,0.0038756812017983755,-0.007624372262292178,Healthcare,11
2020-01-23,2223.194091796875,2256.880343949369,2204.394754555198,2255.1148263870955,57972,2241.602001953125,,,,,,-1.2873202238480723,-0.01319435714935912,0.014358051196700083,0.015152186791422828,-0.008456003599075279,Healthcare,11
2020-01-24,2239.655029296875,2242.565639808233,2216.8477527901236,2230.159957545464,45894,2243.27197265625,,,,,,-1.271642980872664,0.007404183719603,-0.00423952422458207,0.0012995798340744713,-0.010183388159520024,Healthcare,11
2020-01-27,2249.341064453125,2279.496274329055,2218.708479989294,2242.5655604192866,67100,2242.842529296875,,,,,,-1.2624180915482934,0.004324788875763098,-0.0030122172848365825,0.01340624165560289,-0.013618470292444673,Healthcare,11
2020-01-28,2218.32666015625,2271.1938524372367,2207.4954534245535,2263.368777356628,29306,2236.687353515625,,,,,,-1.291955920235126,-0.013788217708289353,0.020304546669968504,0.023832014117011413,-0.004882602245303902,Healthcare,11
2020-01-29,2194.755859375,2241.611258132625,2149.1888361413544,2232.116186798123,80168,2225.054541015625,,,,,,-1.3144045305267698,-0.010625486861159468,0.017022543652651212,0.021348797661243424,-0.020761773132535022,Healthcare,11
2020-01-30,2190.8916015625,2208.4503226460956,2172.9032665723926,2208.4503226460956,32387,2218.59404296875,2227.8601888020835,,,,,-1.3180848135389724,-0.0017606777519210831,0.008014417998167156,0.008014417998167156,-0.00821050889842223,Healthcare,11
2020-01-31,2288.036865234375,2290.3750452983386,2176.5767814598676,2204.537090929417,131984,2228.27041015625,2236.7541015625,,,,,-1.2255645726660516,0.04434051579849635,-0.036494068593778795,0.001021915380600369,-0.048714286674349516,Healthcare,11
2020-02-03,2267.94970703125,2285.5084259638397,2244.9991478489865,2271.1941769494524,49486,2231.992138671875,2239.1143717447917,,,,,-1.2446953943361938,-0.008779210907105456,0.0014305740149984647,0.007742111246185512,-0.010119518572704989,Healthcare,11
2020-02-04,2262.415283203125,2331.505312809746,2228.251888593696,2271.194644476658,128380,2240.80986328125,2242.104459635417,,,,,-1.249966327846658,-0.002440276259639624,0.0038805259753653676,0.030538173128322965,-0.015100408339294935,Healthcare,11
2020-02-05,2278.112548828125,2299.8224914339853,2258.788314200931,2286.462526753456,33615,2257.481201171875,2243.4754557291667,2237.6009071751646,,,,-1.2350163988251395,0.0069382777518970035,0.0036653052675674758,0.009529793695675082,-0.008482563619227057,Healthcare,11
2020-02-06,2289.1826171875,2313.1349885416166,2261.603689671003,2266.422866994583,127417,2277.139404296875,2245.7784830729165,2244.6827199835525,2240.1799926757812,,,-1.224473369217968,0.004859315824878587,-0.009942304306364114,0.010463285530074806,-0.012047499972012155,Healthcare,11
2020-02-07,2388.09375,2441.0564685314685,2242.5655594405594,2290.2797202797206,572347,2297.15078125,2256.2310546875,2252.8694618626646,2251.853271484375,,,-1.1302713310853008,0.04320805691510215,-0.04095904095904079,0.02217782217782216,-0.060939060939060985,Healthcare,11
2020-02-10,2467.01318359375,2576.5649549404147,2405.080289535246,2441.3430555677405,582152,2336.9634765625,2270.5993815104166,2265.9983681126646,2263.5766479492186,,,-1.0551092003785396,0.033047041638859444,-0.01040534691777173,0.044406642037915,-0.02510440336126829,Healthcare,11
2020-02-11,2514.727294921875,2533.622150777777,2484.7151318597503,2492.5879690514325,123493,2387.42587890625,2288.3076985677085,2279.5341411389804,2278.434814453125,,,-1.0096667268470836,0.019340841648287768,-0.008803867487003347,0.007513679870599477,-0.011934559712589832,Healthcare,11
2020-02-12,2523.69775390625,2552.707873557945,2510.3853152475995,2528.8507906274967,159878,2436.542919921875,2306.359554036458,2293.6952225534537,2291.742321777344,,,-1.001123345578612,0.0035671696897272057,0.0020418596930915633,0.01149508478453587,-0.005274973454347021,Healthcare,11
2020-02-13,2516.4326171875,2571.2349008915394,2506.7615706670886,2559.6874387617872,74610,2481.992919921875,2325.9087890625,2308.7019299958883,2304.8320922851562,2288.542578125,,-1.0080425938650115,-0.002878766566838211,0.017188944889226176,0.021777767196996978,-0.0038431573547239584,Healthcare,11
2020-02-14,2549.39111328125,2550.112829696802,2507.7239719033246,2513.9788475047717,65471,2514.252392578125,2346.557861328125,2324.3810264185854,2320.7363891601562,2304.333095703125,,-0.9766532303268918,0.013097309210125476,-0.013890479805940825,0.00028309364216094757,-0.016343958038002593,Healthcare,11
2020-02-17,2484.868896484375,2550.0639270727443,2439.4007755205307,2550.0639270727443,53972,2517.82353515625,2362.259716796875,2336.7897820723683,2332.405419921875,2314.426025390625,,-1.0381035863613877,-0.025308873346557743,0.02623680898441294,0.02623680898441294,-0.018297995933778677,Healthcare,11
2020-02-18,2519.46337890625,2544.1941431812384,2446.137051646159,2500.313934198466,141580,2518.770751953125,2382.335498046875,2350.8183850740133,2345.9234619140625,2326.502001953125,,-1.0051561247398229,0.013922055393272348,-0.007600604504954922,0.009815885589781637,-0.029103946449074214,Healthcare,11
2020-02-19,2524.852294921875,2614.441202015159,2511.5726683095927,2555.4531123500856,141279,2519.00166015625,2404.3419270833333,2366.695132606908,2359.5200805664062,2337.194189453125,,-1.0000237715095754,0.0021389142071850387,0.012119844590416928,0.035482830925781306,-0.005259565733405913,Healthcare,11
2020-02-20,2558.43603515625,2588.555708039506,2529.5192227321204,2529.5673841372222,81789,2527.40234375,2428.8448893229165,2383.473080283717,2376.282177734375,2349.346142578125,2328.3525390625,-0.9680389312975709,0.013301269267085646,-0.011283710291105531,0.011772689435800787,-0.011302534840337941,Healthcare,11
2020-02-24,2501.6611328125,2565.460901390457,2476.449223453991,2528.8939418057466,85246,2517.85634765625,2443.0865071614585,2396.7530838815787,2389.3824829101563,2360.160380859375,2339.920304361979,-1.0221108174795124,-0.02219125339214612,0.010885890433381729,0.02550296190844592,-0.010078067340065444,Healthcare,11
2020-02-25,2543.953857421875,2550.064483270366,2483.570255035001,2492.327174215188,55473,2529.67333984375,2461.486783854167,2413.891357421875,2404.1131225585937,2371.85900390625,2350.300577799479,-0.9818316219723788,0.016905856694438576,-0.02029387563617502,0.002402019136732214,-0.023736123283332078,Healthcare,11
2020-02-26,2533.512939453125,2570.7052920361,2508.1083848036396,2540.4413689270973,35926,2532.483251953125,2479.5599609375,2431.7206774259867,2419.8724365234375,2383.235419921875,2360.832210286458,-0.9917754546296865,-0.004104208863022053,0.0027347124879764095,0.014680151028162225,-0.010027402763125082,Healthcare,11
2020-02-27,2541.981201171875,2598.1787513006016,2501.9499086598385,2550.01616857216,96629,2535.909033203125,2497.1512044270835,2450.1990774054275,2437.2337036132812,2394.79787109375,2370.313330078125,-0.9837103613417622,0.0033424979153956597,0.003160907482943065,0.022107775660504148,-0.015748067882477512,Healthcare,11
2020-02-28,2526.48828125,2548.1397709960006,2464.4206773114647,2464.4206773114647,97832,2529.519482421875,2512.97158203125,2462.749151932566,2454.013537597656,2406.929638671875,2379.375032552083,-0.9984656734261304,-0.006094820809348485,-0.024566749190630288,0.008569796229289661,-0.024566749190630288,Healthcare,11
2020-03-02,2502.142333984375,2563.969365742468,2466.1046791914946,2545.2529027261744,131561,2529.61572265625,2520.5748209635417,2475.075079666941,2464.7188110351562,2417.429130859375,2388.402937825521,-1.0216525259823521,-0.009636279513467464,0.017229462991080524,0.02470963818418781,-0.014402719742763193,Healthcare,11
2020-03-03,2542.702880859375,2569.3100614927416,2511.5727567400954,2529.8562365784333,55170,2529.36552734375,2525.62080078125,2489.8270584909537,2478.4564697265623,2429.163603515625,2398.1100911458334,-0.9830230403546462,0.01621032757573466,-0.0050523576221378486,0.010464132806729642,-0.0122429263574666,Healthcare,11
2020-03-04,2453.5947265625,2567.3853242352193,2449.841895961565,2554.875575653863,92578,2513.381884765625,2521.5452962239583,2499.0629625822367,2488.0154418945312,2438.574326171875,2404.9264973958334,-1.0678888134008224,-0.035044658566933506,0.04127855672124725,0.0463770957937053,-0.0015295234214138809,Healthcare,11
2020-03-05,2512.63134765625,2550.064272628145,2453.6911828643733,2453.835432151611,54742,2507.5119140625,2520.8075358072915,2510.823422080592,2499.7413818359373,2451.289345703125,2413.583544921875,-1.0116628874270532,0.02406127648328485,-0.02340013610014191,0.014897897778284097,-0.023457545750535713,Healthcare,11
