Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,AMBUJACEM.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2020-01-10,189.94961547851562,191.96797030650458,185.50923759450887,187.07906912738918,5362463,,,,,,,-1.4200182950945064,,-0.015112146154626638,0.010625737898465104,-0.023376608964543966,Construction Materials,4
2020-01-13,189.72535705566406,192.68561359126468,188.9628619658816,190.7121137968126,2628821,,,,,,,-1.421570140778604,-0.0011806205676522013,0.005200974484707466,0.01560285130854755,-0.0040189413877806945,Construction Materials,4
2020-01-14,187.7518768310547,190.57756845765755,187.30335348157192,190.35330678291618,3725008,,,,,,,-1.4352264250343774,-0.010401773675568153,0.013855680144291505,0.015050137843072076,-0.002388915397561475,Construction Materials,4
2020-01-15,190.21873474121094,190.9812161404026,185.37467487644238,187.48273986682938,3359831,,,,,,,-1.4181560169200196,0.013138925436021126,-0.01438341432616419,0.004008445331260324,-0.025465734862335276,Construction Materials,4
2020-01-16,188.155517578125,192.3267786428599,187.5724427842483,191.51944220705454,3126006,189.16022033691405,,,,,,-1.4324332717458532,-0.010846550766373808,0.017878426698450633,0.022169220007076884,-0.003098898195396327,Construction Materials,4
2020-01-17,188.7386016845703,190.5326949085219,187.12392873328992,188.06581672558846,1968147,188.918017578125,,,,,,-1.4283983884957732,0.003098947689393202,-0.0035646388866769074,0.009505703697805234,-0.008555075309813476,Construction Materials,4
2020-01-20,185.73350524902344,189.94962162183276,185.37467838862457,189.6356498299644,1743715,188.11964721679686,,,,,,-1.4491933529591046,-0.015922002222784015,0.021009373487616667,0.02269981588489678,-0.0019319446963420583,Construction Materials,4
2020-01-21,186.22686767578125,188.2900637730084,184.52247103252947,184.79158773281597,3142796,187.81464538574218,,,,,,-1.4457793346898025,0.002656292014175544,-0.007707158268183356,0.011078938946764483,-0.00915225963108135,Construction Materials,4
2020-01-22,188.6937713623047,190.35329947900655,186.85482296241705,187.3930427484369,3780055,187.50965270996093,,,,,,-1.4287086098075974,0.013246765718136265,-0.0068933309482182015,0.00879482192083314,-0.009745676217137733,Construction Materials,4
2020-01-23,191.65399169921875,192.82015496253842,187.8863988920542,188.37977723667143,4656562,188.2093475341797,,,,,,-1.4082241834239373,0.01568795999752552,-0.01708398783410603,0.006084732454463282,-0.01965830595940532,Construction Materials,4
2020-01-24,193.7172088623047,194.56940038738858,190.71211099091994,192.05768087931915,3540793,189.20506896972657,,,,,,-1.3939469285981037,0.010765323199341158,-0.008566755595601938,0.00439915240410893,-0.01551280802068955,Construction Materials,4
2020-01-27,193.3583984375,196.36349635142153,192.23709018129534,192.50620690035345,2903622,190.73004760742188,,,,,,-1.3964298605748036,-0.0018522382544739844,-0.0044073158654238664,0.015541594977023454,-0.00579911845187886,Construction Materials,4
2020-01-28,193.8966064453125,197.5745027780668,192.0128169016787,193.58264836529557,5093967,192.2639953613281,,,,,,-1.3927055154043948,0.002783473653907343,-0.0016192035836660734,0.018968337817669045,-0.009715433282557862,Construction Materials,4
2020-01-29,192.01283264160156,195.78042572555523,191.29519260469485,194.43485578929713,3410299,192.9278076171875,,,,,,-1.4057410402686725,-0.009715352105671048,0.012613860825731127,0.019621569205148015,-0.003737458726241538,Construction Materials,4
2020-01-30,188.29006958007812,192.14737256889725,187.21361643357716,192.10251750282546,2971434,192.25502319335936,189.87486368815104,,,,,-1.4315021854532513,-0.0193880951096227,0.020247737606395422,0.020485960823221516,-0.005716993726231356,Construction Materials,4
2020-01-31,183.44602966308594,189.94961751177723,182.54898306326643,188.87316432956283,2906515,190.20078735351564,189.44129130045573,,,,,-1.4650224534690361,-0.02572647579235218,0.02958436700126077,0.03545232273838628,-0.004889975550122272,Construction Materials,4
2020-02-03,180.0821075439453,181.60708404834244,175.86599120078432,175.86599120078432,4031740,187.5455291748047,188.79840799967448,,,,,-1.4883004554983499,-0.018337393975322067,-0.02341218903233977,0.008468228882899886,-0.02341218903233977,Construction Materials,4
2020-02-04,185.5092315673828,188.3797778252463,181.6070735515793,181.92104532309241,3761981,185.86805419921876,188.64889831542968,,,,,-1.4507453042324847,0.0301369419619499,-0.01934235948245544,0.015473872828915214,-0.021034845451268658,Construction Materials,4
2020-02-05,185.1504364013672,187.258501655623,184.07398308151497,185.59895975862617,4000586,184.49557495117188,188.3110117594401,188.54267160516036,,,,-1.4532281306199022,-0.0019341094940889736,0.0024224806917909625,0.011385688822714846,-0.005813938874649427,Construction Materials,4
2020-02-06,186.1371612548828,187.70699273534566,183.4908766396714,185.9128996148167,3569538,184.06499328613282,188.17645467122395,188.34201611970602,188.4223960876465,,,-1.446400094081298,0.005329314219798074,-0.00120481927710836,0.008433734939758963,-0.014216852762612975,Construction Materials,4
2020-02-07,188.20037841796875,190.17387818991782,185.8231967278879,186.22687864601968,1957283,185.01586303710937,188.14057312011718,188.2617540861431,188.33493423461914,,,-1.4321228392554644,0.011084391473343233,-0.010486162613159933,0.010486162613160044,-0.012631120670764218,Construction Materials,4
2020-02-10,185.7783660888672,189.0974359455559,184.92616082384887,188.20038929845919,1734578,186.15511474609374,188.14356384277343,188.15788509971216,188.1375846862793,,,-1.4488829204687155,-0.012869327625487478,0.01303716498633345,0.01786575006855773,-0.004587214770802039,Construction Materials,4
2020-02-11,190.1738739013672,191.47458869755766,186.5856876013414,186.67539773397982,4444457,187.08804321289062,188.40669759114584,188.15552400287828,188.25868453979493,,,-1.4184664494104087,0.02365995516613278,-0.01839619762492628,0.006839608246425488,-0.018867924528301883,Construction Materials,4
2020-02-12,189.63565063476562,191.96797732979846,188.60405249341179,190.17388408372557,3036372,187.9850860595703,188.46948954264323,188.23342574270148,188.22953033447266,,,-1.4221909001700996,-0.002830164078587943,0.0028382503350943278,0.012298988545802692,-0.0054398955992757125,Construction Materials,4
2020-02-13,187.07908630371094,189.68051617904877,186.49599775382768,188.91803472006504,1177002,188.17347106933593,188.16449584960938,188.1460828279194,188.17570877075195,188.37261108398437,,-1.4398820676759532,-0.013481454159579825,0.009829791521264397,0.013905508770309938,-0.003116802425134013,Construction Materials,4
2020-02-14,184.47764587402344,190.39815948874113,183.89457100208213,186.9445242655148,3183445,187.42892456054688,187.54852498372395,188.0799849660773,187.9626609802246,188.1537322998047,,-1.457883773261478,-0.013905565186822795,0.013372234775675507,0.03209339314076409,-0.003160680358743728,Construction Materials,4
2020-02-17,182.81809997558594,185.10557154513205,181.4725300744229,184.20852494435672,1397181,186.8368713378906,186.84583841959636,187.90057613975122,187.81689071655273,187.87744201660155,,-1.4693676636202229,-0.008995918668491547,0.0076055104442966925,0.012512281715276519,-0.007360156906469961,Construction Materials,4
2020-02-18,180.1718292236328,182.6387075672144,177.3909790702752,182.32473575743836,4007197,184.83646240234376,185.93085327148438,187.45205286929482,187.5141387939453,187.5742401123047,,-1.4876795905175717,-0.014474883790535596,0.011949185081166602,0.013691809392242238,-0.01543443370331754,Construction Materials,4
2020-02-19,184.6121826171875,185.15040233415922,180.93428628924892,181.42766462902273,1630613,183.83176879882814,185.4374766031901,187.0814313386616,187.31005935668946,187.34997802734375,,-1.4569527925581582,0.024645103580778066,-0.017249771618637944,0.0029154073655461854,-0.019922283978219824,Construction Materials,4
2020-02-20,184.2533721923828,188.60405381984555,179.49903600712904,183.8497039467465,3826080,183.2666259765625,185.16836344401042,186.5833346718236,186.94002838134764,187.19389221191406,187.52161356608073,-1.4594357245348581,-0.0019435901776250492,-0.002190832335024151,0.023612493902798626,-0.025803251949655936,Construction Materials,4
2020-02-24,188.29006958007812,190.80180271380996,181.2034071517561,185.5540884916761,7946307,184.02911071777345,185.49129943847657,186.31658052143297,186.66867141723634,187.17595092773436,187.46629536946614,-1.4315021854532513,0.021908404387196302,-0.014530671184644794,0.01333970049155253,-0.037636942001915474,Construction Materials,4
2020-02-25,189.81504821777344,191.96795438054872,187.75183849387173,189.27681483315783,6147428,185.42850036621093,186.1401621500651,186.10176166735198,186.49150390625,187.33921264648438,187.4692850748698,-1.420949486976391,0.008099092220297642,-0.002835567515164006,0.011342125837701111,-0.010869579326158618,Construction Materials,4
2020-02-26,191.60916137695312,193.80692283395084,188.4246431737875,190.08417118963087,6034979,187.715966796875,186.54682413736978,186.08051581131784,186.37713165283202,187.55450439453125,187.59786122639974,-1.4085344047357615,0.009451901606459118,-0.007958858419729431,0.011470022838177663,-0.016619863999617013,Construction Materials,4
2020-02-27,189.81504821777344,192.99955239857778,188.82829157525936,191.60914124936735,3753324,188.75653991699218,186.85779825846353,186.16077784488076,186.26724243164062,187.59935546875,187.58440500895182,-1.420949486976391,-0.009363399674038157,0.00945179556857667,0.01677687944504158,-0.0051985164073081735,Construction Materials,4
2020-02-28,183.9394073486328,187.84155183067418,182.32472073737492,186.36143042159725,7650031,188.6937469482422,186.7112813313802,186.1867450914885,186.04970932006836,187.29077209472655,187.4438680013021,-1.4616083296104516,-0.030954557735588722,0.013167505038079286,0.02121429300163702,-0.008778361497041587,Construction Materials,4
2020-03-02,181.4276885986328,194.2554586882932,179.22992699965488,187.12394041543405,5187934,187.32127075195314,186.2597686767578,186.25756514699836,185.94879226684571,186.7991912841797,187.2001708984375,-1.4789891702151983,-0.013655142126446942,0.03139681633382252,0.07070458863662687,-0.01211370555373148,Construction Materials,4
2020-03-03,189.41139221191406,190.3532939197479,182.6835424243086,182.90780408389546,4549626,187.24053955078125,186.50197041829426,186.46294202302633,186.41525650024414,186.64131103515626,187.32276713053386,-1.4237427458541974,0.04400487971239806,-0.03433578124351877,0.004972782771059725,-0.03551977370019188,Construction Materials,4
2020-03-04,186.67539978027344,191.07092257084997,183.62543317911178,189.59080118100238,3541106,186.2537872314453,186.26873881022135,186.54320325349508,186.47356491088868,186.3524627685547,187.33771820068358,-1.4426755377323246,-0.01444470894643754,0.015617491132524863,0.023546341916236946,-0.01633834241014953,Construction Materials,4
2020-03-05,183.35630798339844,190.08415705844257,182.68352307589404,186.76508758565626,2414347,184.9620391845703,185.85011596679686,186.39684255499589,186.38385848999025,186.00620178222655,187.15980275472006,-1.465643318449814,-0.017780017081960142,0.018591013528514555,0.03669276039116842,-0.003669276039116709,Construction Materials,4
2020-03-06,183.9842529296875,185.284967689969,175.28289044206883,178.28800186051578,2587514,184.97100830078125,185.64379374186197,186.1749412135074,186.27621307373047,185.83396911621094,186.90414479573568,-1.461298002709345,0.003424725078702601,-0.030960535907106346,0.00706970699703624,-0.04729406103545197,Construction Materials,4
2020-03-09,173.75791931152344,182.3247168635933,171.7395645122955,179.22990890901264,3909789,183.4370544433594,184.92914530436198,185.542286119963,185.5540901184082,185.44644470214843,186.23883514404298,-1.5320632006791708,-0.05558265696832336,0.03149202994125799,0.049303062479188586,-0.011615901060655132,Construction Materials,4
2020-03-11,170.842529296875,176.2248091194356,170.25945445790245,174.11675773497328,3553042,179.72328186035156,184.13077392578126,184.5248469302529,184.8072982788086,185.0768615722656,185.4883061726888,-1.5522374057510067,-0.01677845836437276,0.019165183584987755,0.031504332350452025,-0.003412937290101392,Construction Materials,4
