Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,CERA.NS,CERA.NS,CERA.NS,CERA.NS,CERA.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2020-01-10,2600.817626953125,2633.8382499049953,2585.0634674993476,2630.6678890486282,3183,,,,,,,-1.276075398674999,,0.0114772607606759,0.012696246983897153,-0.006057387219508215,Consumer Durables,5
2020-01-13,2591.599609375,2653.348540316195,2585.063835234528,2614.3287088409566,13471,,,,,,,-1.2803451761928912,-0.0035442768007243816,0.008770297457884713,0.023826570554271065,-0.0025219073644049406,Consumer Durables,5
2020-01-14,2602.378662109375,2629.9364157236905,2560.6762207992165,2576.2841520498023,2110,,,,,,,-1.275352328583376,0.004159227642797228,-0.010027176459563192,0.010589448036735227,-0.01602473994939546,Consumer Durables,5
2020-01-15,2587.1123046875,2621.693580469051,2585.063668404001,2621.693580469051,3529,,,,,,,-1.2824236917205778,-0.005866309021109462,0.013366747055740369,0.013366747055740369,-0.0007918621390293756,Consumer Durables,5
2020-01-16,2589.6484375,2623.985839175878,2585.0636552524998,2604.524747214189,1983,2594.311328125,,,,,,-1.28124895726456,0.0009802948282936416,0.005744528677626315,0.01325948386609066,-0.0017704265108380302,Consumer Durables,5
2020-01-17,2596.28173828125,2628.9608433845456,2585.0635380219096,2622.083551246108,2799,2593.404150390625,,,,,,-1.2781764182609014,0.002561467682328984,0.009937986538371302,0.012586887093744004,-0.0043208716888972765,Consumer Durables,5
2020-01-20,2594.42822265625,2622.815002045614,2585.0633695260444,2622.815002045614,1591,2593.969873046875,,,,,,-1.2790349650446988,-0.0007139115904374213,0.010941439482299975,0.010941439482299975,-0.00360960193403137,Consumer Durables,5
2020-01-21,2586.234130859375,2618.230437186876,2585.063583660664,2618.230437186876,1788,2590.740966796875,,,,,,-1.2828304610542605,-0.0031583420675580123,0.01237177483110119,0.01237177483110119,-0.00045260681728076513,Consumer Durables,5
2020-01-22,2624.912841796875,2633.8385326721177,2585.0637450300414,2586.2342923018227,8423,2598.30107421875,,,,,,-1.2649145166570723,0.014955610737627812,-0.014735174775774684,0.0034003760936811567,-0.015181112352498194,Consumer Durables,5
2020-01-23,2575.2109375,2655.299227691036,2552.8721818028803,2655.299227691036,7598,2595.41357421875,,,,,,-1.2879363943834536,-0.018934687470556825,0.03109970100887538,0.03109970100887538,-0.008674534334964457,Consumer Durables,5
2020-01-24,2621.986328125,2633.7408613018133,2556.7743424412192,2577.2597530445255,8560,2600.5544921875,,,,,,-1.2662700751788558,0.018163712317255564,-0.01705827929028858,0.004483064251985969,-0.024871214996156854,Consumer Durables,5
2020-01-27,2617.449951171875,2643.5932829298913,2585.209771436622,2589.941020730207,5736,2605.158837890625,,,,,,-1.2683713209361975,-0.0017301299036021265,-0.010509820991744911,0.009988092321043807,-0.012317400652042565,Consumer Durables,5
2020-01-28,2619.059814453125,2628.9121784632157,2594.672421123983,2622.0837083310557,3591,2611.723974609375,,,,,,-1.267625633700639,0.0006150502631499173,0.0011545722863004482,0.0037617941964216417,-0.009311506821860882,Consumer Durables,5
2020-01-29,2614.133544921875,2631.83869742928,2612.81653040295,2631.83869742928,5410,2609.568115234375,,,,,,-1.2699074773523071,-0.0018809305171514892,0.0067728569344891465,0.0067728569344891465,-0.0005038053704193857,Consumer Durables,5
