,Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded,Stock Movement Label
0,Ticker,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS,,,,,,,,,,,,,,
1,Date,,,,,,,,,,,,,,,,,,,
2,2020-01-10,1384.868896484375,1402.1901072566188,1378.9972834146959,1389.6150931573775,2584478,,,,,,,-1.6635308726226912,,0.0034271812191399,0.012507473318388,-0.0042398331600809,Chemicals,2.0,
3,2020-01-13,1394.9974365234375,1403.7070199977366,1384.819949748693,1389.5172880934294,297267,,,,,,,-1.645015390942954,0.0073137176123853,-0.0039284290325761,0.0062434404868905,-0.0072957028509732,Chemicals,2.0,
4,2020-01-14,1396.660888671875,1401.0645981828393,1386.6791948969953,1394.9973128621502,285820,,,,,,,-1.641974516575994,0.0011924410073348,-0.0011911093259772,0.0031530270137025,-0.0071468270185266,Chemicals,2.0,
5,2020-01-15,1401.4072265625,1407.914835153479,1384.8198488016433,1396.2695653854526,392459,,,,,,,-1.6332979716918563,0.0033983466775091,-0.0036660729869715,0.0046436242568419,-0.0118362296457852,Chemicals,2.0,1.0
6,2020-01-16,1421.56640625,1424.8446994897274,1399.4500220314421,1400.6242968026595,569179,1399.9001708984374,,,,,,-1.5964459751807203,0.0143849548549483,-0.0147317138019492,0.0023061133305586,-0.0155577566558423,Chemicals,2.0,1.0
7,2020-01-17,1416.869140625,1424.0618427472261,1403.5111969932807,1422.3982668266449,489591,1406.3002197265623,,,,,,-1.605032813490005,-0.0033042885681233,0.003902354877463,0.0050764759539143,-0.0094277892352337,Chemicals,2.0,0.0
8,2020-01-20,1409.578369140625,1433.6519548665283,1407.4253730283303,1418.972924611922,326309,1409.21640625,,,,,,-1.6183607112254608,-0.0051456914935411,0.0066647982666083,0.0170785720417803,-0.00152740433553,Chemicals,2.0,0.0
9,2020-01-21,1384.4774169921875,1409.187121730871,1382.275562114483,1408.4531701049696,235201,1406.7797119140623,,,,,,-1.6642465168653595,-0.0178074186565027,0.0173175472698354,0.0178476762678916,-0.0015903869941686,Chemicals,2.0,0.0
10,2020-01-22,1397.982177734375,1414.0311577557288,1388.4408065768916,1393.1870032097288,348810,1406.0947021484376,,,,,,-1.639559133575482,0.0097544102752697,-0.0034300684236314,0.0114801034497904,-0.0068251021432522,Chemicals,2.0,1.0
11,2020-01-23,1413.4927978515625,1416.0371392412017,1389.6148843970327,1398.471280563288,208565,1404.47998046875,,,,,,-1.6112049382508289,0.0110950056189733,-0.010627232987042,0.0018000384533309,-0.0168928440886455,Chemicals,2.0,1.0
12,2020-01-24,1426.4105224609375,1430.2270948780968,1405.3705754613623,1409.1871478785215,501998,1406.3882568359377,,,,,,-1.5875906865989284,0.0091388683614159,-0.0120746267019267,0.0026756479688432,-0.0147502746707699,Chemicals,2.0,1.0
13,2020-01-27,1445.1016845703125,1449.994695108518,1419.9516581872422,1426.9975455789522,767088,1413.492919921875,,,,,,-1.5534223002101273,0.0131036344832396,-0.0125279343209286,0.0033859281948456,-0.0174036378558014,Chemicals,2.0,1.0
14,2020-01-28,1430.324951171875,1447.4504896664096,1421.028230274842,1442.4596423396576,306007,1422.6624267578125,,,,,,-1.5804349136242966,-0.0102253935181254,0.0084838701568064,0.0119731802766243,-0.0064997264358817,Chemicals,2.0,0.0
15,2020-01-29,1464.6737060546875,1477.5913253682247,1434.8263421928189,1434.8263421928189,634978,1436.000732421875,,,,,,-1.5176436584876516,0.0240146512543672,-0.020378165961801,0.0088194519094171,-0.020378165961801,Chemicals,2.0,1.0
16,2020-01-30,1488.3070068359375,1511.9402718704198,1463.0101659846455,1502.1542506932649,2558856,1450.96357421875,1418.447908528646,,,,,-1.474440793518037,0.0161355397339041,0.0093040238295765,0.0158792943431242,-0.0169970582246143,Chemicals,2.0,1.0
17,2020-01-31,1479.6953125,1505.0899885151139,1473.0407706192295,1497.0654992985328,769665,1461.6205322265623,1424.769669596354,,,,,-1.4901834048019538,-0.0057862351627608,0.0117390294149037,0.0171620980350397,-0.0044972379276699,Chemicals,2.0,0.0
18,2020-02-03,1530.3868408203125,1540.7111405604617,1453.7133916485748,1453.7133916485748,1152095,1478.6775634765625,1433.7956298828126,,,,,-1.3975167361297829,0.0342580853585778,-0.0501006981546179,0.0067462026363316,-0.0501006981546179,Chemicals,2.0,1.0
19,2020-02-04,1523.68359375,1540.3198308044316,1512.8211334472905,1536.4054220857417,602331,1497.3492919921875,1442.263810221354,,,,,-1.409770609624527,-0.0043800997836072,0.0083493898522799,0.0109184328837508,-0.0071290787321371,Chemicals,2.0,0.0
20,2020-02-05,1517.762939453125,1528.5765408706325,1509.1023344160303,1525.298247597167,453158,1507.967138671875,1450.020857747396,1438.3288060238488,,,,-1.4205938640859856,-0.0038857505069693,0.0049647464358018,0.0071246972346048,-0.0057061645214602,Chemicals,2.0,0.0
21,2020-02-06,1517.224853515625,1525.3961578794913,1490.9004308127699,1518.105619374941,734417,1513.7507080078126,1456.398087565104,1445.294909025493,1442.2736083984375,,,-1.4215775122997936,-0.0003545256795464,0.0005805110938401,0.0053856910825922,-0.0173503766708393,Chemicals,2.0,0.0
22,2020-02-07,1525.54296875,1546.0936146169738,1508.0259657622105,1508.0259657622105,532132,1522.9202392578125,1463.6430094401042,1452.165726511102,1449.3073120117188,,,-1.406371578410207,0.0054824538466402,-0.011482471058906,0.0134710370588988,-0.011482471058906,Chemicals,2.0,1.0
23,2020-02-10,1542.22802734375,1547.952945550358,1513.89754257531,1525.542932179082,400881,1525.2884765625,1472.4863199869792,1459.827154862253,1456.6688415527344,,,-1.3758704503575492,0.0109371279180824,-0.0108188250173389,0.0037121087835942,-0.018369841726476,Chemicals,2.0,1.0
24,2020-02-11,1549.4696044921875,1564.7847511830994,1540.368676676212,1552.0629239377083,553412,1530.4456787109375,1483.4857991536458,1467.6199115953948,1464.30927734375,,,-1.3626324823476297,0.0046955294677856,0.0016736820380356,0.0098841220547409,-0.0058735762157516,Chemicals,2.0,1.0
25,2020-02-12,1555.2435302734375,1563.806299434924,1546.5829247846175,1549.4697534614659,330061,1537.941796875,1493.9698893229167,1474.6555497018917,1472.0010925292968,,,-1.3520774550079944,0.0037263885425763,-0.0037124583382491,0.0055057417020607,-0.0055686491023674,Chemicals,2.0,1.0
26,2020-02-13,1544.2342529296875,1558.913285752213,1541.3962826923441,1555.9774791877078,245969,1543.3436767578123,1502.685986328125,1481.358976665296,1478.1344848632812,1462.4876220703125,,-1.3722029688707225,-0.0070788125007113,0.0076045627376424,0.0095057034220531,-0.0018377847997862,Chemicals,2.0,0.0
27,2020-02-14,1549.4696044921875,1572.613567949494,1544.8212445371407,1548.2463518724383,492096,1548.12900390625,1510.8899251302084,1488.721673262747,1484.7645080566406,1469.071650390625,,-1.3626324823476297,0.0033902573735607,-0.0007894653862217,0.0149367005265594,-0.0029999684676422,Chemicals,2.0,1.0
28,2020-02-17,1544.625732421875,1571.6351291811536,1541.3962973868224,1548.2465127693056,361953,1548.608544921875,1517.5248616536458,1497.1505319695725,1491.5168762207031,1475.0567822265623,,-1.371487324628054,-0.003126148493826,0.0023441149991418,0.0174860460967005,-0.0020907556874564,Chemicals,2.0,0.0
29,2020-02-18,1546.0445556640625,1570.656423196458,1533.9588432152325,1570.656423196458,372394,1547.92353515625,1525.239501953125,1504.9432887027135,1499.595233154297,1481.03212890625,,-1.3688936442312554,0.0009185547103134,0.0159192485379724,0.0159192485379724,-0.0078171825026341,Chemicals,2.0,1.0
30,2020-02-19,1559.647216796875,1564.589205565172,1542.864165599767,1549.0294070871205,230133,1548.8042724609377,1531.5710693359374,1512.6356265419408,1507.678485107422,1487.361728515625,,-1.3440272940930398,0.0087983629469008,-0.0068078278186273,0.0031686580882352,-0.0107607996323528,Chemicals,2.0,1.0
31,2020-02-20,1541.5919189453125,1563.6104659529587,1538.0688558574789,1556.0751581909399,269015,1548.2758056640623,1535.123396809896,1518.6978053042762,1514.0834411621097,1492.1627490234375,1476.7856526692708,-1.3770332885703789,-0.0115765268306274,0.0093949890808562,0.0142829932727659,-0.0022853409158007,Chemicals,2.0,0.0
32,2020-02-24,1522.2156982421875,1550.0568826125198,1518.3012895035383,1542.2770430277644,292191,1542.8250244140625,1537.9580891927085,1522.756437602796,1518.8736999511718,1496.376611328125,1481.3638793945313,-1.4124539965961784,-0.0125689687815575,0.0131790421086468,0.01828990753576,-0.0025715204114432,Chemicals,2.0,0.0
