Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,VIPIND.NS,VIPIND.NS,VIPIND.NS,VIPIND.NS,VIPIND.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2020-01-10,411.6508483886719,419.6284124400798,408.51858060713033,415.2236356679521,277029,,,,,,,-0.6407971850864399,,0.008679168993007691,0.01937944275503023,-0.0076090400245796275,Consumer Durables,5
2020-01-13,446.2528381347656,453.1536732347941,414.0490306167155,414.0490306167155,2015488,,,,,,,-0.39455153516555286,0.08405664626111324,-0.072164936031902,0.015463957896318048,-0.072164936031902,Consumer Durables,5
2020-01-14,445.5186767578125,450.6086527847658,437.78585269024376,443.36524834010396,382428,,,,,,,-0.39977620712058237,-0.0016451690929782114,-0.004833531185223783,0.01142483198234201,-0.01735690212550256,Consumer Durables,5
2020-01-15,444.53985595703125,454.96448838313125,442.7289973027781,445.6165851464632,238222,,,,,,,-0.4067420020362251,-0.002197036514618095,0.00242212070527148,0.02345038872534211,-0.0040735574774383165,Consumer Durables,5
2020-01-16,451.8811340332031,454.62190185777143,442.68005105257384,447.6231773190333,310190,439.9686706542969,,,,,,-0.35449767145344463,0.016514330442581226,-0.00942273618764744,0.0060652406532353265,-0.020361732959520262,Consumer Durables,5
2020-01-17,455.5517578125,462.99094170860536,450.36392200000375,452.71313010619446,298744,448.7488525390625,,,,,,-0.32837561475148686,0.008122985234048665,-0.0062311859357897514,0.016330052005127493,-0.011388027207726248,Consumer Durables,5
2020-01-20,442.2885437011719,458.292572231322,440.4776850217216,456.4817135518718,156118,447.95599365234375,,,,,,-0.4227635040852954,-0.029114615153756285,0.0320902950185602,0.036184587546005176,-0.004094292527445087,Consumer Durables,5
2020-01-21,444.0993957519531,447.3295534451769,436.3176114839991,440.42874843156056,217604,447.67213745117186,,,,,,-0.4098765445946049,0.004094277540240191,-0.008265373372502327,0.007273501662289794,-0.017522618455217298,Consumer Durables,5
2020-01-22,443.6099548339844,447.32953199153854,437.59006961980685,447.32953199153854,129844,447.4861572265625,,,,,,-0.4133596592312912,-0.0011020976895049007,0.0083847919033877,0.0083847919033877,-0.013570221201258614,Consumer Durables,5
2020-01-23,446.8890380859375,450.11922546497,434.80039750429074,440.9670726987486,228808,446.48773803710935,,,,,,-0.39002400736713655,0.007391816202998154,-0.013251534234433593,0.007228164272875537,-0.027050653632998967,Consumer Durables,5
2020-01-24,452.0279235839844,464.8996827613194,441.5054023475691,446.8890178638746,453723,445.78297119140626,,,,,,-0.3534530411128497,0.011499242675669881,-0.011368558117748728,0.02847558415258722,-0.023278476145866422,Consumer Durables,5
2020-01-27,452.6642150878906,464.4592158926066,448.7488581572891,451.14699635420084,227339,447.85810546875,,,,,,-0.34892486177783844,0.0014076376053525606,-0.003351753204956176,0.02605684392884,-0.00864958351046441,Consumer Durables,5
2020-01-28,458.9776916503906,462.9420083053552,450.65755850940025,453.20254638571055,205387,450.8337646484375,,,,,,-0.3039948981890073,0.013947372803202827,-0.01258262736891158,0.008637275246885512,-0.018127532758886122,Consumer Durables,5
2020-01-29,460.886474609375,462.9909730580052,456.4816979100916,459.0756159919755,193597,454.2890686035156,,,,,,-0.2904110117205685,0.0041587706629504775,-0.00392907736972381,0.004566197023711416,-0.009557183692614712,Consumer Durables,5
2020-01-30,448.01470947265625,461.9142080556708,443.4141533282562,461.9142080556708,240941,454.5142028808594,446.9902038574219,,,,,-0.3820131477531689,-0.02792827701795379,0.03102464782769121,0.03102464782769121,-0.010268761375748614,Consumer Durables,5
2020-01-31,453.74090576171875,461.03326985571584,445.37184242961933,450.9022780150992,185154,454.85679931640624,449.79620768229165,,,,,-0.34126257424217743,0.012781268489605223,-0.006256054304502601,0.016071647941362066,-0.018444586383609907,Consumer Durables,5
2020-02-03,440.62445068359375,451.83217123774256,435.63236489371525,440.9670503707837,628325,452.4488464355469,449.4209818522135,,,,,-0.43460605041425604,-0.028907367423939255,0.0007775321743004326,0.025435993251760936,-0.011329570526859456,Consumer Durables,5
