Price,Close,High,Low,Open,Volume,MA_5,MA_15,MA_19,MA_20,MA_25,MA_30,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,ZOMATO.NS,ZOMATO.NS,ZOMATO.NS,ZOMATO.NS,ZOMATO.NS,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2021-07-23,126.0,138.89999389648438,115.0,116.0,694895290,,,,,,,0.0004430131320315042,,-0.07936507936507942,0.10238090394035226,-0.08730158730158732,Consumer Services,6
2021-07-26,140.64999389648438,143.75,125.30000305175781,126.3499984741211,249723854,,,,,,,0.20798298478633903,0.11626979282924108,-0.10167078594321022,0.02204057048020336,-0.1091360932160712,Consumer Services,6
2021-07-27,132.89999389648438,147.8000030517578,127.75,141.6999969482422,240341900,,,,,,,0.09819216905727127,-0.055101317712845745,0.066215225401832,0.11211444574541551,-0.03875089641084328,Consumer Services,6
2021-07-28,131.1999969482422,135.0,123.55000305175781,131.0,159793731,,,,,,,0.0741090656141183,-0.012791550235632913,-0.0015243670190105973,0.028963438568195166,-0.058307881664831585,Consumer Services,6
2021-07-29,141.5500030517578,144.0,132.1999969482422,134.9499969482422,117973089,134.45999755859376,,,,,,0.22073301566648093,0.0788872434775944,-0.046626675812238116,0.017308349667405798,-0.06605443943435874,Consumer Services,6
2021-07-30,133.5,142.6999969482422,131.0,142.60000610351562,88312522,135.95999755859376,,,,,,0.10669218964403256,-0.05687038416250917,0.06816483972670873,0.0689138348182936,-0.01872659176029967,Consumer Services,6
2021-08-02,139.6999969482422,140.75,135.14999389648438,135.75,66909732,135.7699981689453,,,,,,0.19452479899438616,0.04644192470593399,-0.028274853504153152,0.007516127950574214,-0.03256981496888334,Consumer Services,6
2021-08-03,139.39999389648438,140.8000030517578,137.0,137.0,46610001,137.06999816894532,,,,,,0.1902747887010055,-0.0021474807323650937,-0.017216599724291015,0.010043107722895961,-0.017216599724291015,Consumer Services,6
2021-08-04,138.39999389648438,141.0,135.25,139.8000030517578,41134419,138.50999755859374,,,,,,0.17610823183273872,-0.0071736014618664894,0.010115673533342529,0.018786172096656895,-0.022760072510121576,Consumer Services,6
2021-08-05,134.9499969482422,138.89999389648438,132.0,138.75,38437134,137.18999633789062,,,,,,0.1272336538701188,-0.024927724713792954,0.028158600501600795,0.02927007808497506,-0.021859926009287767,Consumer Services,6
2021-08-06,131.35000610351562,136.1999969482422,130.10000610351562,135.5,31975356,136.75999755859374,,,,,,0.07623417884306012,-0.0266764796305055,0.031594927321235255,0.036924176774718376,-0.009516558370122108,Consumer Services,6
2021-08-09,130.60000610351562,133.5500030517578,127.25,132.39999389648438,41358299,134.93999938964845,,,,,,0.06560926119186002,-0.0057099350220732575,0.013782448000362768,0.022588030707318518,-0.025650887802105893,Consumer Services,6
2021-08-10,125.19999694824219,131.4499969482422,122.0999984741211,131.0,43164004,132.1,,,,,,-0.01089027559548254,-0.04134769450924302,0.04632590409850845,0.04992012901233345,-0.024760371802585834,Consumer Services,6
2021-08-11,135.64999389648438,138.75,123.0,123.0,111702781,131.55,,,,,,0.13715020044500498,0.08346643133355848,-0.09325465879591333,0.02285297635826855,-0.09325465879591333,Consumer Services,6
2021-08-12,135.4499969482422,137.39999389648438,132.0500030517578,135.64999389648438,51256670,131.65,134.43333129882814,,,,,0.13431693230425223,-0.0014743601713303933,0.0014765371188498744,0.014396434050768736,-0.025101468978132035,Consumer Services,6
2021-08-13,137.35000610351562,139.75,132.10000610351562,133.85000610351562,33674300,132.85,135.18999837239582,,,,,0.16123352005266095,0.014027384260477054,-0.025482343243306338,0.01747356235773001,-0.03822351486495945,Consumer Services,6
2021-08-16,134.9499969482422,136.89999389648438,132.25,136.39999389648438,20305361,133.71999816894532,134.80999857584635,,,,,0.1272336538701188,-0.017473673451930096,0.01074469789575705,0.014449773933600474,-0.020007387990365944,Consumer Services,6
2021-08-17,132.5,134.35000610351562,130.60000610351562,132.8000030517578,15815187,135.17999877929688,134.78333231608073,,,,,0.09252563277576574,-0.018154849971444186,0.0022641739755306922,0.013962310215212215,-0.01433957657724061,Consumer Services,6
2021-08-18,134.9499969482422,136.8000030517578,133.3000030517578,134.5,22566920,135.03999938964844,135.03333231608073,134.53947207802221,,,,0.1272336538701188,0.018490543005601417,-0.0033345458200697564,0.01370882656800032,-0.012226705696904872,Consumer Services,6
2021-08-20,139.3000030517578,141.4499969482422,133.0,134.9499969482422,53789580,135.81000061035155,134.88333231608073,135.23947223864104,134.777498626709,,,0.18885826271288061,0.03223420675721836,-0.03122760953493553,0.015434270275539896,-0.045226151570269546,Consumer Services,6
2021-08-23,127.25,137.8000030517578,124.75,137.8000030517578,68470861,133.78999938964844,134.46666564941407,134.53420940198396,134.839998626709,,,0.018151209217365013,-0.08650396832569025,0.08290768606489429,0.08290768606489429,-0.01964636542239684,Consumer Services,6
2021-08-24,125.0,127.94999694824219,120.5,127.25,56713556,131.8,133.48666585286458,134.11842024953742,134.05749893188477,,,-0.013723543736235301,-0.01768172888015717,0.018000000000000016,0.023599975585937516,-0.03600000000000003,Consumer Services,6
2021-08-25,124.25,128.5,123.0999984741211,126.0,51078811,130.15,132.47666625976564,133.75263093647203,133.62499923706054,,,-0.02434846138743541,-0.006,0.014084507042253502,0.03420523138832987,-0.009255545479910698,Consumer Services,6
2021-08-26,125.8499984741211,127.1500015258789,124.3499984741211,125.25,20645403,128.3300003051758,131.63999989827474,132.9263149060701,133.35749931335448,,,-0.0016819920146588163,0.01287725130077339,-0.004767568386140897,0.010329782022406198,-0.01191895127681264,Consumer Services,6
2021-08-27,124.69999694824219,129.5,124.0999984741211,126.5999984741211,22227595,125.40999908447266,130.9566665649414,132.46315685071443,132.5149990081787,132.90399871826173,,-0.017973554029615944,-0.009137874770140617,0.015236580371910557,0.038492407130932715,-0.0048115355958679995,Consumer Services,6
2021-08-30,133.5500030517578,135.4499969482422,127.55000305175781,127.8499984741211,45239080,126.66999969482421,131.10333302815755,132.13947296142578,132.5174991607666,133.20599884033203,,0.1074005607203465,0.07097037947153195,-0.04268067725485303,0.014226835290659157,-0.04492699260871358,Consumer Services,6
2021-08-31,134.5500030517578,135.1999969482422,131.35000610351562,134.0,24640924,128.5800003051758,131.36666615804037,131.88421028538755,132.25999946594237,132.96199920654297,,0.1215671175886133,0.007487832101452264,-0.0040877223283766195,0.0048308724023911065,-0.023782957084075518,Consumer Services,6
