Price,Close,High,Low,Open,Volume,MA_20,MA_50,Volatility_20,Volatility_50
Ticker,ASTRAZEN.NS,ASTRAZEN.NS,ASTRAZEN.NS,ASTRAZEN.NS,ASTRAZEN.NS,,,,
Date,,,,,,,,,
2020-01-10,2501.8388671875,2594.7558381537683,2495.9079967002913,2575.035742049347,23297,,,,
2020-01-13,2483.205810546875,2526.550683076758,2473.1728517441506,2526.550683076758,12700,,,,
2020-01-14,2495.710205078125,2519.6313330621306,2482.069155480192,2485.0345905524505,12028,,,,
2020-01-15,2506.533935546875,2519.631273472931,2475.8416350093285,2495.9572656381697,20502,,,,
2020-01-16,2511.37744140625,2560.1589448596656,2485.9241237112165,2506.533993987605,18105,,,,
2020-01-17,2497.835205078125,2533.1238323084845,2490.9653291224763,2533.1238323084845,7356,,,,
2020-01-20,2462.4970703125,2518.4450381150655,2458.345509755776,2518.4450381150655,18871,,,,
2020-01-21,2519.087646484375,2540.3894035618887,2456.764037170356,2471.1959178617594,11564,,,,
2020-01-22,2500.10888671875,2548.4948540724135,2492.9424186239744,2548.4948540724135,27591,,,,
2020-01-23,2505.298583984375,2520.619999668635,2483.601530684148,2500.1585444074617,61138,,,,
2020-01-24,2490.96533203125,2529.318338583623,2471.195765904018,2505.7925066266744,15045,,,,
2020-01-27,2519.532470703125,2589.7144363642456,2466.2535820351422,2490.965541774973,34218,,,,
2020-01-28,2603.94873046875,2665.629686881314,2520.61995202451,2520.61995202451,68544,,,,
2020-01-29,2671.1650390625,2693.603448884915,2610.8678609406725,2623.4214874644276,26048,,,,
2020-01-30,2699.48486328125,2729.386332943562,2672.845420393098,2703.4882488073677,24794,,,,
2020-01-31,2641.708740234375,2728.2006073140788,2610.5716680856817,2718.3158225049697,27902,,,,
2020-02-03,2583.38818359375,2683.6692645516932,2508.758067710326,2560.1589422260618,130945,,,,
2020-02-04,2511.7236328125,2599.747683243318,2501.9377931118574,2520.6199384777156,36950,,,,
2020-02-05,2458.93896484375,2550.323744675769,2449.4000034852756,2550.2742724902128,20867,,,,
2020-02-06,2431.2119140625,2510.734947093684,2387.1751563902544,2481.1795416885097,39660,2529.778076171875,,71.99972348637614,
2020-02-07,2537.8193359375,2564.0634856021434,2422.958194652197,2445.8908451610027,27196,2531.577099609375,,71.71382316047658,
2020-02-10,2718.957763671875,2738.084915478959,2510.9820240236195,2560.1588198882687,67418,2543.364697265625,,81.98438834134114,
2020-02-11,2620.65380859375,2761.8085682200026,2600.686593767655,2761.7096238518247,26647,2549.6118774414062,,82.91703831117555,
2020-02-12,2660.68701171875,2743.027302989342,2634.2946891771517,2641.0163899329023,33326,2557.31953125,,85.81598655993406,
2020-02-13,2754.641845703125,2766.7507046283476,2660.588233929317,2693.306720187785,28512,2569.4827514648437,,95.63907731341665,
2020-02-14,2832.138427734375,2906.027178651026,2718.3152511142544,2754.641827651872,56106,2586.1979125976563,,110.51471209927378,
2020-02-17,2708.677734375,2866.191852244525,2693.6034398948545,2835.944318920491,27316,2598.506945800781,,109.71870555148173,
2020-02-18,2700.028564453125,2762.79693854896,2641.2141036861617,2698.5458469547984,20960,2607.553991699219,,110.28382659733656,
2020-02-19,2814.741455078125,2865.598615774851,2713.719020234944,2713.719020234944,29222,2623.2856201171876,,116.42039012800429,
2020-02-20,2781.281494140625,2858.6793974619336,2768.7278673204964,2814.9887025159233,13087,2637.084765625,,118.04411857920496,
2020-02-24,2725.926513671875,2830.0133251719994,2703.4881049058395,2777.8710957263747,10760,2648.8328247070312,,114.37139276337626,
2020-02-25,2697.21142578125,2767.7394544828235,2687.623233793766,2756.7672479714606,13466,2657.7167724609376,,110.63903163762954,
2020-02-26,2631.4775390625,2728.2002419992505,2619.4676236587006,2718.216514147802,15886,2659.093212890625,,110.10485776774934,
2020-02-27,2635.678466796875,2659.0066514222217,2613.536649204593,2639.237085240644,14715,2657.318884277344,,110.18598413209858,
2020-02-28,2548.494873046875,2614.5252761117645,2520.6198314120984,2578.6434631872944,14169,2649.769384765625,,112.29727176266172,
