Price,Close,High,Low,Open,Volume,MA_20,MA_50,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,BEL.NS,BEL.NS,BEL.NS,BEL.NS,BEL.NS,,,,,,,,,
Date,,,,,,,,,,,,,,
2020-01-10,29.1892147064209,29.60963249612896,29.12915207646228,29.12915207646228,23088681,,,-0.9365018498408518,,-0.002057699412701508,0.014403189463523924,-0.002057699412701508,Capital Goods,1
2020-01-13,29.429447174072266,29.804823950561243,29.294314008936148,29.48950979524375,28538664,,,-0.9337317000349441,0.008230179196925159,0.0020409021214780054,0.012755141959298832,-0.004591767026299154,Capital Goods,1
2020-01-14,29.98500633239746,30.09011334682585,29.414437179786344,29.684706959268805,21417702,,,-0.9273254798031384,0.01887766205865567,-0.010014984482567768,0.0035053190672440504,-0.019028481978162648,Capital Goods,1
2020-01-15,31.18621063232422,31.426450844126723,29.879902547522875,30.090116599100522,39241374,,,-0.9134742469084797,0.040060164957474435,-0.03514675271536849,0.007703411441513763,-0.04188736169976892,Capital Goods,1
2020-01-16,31.756786346435547,32.207237216597754,31.336365076061835,31.83186034590678,54250446,,,-0.9068948689453188,0.018295769269252984,0.0023640301210661185,0.014184397163120588,-0.013238785114694118,Capital Goods,1
2020-01-17,32.61264419555664,32.717747796455086,31.441472602208087,31.711742441185834,33279852,,,-0.8970258679821848,0.026950392265278983,-0.02762430881006428,0.0032227868512657576,-0.03591158037740838,Capital Goods,1
2020-01-20,31.531558990478516,32.732760092179106,31.126152544696065,32.732760092179106,28115967,,,-0.9094919929830859,-0.03314926562211779,0.03809520176478798,0.03809520176478798,-0.012857164655412978,Capital Goods,1
2020-01-21,31.546566009521484,31.831850556444103,31.18620404954929,31.231248435379225,17126625,,,-0.9093189452210763,0.00047593647518349384,-0.009995305798009446,0.009043283723385809,-0.01142317550073213,Capital Goods,1
2020-01-22,30.315345764160156,31.546576572436692,30.030057685046604,31.546576572436692,46807380,,,-0.9235162956336235,-0.03902866147110013,0.04061411068357801,0.04061411068357801,-0.00941068201342532,Capital Goods,1
2020-01-23,30.375402450561523,31.396422533381223,30.075099596006257,30.36038765150048,64975338,,,-0.9228237746775483,0.00198106552597425,-0.0004943078230973397,0.033613384529850965,-0.009886382741563171,Capital Goods,1
2020-01-24,30.585607528686523,31.126147070214643,30.420441332293702,30.435456128632453,20621760,,,-0.9203998743527436,0.00692024010108594,-0.0049092175106622005,0.017673003258841247,-0.005400128025507156,Capital Goods,1
2020-01-27,30.525550842285156,31.081108724845514,30.330355015259478,30.54056907821076,24177363,,,-0.9210923953088187,-0.0019635603557993566,0.0004919890226779966,0.018199766006868456,-0.006394506295207769,Capital Goods,1
2020-01-28,30.090120315551758,30.6456748000035,29.84987663740952,30.510538160631928,32134050,,,-0.9261133976775215,-0.01426446090958737,0.013971956265754093,0.018463019709649142,-0.007984138169699229,Capital Goods,1
2020-01-29,30.19521713256836,30.3753981323533,29.939962148150833,30.300320711053985,28345554,,,-0.9249015134967264,0.0034927350211452425,0.0034808022086472157,0.005967203315474734,-0.008453490607365444,Capital Goods,1
2020-01-30,30.255277633666992,31.06609044956353,30.120144455462153,30.40542904611702,33639177,,,-0.9242089485529131,0.001989073330221294,0.004962817207234904,0.026799053894461577,-0.004466433256407054,Capital Goods,1
2020-01-31,27.222244262695312,29.729755176589666,26.997018844690842,28.903927498350903,169747995,,,-0.9591832252859901,-0.1002480759785403,0.061776068843821585,0.09211257123758099,-0.008273580085133347,Capital Goods,1
2020-02-03,25.07509422302246,26.261282171089672,24.249268301625563,25.52554503802686,76345218,,,-0.9839422735686992,-0.0788748355555406,0.017964072676976084,0.047305423362203,-0.03293411039862315,Capital Goods,1
