Price,Close,High,Low,Open,Volume,MA_20,MA_50,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,,,,,,,,,
Date,,,,,,,,,,,,,,
2020-01-10,537.9686279296875,549.6775634701773,534.355382052223,542.7253760139687,603502,,,-0.8954373575775713,,0.008842054791534881,0.021765089881821575,-0.006716462057219985,Capital Goods,1
2020-01-13,540.0726318359375,541.9021460957715,536.0476781313649,541.444767530813,242018,,,-0.8934346202279074,0.00391101599055511,0.002540650301443792,0.0033875337352584634,-0.0074526155692985485,Capital Goods,1
2020-01-14,542.862548828125,547.7564764092353,539.2035208550075,541.3989041394764,298076,,,-0.8907789830657721,0.005165818128393918,-0.002696160734993014,0.009015039979594963,-0.006740247565458768,Capital Goods,1
2020-01-15,530.8792114257812,544.280424031078,527.8605244421605,543.1827044463967,541744,,,-0.9021855576058694,-0.02207434907457169,0.02317569186326196,0.025243430740686135,-0.0056862030357405224,Capital Goods,1
2020-01-16,541.3532104492188,546.3386475328977,532.388602535197,532.388602535197,749424,,,-0.8922156763797613,0.019729533193261612,-0.016559628244529723,0.00920921311160594,-0.016559628244529723,Capital Goods,1
2020-01-17,529.5527954101562,546.2013264395853,528.2263867295046,544.6920110435312,470283,,,-0.9034481326836975,-0.021797995857954607,0.028588680419766588,0.03143885024067172,-0.0025047713696314533,Capital Goods,1
2020-01-20,534.3553466796875,538.7004426150587,524.1557833616175,532.1141807676072,425150,,,-0.8988767301437146,0.009069069809765642,-0.00419414894228376,0.008131472740696255,-0.019087604122325685,Capital Goods,1
2020-01-21,530.9249877929688,541.536146713198,529.36988971871,530.5590626582008,361234,,,-0.902141984473697,-0.006419621152916123,-0.0006892219111575004,0.01998617349757703,-0.002929035381670664,Capital Goods,1
2020-01-22,534.3553466796875,537.5569963162768,530.467629263829,530.467629263829,215727,,,-0.8988767301437146,0.0064610989604738656,-0.007275528241675655,0.005991611493144644,-0.007275528241675655,Capital Goods,1
2020-01-23,520.81689453125,536.9623785005301,519.5819948693374,536.9623785005301,608267,,,-0.9117635711299734,-0.025336046944343486,0.03100030766822859,0.03100030766822859,-0.002371082188153628,Capital Goods,1
2020-01-24,544.417724609375,554.3428170705218,521.7317032713069,522.2348643553153,1515868,,,-0.8892986585221009,0.045315024005445174,-0.04074602874102995,0.018230656373776633,-0.04167024751875148,Capital Goods,1
2020-01-27,553.65673828125,557.0413507391529,539.8439283167119,543.3657208410781,1922343,,,-0.8805043223044953,0.01697044981131737,-0.018587360594795488,0.006113196541976507,-0.024948328105638296,Capital Goods,1
2020-01-28,538.197265625,562.0267304511556,533.8521698184219,556.5381883796886,1051918,,,-0.8952197243067473,-0.027922486239834763,0.03407843912657116,0.0442764509375253,-0.008073426017005558,Capital Goods,1
2020-01-29,549.9519653320312,597.1534081270773,543.3657032174725,570.8084155011833,18713513,,,-0.884030783037474,0.021840875934924536,0.0379241306221354,0.08582830096179106,-0.011976067965467352,Capital Goods,1
2020-01-30,534.7670288085938,549.723342304862,530.6506214700086,546.9333440529571,1929888,,,-0.8984848624417106,-0.027611386958622208,0.022750683174070474,0.027967905069969046,-0.007697571310176232,Capital Goods,1
2020-01-31,525.5736083984375,544.6920514935445,523.4239518418448,535.132829945991,991940,,,-0.9072357998196725,-0.01719144957503878,0.018188168878348066,0.03637633775669591,-0.004090115108982162,Capital Goods,1
2020-02-03,513.133056640625,521.274362128149,507.6902401963744,514.0935405231755,559415,,,-0.9190775828039079,-0.023670427051545012,0.001871802781209686,0.015865876076710972,-0.010607027502542055,Capital Goods,1
2020-02-04,516.6090698242188,523.4240213540169,513.1787307151602,513.1787307151602,279291,,,-0.9157688715367722,0.006774097163707368,-0.006640106241699861,0.013191699348439556,-0.006640106241699861,Capital Goods,1
2020-02-05,521.7774658203125,531.0164900848907,517.7982389843539,518.5758160092926,489017,,,-0.9108492325244673,0.010004462364263847,-0.006136044618152425,0.01770682881073271,-0.007626291085036874,Capital Goods,1
2020-02-06,519.3076782226562,527.8149090918083,515.9230653861003,524.3388428673788,360422,533.02666015625,,-0.9132001482489435,-0.004733411769274806,0.009688215398512723,0.016381869989421816,-0.006517548225244529,Capital Goods,1
2020-02-07,516.8532104492188,522.2713813568392,511.3887985136847,519.5391471243852,598230,531.9708892822266,,-0.9155364814985193,-0.004726423036605156,0.005196710827880757,0.010482997489579926,-0.010572463951195488,Capital Goods,1
2020-02-10,506.34112548828125,520.0485377966364,501.2008529388198,519.4002024008994,748649,530.2843139648437,,-0.9255426155705948,-0.020338627580161507,0.025791065065127405,0.027071497096224695,-0.010151797455726141,Capital Goods,1
2020-02-11,505.5539245605469,515.8345278903097,503.840518936945,507.6378237657089,322707,528.4188827514648,,-0.9262919282001866,-0.001554684950734056,0.004122011725996355,0.020335324938282717,-0.0033891649146849945,Capital Goods,1
2020-02-12,510.4161376953125,515.2785670939916,502.91412637766575,505.5074107510893,455991,527.3957290649414,,-0.9216637353446057,0.009617595470141207,-0.009617107653350443,0.009526402163996028,-0.014697833323845666,Capital Goods,1
2020-02-13,508.51763916015625,513.8431586760104,505.8317588871776,509.3975189077814,314176,525.7539505004883,,-0.92347085837957,-0.003719511188906685,0.0017302836320058912,0.010472634783425638,-0.005281783887407521,Capital Goods,1
2020-02-14,497.3109436035156,511.4351483107305,495.9216775667404,506.61901474403373,332513,524.1418579101562,,-0.9341381711592299,-0.022037968191524437,0.018716803360633527,0.028401154024222386,-0.0027935561335300507,Capital Goods,1
2020-02-17,497.12567138671875,499.62636143082256,489.623657783784,494.57868378296746,391945,522.2803741455078,,-0.934314526149509,-0.00037254803896811985,-0.005123428039124467,0.005030297544538875,-0.015090778921169168,Capital Goods,1
2020-02-18,491.2444152832031,496.8940736580609,484.9000674707853,496.75512446467474,464714,520.2963455200195,,-0.9399127150247578,-0.011830521821796124,0.011217856142536897,0.011500707588911308,-0.012914849746964108,Capital Goods,1
2020-02-19,499.9504699707031,504.2572168098257,491.93907064815966,491.93907064815966,292470,518.5761016845703,,-0.9316256862606583,0.017722450203288206,-0.016024386021705195,0.008614347015965418,-0.016024386021705195,Capital Goods,1
2020-02-20,513.7968139648438,515.4176241035341,499.9967507436744,499.9967507436744,493528,518.22509765625,,-0.9184457723874078,0.027695431499348354,-0.026858989480058604,0.003154574132492094,-0.026858989480058604,Capital Goods,1
2020-02-24,504.7665710449219,518.1035452585907,502.08063456889823,514.0283429907003,501427,516.2425399780274,,-0.9270413860735524,-0.01757551365536448,0.0183486238532109,0.026422063145068897,-0.0053211457138760965,Capital Goods,1
