Price,Close,High,Low,Open,Volume,MA_20,MA_50,Volatility_20,Volatility_50
Ticker,DLF.NS,DLF.NS,DLF.NS,DLF.NS,DLF.NS,,,,
Date,,,,,,,,,
2020-01-10,235.05029296875,235.82032144557846,227.15753412716947,229.90075598616096,14793061,,,,
2020-01-13,243.32809448242188,244.24249695231646,235.19470195482333,235.19470195482333,14466469,,,,
2020-01-14,245.0125274658203,247.9482530503048,241.16239940408934,242.6543269654247,6843491,,,,
2020-01-15,246.3119354248047,248.33325852014667,243.03933246642262,243.03933246642262,7020963,,,,
2020-01-16,248.4776153564453,249.92141327179263,245.10875355396823,246.11941503212572,5235129,,,,
2020-01-17,251.4614715576172,252.1833705190266,247.27445170661372,247.3707107762971,5766591,,,,
2020-01-20,249.24765014648438,254.1084245482232,247.70759321378782,252.1352458799869,6096170,,,,
2020-01-21,247.46697998046875,249.1514109594064,245.44565693091454,248.33325289480766,5387621,,,,
2020-01-22,248.4295196533203,251.46148963436963,245.44566452349954,248.71826750898367,5476635,,,,
2020-01-23,250.93211364746094,252.1833935451638,247.4669924414767,248.42952447790861,5101631,,,,
2020-01-24,253.00155639648438,255.9372674130079,251.3171253011338,252.1833982753418,7257409,,,,
2020-01-27,247.46697998046875,254.1084448225939,246.21568545870056,251.70211485268297,5577299,,,,
2020-01-28,247.9963836669922,251.46150501766323,245.73444209917335,246.4082116153944,4763857,,,,
2020-01-29,248.91078186035156,251.9908666455845,247.03383270477002,249.2957887867375,4977662,,,,
2020-01-30,245.1087646484375,249.15141074405165,242.60619029413678,248.91077774726855,5549648,,,,
2020-01-31,250.6914825439453,252.95340934743672,244.77190166264825,248.14074912869444,10810838,,,,
2020-02-03,222.2005157470703,224.943723106089,209.68759987815486,221.3823576808122,20842165,,,,
2020-02-04,236.0609588623047,238.46728871818954,222.15237523270457,222.72988558587383,15797056,,,,
2020-02-05,243.9537353515625,246.2156914531784,236.44598272523876,240.77737677653252,12352880,,,,
2020-02-06,237.07162475585938,245.156887347433,234.28027325878665,237.74539419064516,17929026,244.9090492248535,,7.322414477530799,
2020-02-07,226.9650421142578,237.64913819965207,225.95438060544518,236.78286529899688,14050194,244.5047866821289,,8.079412022747908,
2020-02-10,225.03997802734375,227.7350704867933,222.48925948888856,226.4837759855768,8120421,243.590380859375,,9.17958973195703,
2020-02-11,225.08811950683594,228.89011806117426,223.8849544778002,227.15755748194817,5475597,242.5941604614258,,10.056405546651144,
2020-02-12,223.34661865234375,228.08734656770784,219.42825407263408,226.29747177116514,6806019,241.44589462280274,,10.886423906931201,
2020-02-13,223.8303680419922,225.03973892019005,220.05712204431796,223.05636772737992,6913597,240.2135322570801,,11.430010416675671,
2020-02-14,218.8477325439453,226.82957966086047,217.15461345853905,224.84620863681923,6757171,238.58284530639648,,12.050455515809569,
2020-02-17,212.2687530517578,222.33072678252432,210.76914509728286,220.97622265345333,10788768,236.73390045166016,,13.117640858226702,
2020-02-18,210.8658905029297,212.220394661556,209.51140110713055,210.1402680202886,6678150,234.9038459777832,,14.060677693878839,
2020-02-19,219.52499389648438,221.21811311046775,211.20453118832,213.5265173480803,7405952,233.4586196899414,,14.082729530418804,
2020-02-20,212.94602966308594,220.92787744138272,211.88177738751511,219.52499541554084,7654026,231.55931549072267,,14.163404250344104,
2020-02-24,205.59304809570312,211.88177662568933,204.38367722455192,208.0117898380055,7761069,229.1888900756836,,14.351851876872914,
2020-02-25,209.7049102783203,212.3655262103405,206.07679764374728,206.07679764374728,8778643,227.30078659057617,,14.30453663111161,
2020-02-26,205.54466247558594,210.6240199408615,203.7548025121853,207.86666331740838,6037598,225.17820053100587,,14.221350448380361,
2020-02-27,201.9165496826172,205.8832918877206,197.65957029021675,205.1092916083312,8839033,222.82848892211913,,13.973914520835843,
2020-02-28,195.1440887451172,198.24007534848894,186.8719886977811,196.88558582289775,15083273,220.33025512695312,,14.244717097355837,
2020-03-02,197.2241973876953,206.46377855589066,193.30583301494647,199.30430927352597,10400591,217.65689086914062,,13.227713299168416,
2020-03-03,200.0783233642578,205.1576811116533,196.78882567967617,198.33682632687083,11084288,216.55078125,,13.742687092789646,
2020-03-04,197.32095336914062,203.27106706321175,192.04809919028537,201.2876958318547,9357919,214.6137809753418,,13.577201034434426,
2020-03-05,196.01483154296875,200.61044073240473,193.88632705549418,199.11081793907587,8576035,212.21683578491212,,12.29601656277836,
2020-03-06,188.12974548339844,189.7261240244045,181.7442756078619,188.6618716637338,10991688,209.76974182128907,,11.9545420788771,
2020-03-09,176.4230194091797,182.85686620381256,172.84327000656813,181.88936955723153,12053473,207.24264068603514,,13.384813056331886,
2020-03-11,172.64976501464844,178.79337431900464,171.24689789967405,176.423010605727,9238369,204.62313003540038,,14.77301291349944,
2020-03-12,151.80023193359375,163.5069483412655,149.47824567293208,162.53945160551837,14049953,200.95873565673827,,18.136156598101678,
2020-03-13,161.33006286621094,166.3610423838362,137.38452130136102,140.33538897201905,11231755,197.85790786743163,,19.366812483162384,
2020-03-16,144.15699768066406,151.89697071049838,142.80250830557384,150.2038516102221,7065375,193.87423934936524,,21.78630890639565,
2020-03-17,139.90003967285156,149.96200023510775,139.22278011959094,145.1245163565559,8919578,189.92685470581054,,24.05708541806562,
2020-03-18,135.5946502685547,145.02774265309577,133.51453836581246,145.02774265309577,9347932,186.0931495666504,,26.312900511126788,
2020-03-19,124.27494049072266,135.78815936768814,121.42082835447766,128.33842342731106,10873570,181.76360206604005,,29.00808288583587,
2020-03-20,135.25604248046875,137.14265810500908,117.40572382207945,124.80707510085482,18143402,177.55015449523927,,29.352554052339144,
2020-03-23,122.0497055053711,129.83804921313927,119.77608982375962,121.75945355392548,6918861,173.0053382873535,211.14022552490235,30.594289913078367,38.2733260955856
2020-03-24,116.87361145019531,128.72544674900294,113.87436559189608,121.90459164487847,13129144,168.56936645507812,208.77669189453124,32.019283610495535,40.358777633988886
2020-03-25,119.77609252929688,123.25907911825023,110.8267481950096,116.09960217453762,14618656,164.07292556762695,206.30565185546874,32.25208841653612,41.95106989373581
