Price,Close,High,Low,Open,Volume,MA_20,MA_50,Volatility_20,Volatility_50
Ticker,GAEL.NS,GAEL.NS,GAEL.NS,GAEL.NS,GAEL.NS,,,,
Date,,,,,,,,,
2020-01-10,34.4361572265625,35.23329053034914,34.338050009270475,34.58332179505098,105744,,,,
2020-01-13,34.632381439208984,35.29461462771606,34.28900237629453,34.49748118501006,93972,,,,
2020-01-14,34.65690612792969,35.539882363403606,33.49186507660454,34.75501335102101,193012,,,,
2020-01-15,36.447391510009766,37.03604234159766,33.63902636490103,34.68143153014467,425368,,,,
2020-01-16,38.36051559448242,39.81988608656985,36.76624857980998,36.79077726167166,488848,,,,
2020-01-17,37.551116943359375,39.439709199008625,37.15868053638379,38.6548401276084,175492,,,,
2020-01-20,37.686012268066406,38.63031023756044,37.26905093782195,37.551115766039395,125340,,,,
2020-01-21,36.54549789428711,38.237871803109684,36.300226096338875,37.894492783002406,110308,,,,
2020-01-22,39.746299743652344,40.46985087441193,38.26240446308037,40.45758653472766,1408552,,,,
2020-01-23,40.77643585205078,41.31603305165803,38.29918922958265,39.856666622305276,328164,,,,
2020-01-24,40.43305587768555,41.401878694863214,39.97930157141918,40.494373824880974,130088,,,,
2020-01-27,39.366127014160156,40.22457838207019,39.01048362453619,39.979306562667325,105424,,,,
2020-01-28,38.4340934753418,41.19340145248497,37.93128549544107,39.61139896076641,258236,,,,
2020-01-29,35.956851959228516,39.427446874488034,34.96350029412932,38.495413167202976,332656,,,,
2020-01-30,36.226646423339844,36.72945439393731,34.64464396089245,36.18985714801235,298452,,,,
2020-01-31,37.808650970458984,39.19443905083401,36.96246390831203,37.77186169310303,508360,,,,
2020-02-03,35.625732421875,37.992604025516165,35.0738708180938,36.77850924570774,218692,,,,
2020-02-04,36.10401153564453,37.28131703255108,35.797421757416316,35.797421757416316,134424,,,,
2020-02-05,35.8096809387207,36.49644269153503,35.07386557696617,36.49644269153503,161276,,,,
2020-02-06,37.023780822753906,37.77186062917968,35.60120350509278,35.613467844716354,146620,37.18136730194092,,1.8896125133707327,
2020-02-07,36.9992561340332,37.403953146466364,36.36154789484353,36.36154789484353,72100,37.309522247314455,,1.7772033897479655,
2020-02-10,36.10401153564453,37.25678835327242,36.0059043036319,37.25678835327242,106584,37.38310375213623,,1.6887939373627758,
2020-02-11,36.226646423339844,37.40395188698123,35.15971627078272,35.89553171773973,149816,37.46159076690674,,1.5889504999069743,
2020-02-12,37.06057357788086,37.57564215544628,35.38046011028539,36.11627557185112,137380,37.49224987030029,,1.5741986294239358,
2020-02-13,37.489803314208984,39.23123118252859,37.060577581921905,38.2991974153378,288256,37.44871425628662,,1.5609062616721634,
2020-02-14,37.19546890258789,37.48979807189748,36.61908238821679,36.937936493268275,101760,37.430931854248044,,1.5617038842445372,
2020-02-17,36.47191619873047,37.28131389361514,36.09174415722623,36.986988479807266,84644,37.37022705078125,,1.5748083419889245,
2020-02-18,36.14080047607422,36.54549744064502,35.56441026103039,36.300225645741364,68760,37.349992179870604,,1.588503557423068,
2020-02-19,38.372772216796875,38.61804401587202,36.054954464046844,36.14080109074341,307252,37.28131580352783,,1.5070533755314655,
2020-02-20,40.077415466308594,40.44532321077,37.722808147286266,38.49541291363477,410204,37.246364784240725,,1.427748786559979,
2020-02-24,39.353858947753906,41.00944357193454,38.76520813395437,38.76520813395437,179892,37.19240493774414,,1.317077378066364,
