Price,Close,High,Low,Open,Volume,MA_20,MA_50,Normalised Close,Return Ratio,Percentage Change Open,Percentage Change High,Percentage Change Low,Sector,Sector Encoded
Ticker,GVT&D.NS,GVT&D.NS,GVT&D.NS,GVT&D.NS,GVT&D.NS,,,,,,,,,
Date,,,,,,,,,,,,,,
2020-01-10,155.66445922851562,163.10558659961075,155.06516746091998,158.6109440645116,52969,,,-0.45641970418051764,,0.01892843652686671,0.047802352624188416,-0.003849894642398044,Capital Goods,1
2020-01-13,156.1638641357422,158.76075957021524,155.3148700041009,155.8142747308022,17438,,,-0.45548122168374905,0.0032082140631307207,-0.0022386062670434193,0.01662929800594437,-0.005436559452084988,Capital Goods,1
2020-01-14,159.7595672607422,161.80712966574808,156.16386241254355,156.16386241254355,29968,,,-0.44872417064648773,0.023025193087400232,-0.022506976639027343,0.012816524481842562,-0.022506976639027343,Capital Goods,1
2020-01-15,157.86183166503906,160.6585010853708,157.31248343665962,160.6585010853708,14246,,,-0.45229039839934027,-0.011878697646982527,0.017715931652597883,0.017715931652597883,-0.0034799306620556525,Capital Goods,1
2020-01-16,162.75599670410156,169.69771932813396,157.61213413680989,160.55861896391744,211939,,,-0.4430932756658762,0.031002839555588333,-0.013501055473728929,0.04265110204604494,-0.031604749879929006,Capital Goods,1
2020-01-17,162.75599670410156,166.5015321387186,161.90701781662864,164.15433907739887,25581,,,-0.4430932756658762,0.0,0.008591648858502943,0.02301319466235463,-0.005216267938909835,Capital Goods,1
2020-01-20,157.41238403320312,163.60499991407025,156.81309223414803,163.4551693439947,17101,,,-0.4531350011046572,-0.0328320478452993,0.038388245930618625,0.03934008063533878,-0.003807145179433147,Capital Goods,1
2020-01-21,155.1151123046875,158.2613560098432,153.91654399989594,156.91297238218627,19176,,,-0.4574520377943972,-0.014593970751570979,0.011590489480917121,0.020283282901382593,-0.0077269602360681144,Capital Goods,1
2020-01-22,152.66802978515625,155.96408876160413,152.0187945014448,155.96408876160413,16209,,,-0.4620505991611292,-0.01577591301822692,0.021589713190681037,0.021589713190681037,-0.004252594892493855,Capital Goods,1
