Price,Close,High,Low,Open,Volume,MA_20,MA_50,Volatility_20,Volatility_50
Ticker,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,,,,
Date,,,,,,,,,
2020-01-10,2823.330322265625,2874.306956224191,2815.628919478306,2866.055357306801,364459,,,,
2020-01-13,2807.469482421875,2851.3862420810374,2800.9597972853917,2833.049353064439,321948,,,,
2020-01-14,2880.81689453125,2891.7272534153344,2808.8902718866993,2819.296545419199,466628,,,,
2020-01-15,2937.706787109375,2943.9872605548926,2883.52141935769,2891.7271316693027,366511,,,,
2020-01-16,2974.976806640625,2988.6835858958834,2950.038683286211,2954.072709182157,371056,,,,
2020-01-17,2991.892578125,2998.447926246224,2971.538676601712,2986.987370902146,243008,,,,
2020-01-20,2975.16015625,3011.8339332145606,2937.0193386712685,3006.8830628599335,260251,,,,
2020-01-21,2915.060546875,2970.575513665141,2908.230101649947,2959.573382133048,362236,,,,
2020-01-22,2913.501953125,2990.746084837936,2878.891081051845,2943.070181584848,660200,,,,
2020-01-23,2955.310302734375,2970.5756715107245,2907.680060041306,2907.680060041306,435772,,,,
2020-01-24,2942.612060546875,2974.5641769745175,2928.4009725461033,2956.8231485476467,505490,,,,
2020-01-27,2915.152587890625,2937.56938817303,2899.7954445535784,2932.893392307957,172858,,,,
2020-01-28,2927.484375,2952.05585141515,2913.7317080331977,2924.7338416066395,262484,,,,
2020-01-29,2913.410400390625,2938.486183252874,2899.9787200089986,2933.626863361451,133279,,,,
2020-01-30,2924.366943359375,2934.8188798250417,2892.50660094328,2916.4819921035482,224807,,,,
2020-01-31,2910.247314453125,2928.4008774971976,2897.228169346007,2915.565056493766,196125,,,,
2020-02-03,2819.47998046875,2834.837124856989,2743.656989958494,2750.533323266661,317506,,,,
2020-02-04,2920.974609375,2944.5376905341304,2833.599513388526,2833.599513388526,374359,,,,
2020-02-05,2924.55029296875,2961.407392842527,2910.9809511687376,2938.302958879783,362120,,,,
2020-02-06,3042.181396484375,3057.675976816317,2902.3626299283064,2938.4862086045864,966152,2920.784289550781,,57.21354848638241,
2020-02-07,3038.330810546875,3097.2839549481255,3019.306287725815,3066.8447632022257,597375,2931.534313964844,,58.1300994767132,
2020-02-10,3027.878662109375,3060.3348646672544,3006.1036073856512,3043.923439274224,273251,2942.5547729492187,,54.1266553204331,
2020-02-11,3047.728271484375,3133.774209336592,3039.843543821608,3053.0919008457727,597307,2950.900341796875,,56.90302474714772,
2020-02-12,3078.671630859375,3102.005499225652,3053.09176238578,3059.3263488905754,307000,2957.948583984375,,63.527452974385874,
