Price,Close,High,Low,Open,Volume,MA_20,MA_50,Volatility_20,Volatility_50
Ticker,IRB.NS,IRB.NS,IRB.NS,IRB.NS,IRB.NS,,,,
Date,,,,,,,,,
2020-01-10,7.788837909698486,7.873600803717733,7.138982768235355,7.1860738637046735,52272900,,,,
2020-01-13,8.466946601867676,8.570547193384007,7.911273641440657,7.911273641440657,59837510,,,,
2020-01-14,8.664729118347168,8.744783718440853,8.504619918159799,8.570547817064494,31965600,,,,
2020-01-15,8.51874828338623,8.664729897320576,8.401020972557994,8.636475594214467,17804940,,,,
2020-01-16,9.008493423461914,9.154475935488557,8.499911476945222,8.570548581946289,26557640,,,,
2020-01-17,9.455857276916504,9.69131189128015,8.867220741007388,8.933147745609027,62692030,,,,
2020-01-20,10.830911636352539,11.24531133854069,9.465275131406562,9.592420831398435,131568420,,,,
2020-01-21,11.009857177734375,11.301821289584726,10.454185052141094,10.840330469158483,71148080,,,,
2020-01-22,10.760275840759277,11.104039355286872,10.64725773590862,10.953348548819326,27865080,,,,
2020-01-23,10.680221557617188,10.906257774092408,10.482439643654347,10.482439643654347,22414100,,,,
2020-01-24,10.816783905029297,10.915675303212842,10.661383906330592,10.830911504252093,19657150,,,,
2020-01-27,10.755566596984863,11.038112307054956,10.501275188465366,10.53894788992884,27646690,,,,
2020-01-28,10.600167274475098,10.95805841054227,10.482439962539374,10.826203497826539,15039060,,,,
2020-01-29,10.637839317321777,10.807366923394811,10.548366314317892,10.661384418970563,9845920,,,,
2020-01-30,10.397675514221191,10.675512025142709,10.011530098550757,10.666093625202441,24537790,,,,
2020-01-31,10.035075187683105,10.491857704147133,9.747821175368053,10.449475802656902,23869190,,,,
2020-02-03,9.794910430908203,9.964438020466142,9.065001572645686,9.23923836171223,18601490,,,,
2020-02-04,10.105711936950684,10.265821151636466,9.705439798424333,9.884384915797094,15274750,,,,
2020-02-05,10.317620277404785,10.477729473803336,10.030365384185972,10.16692948036803,17789710,,,,
2020-02-06,10.28465747833252,10.383547983802996,10.124548271028651,10.378839681989406,12069140,9.946544337272645,,0.9621549345276594,
2020-02-07,10.223438262939453,10.44476616095863,10.143384561496962,10.232856662469635,13574080,10.068274354934692,,0.8180113728831989,
2020-02-10,10.5672025680542,11.08520286124874,10.068038175567603,10.171638773119314,24607940,10.173287153244019,,0.7318985603457598,
2020-02-11,10.468311309814453,11.019275110235636,9.856129708541149,10.633129709599734,76279460,10.263466262817383,,0.6418099826324674,
2020-02-12,10.072747230529785,10.350583722936038,9.846711036154932,10.218729725311372,17480940,10.34116621017456,,0.4972592412661577,
2020-02-13,9.950310707092285,10.162220200112525,9.804329110893894,10.124547501152037,11495610,10.38825707435608,,0.39937244097032426,
2020-02-14,9.446438789367676,10.171639426027605,9.324002283248932,9.983275915917254,17207980,10.387786149978638,,0.40053362102148427,
2020-02-17,9.140347480773926,9.455856680032792,8.966111580128471,9.253365580751845,14548810,10.303257942199707,,0.4737842684925729,
2020-02-18,9.408764839172363,9.54061972785168,8.890764581446124,9.088546465371127,20543560,10.223203325271607,,0.4832793529204523,
2020-02-19,9.088547706604004,9.493529928565955,8.975529600095847,9.47940232843191,11170580,10.139616918563842,,0.5279993253873482,
2020-02-20,9.333422660827637,9.460568393911748,8.947277158739526,9.126222306711483,15075310,10.072276973724366,,0.5411432783615365,
2020-02-24,8.791875839233398,9.38993080949584,8.711821229842457,9.361675607460361,17343680,9.97103157043457,,0.5823730386733939,
2020-02-25,9.206275939941406,9.597130601116174,8.735366666324184,8.85309398472849,38030360,9.893567037582397,,0.575524916319491,
2020-02-26,8.853092193603516,9.597128659460484,8.674147101035272,9.324001371948128,55230950,9.806213283538819,,0.5948922987908478,
2020-02-27,8.83896541595459,9.154474598619506,8.740074022307512,8.829547016904778,19907900,9.716269588470459,,0.5985161171677745,
2020-02-28,7.911273002624512,8.570546501333123,7.81238251673095,8.335091936990871,20990940,9.591949462890625,,0.699277750497115,
2020-03-02,7.388565540313721,8.25974823502006,6.9694566176163475,8.146729230650278,18387120,9.459623980522156,,0.8460166015256243,
2020-03-03,7.539255619049072,7.7229099006104445,7.280255496051231,7.529837220459278,16956330,9.3468412399292,,0.943680823034645,
2020-03-04,7.628730773925781,7.784130802000394,7.157821039976721,7.628730773925781,19580840,9.222992181777954,,0.9997205786986353,
2020-03-05,7.2849650382995605,7.694655965269389,7.1766556948878675,7.694655965269389,18760860,9.071359419822693,,1.0534972366550557,
2020-03-06,6.8799824714660645,7.063637200348962,6.314891585256939,6.597437252908481,15777120,8.90112566947937,,1.1200968539194083,
2020-03-09,6.427909851074219,6.752837422800626,6.314891760514586,6.705746327187127,10975150,8.711349248886108,,1.2027535595318788,
2020-03-11,7.242583274841309,7.346183420653231,6.376110307892118,6.404365056420458,32950250,8.545118284225463,,1.1618074314204043,
2020-03-12,6.051183700561523,6.884692792482847,5.8910744927442895,6.616274678844561,25467380,8.324261903762817,,1.1963017821266713,
2020-03-13,6.329019069671631,7.2520010641127,4.9445463025570175,5.462546571033918,21857790,8.137075495719909,,1.2011976288254602,
2020-03-16,5.966419696807861,6.263092551516398,5.872237945097377,6.145365249604789,11003500,7.937880945205689,,1.2149289434045727,
2020-03-17,6.032346725463867,6.592728445751381,5.876946284647547,5.966419279332518,11874260,7.767176342010498,,1.2315481714899539,
2020-03-18,5.683873653411865,6.357273923872926,5.603819056961502,6.310182826280715,10579460,7.594352650642395,,1.270613147167275,
2020-03-19,5.363656044006348,5.650910499384549,5.198837641470025,5.377783194508485,8676960,7.392097210884094,,1.288419434159283,
2020-03-20,5.514347076416016,5.726256139142342,5.382492618356485,5.6226559832628356,10011020,7.213387179374695,,1.2886084682382646,
2020-03-23,4.73734712600708,5.1800016115768095,4.544273961427492,5.1800016115768095,6261390,6.983583402633667,8.72604172706604,1.3003997824771232,1.772071787623071
2020-03-24,4.492473602294922,5.071692132775389,4.3512007571220765,4.94454643739163,7915800,6.768613290786743,8.660114440917969,1.3404872604352494,1.866455280126207
2020-03-25,4.614909648895264,4.71850978515145,4.294691290881934,4.294691290881934,6397310,6.539044976234436,8.58307370185852,1.293372250267533,1.9521245074902458
2020-03-26,5.052855968475342,5.537892812751456,4.6290378288551395,4.709092436198031,17305610,6.349033164978027,8.510836238861083,1.2121159674351012,2.0148609696781863
2020-03-27,5.1046552658081055,5.500219024279429,5.076400519162741,5.18000065807046,12870350,6.1623176574707035,8.442554378509522,1.0898270596346558,2.0716377097752514
2020-03-30,4.892746448516846,5.034018840546079,4.7561828068863345,4.8974551989155675,7012270,6.01139132976532,8.36023943901062,1.0428737751166826,2.1296474705950437
2020-03-31,5.0151824951171875,5.227091981494688,4.897455202282568,5.001055345723349,8702730,5.892722177505493,8.271425943374634,1.0125087234911103,2.1751338441688044
2020-04-01,4.8079833984375,5.071692772636855,4.718510839693143,5.001056116591681,7429700,5.756158566474914,8.150967378616333,0.9616569536976192,2.1971600813030983
2020-04-03,4.859783172607422,5.02931078501543,4.7608922150674315,4.822110469648763,6789540,5.617711186408997,8.027965898513793,0.8731222398585335,2.2059764976902745
2020-04-07,5.019891738891602,5.062273636540936,4.94454634266789,4.986928240317225,4782230,5.5044575214385985,7.9131582164764405,0.7882569478745529,2.2102462483840117
2020-04-08,5.712128639221191,5.8298559390012805,4.911583090535389,4.921001040988911,22791670,5.446064829826355,7.813796358108521,0.7214202212856236,2.1949314905743664
2020-04-09,6.216001033782959,6.493837519495954,5.754510256838246,5.886364700380451,22354490,5.435469388961792,7.721780700683594,0.7076660089033885,2.1626710610570314
2020-04-13,6.2065839767456055,6.347856390604708,5.895783947705096,6.310183687029741,8262640,5.383669424057007,7.6308010482788085,0.5978172932761073,2.1278438794407273
2020-04-15,6.705747127532959,7.393274600802946,6.206583610104653,6.281929012803717,31958580,5.416397595405579,7.5529126453399655,0.6517674870911819,2.0878341379593213
2020-04-16,6.889401435852051,7.252001275057951,6.658656042803388,7.035383031824064,15002100,5.4444167137146,7.4779438877105715,0.7030900678327494,2.0415879014918428
2020-04-17,7.322638034820557,7.760583278558927,7.054219489652005,7.157819637771341,37715070,5.512227630615234,7.416443138122559,0.8129102699850701,1.997683080641971
2020-04-20,7.671111106872559,7.986619400704615,7.52512861183588,7.685237807678176,22904030,5.594165849685669,7.369163856506348,0.9406497080053052,1.9621000946158815
2020-04-21,7.3556013107299805,7.520419702763059,7.1860741682256055,7.308510662359093,6575820,5.677752232551574,7.320377674102783,1.0199713441692408,1.9306281900524822
2020-04-22,7.242583274841309,7.4309467680502665,7.063637731745803,7.355601370766683,4462340,5.771698594093323,7.263115100860595,1.0745870862781137,1.8883258436665316
2020-04-23,7.2049102783203125,7.487455506452223,7.171946331551109,7.242582975404567,3117250,5.856226754188538,7.200860900878906,1.1188569459636342,1.8361592387825028
2020-04-24,6.8799824714660645,7.190782885520344,6.847018974907836,7.157818939868157,3224220,5.963358521461487,7.132767400741577,1.1086173531929142,1.78178929877056
2020-04-27,6.941201686859131,7.346183897168848,6.875274684506588,7.148401991923176,5456320,6.085794925689697,7.0671226692199705,1.0722450041430627,1.7251611676317349
2020-04-28,6.724583148956299,7.101310593100176,6.6398197996170785,7.044801543842695,6825210,6.191278600692749,6.990270280838013,1.0225481178263975,1.650011324671332
2020-04-29,6.781091690063477,6.96945562256711,6.705746296699611,6.771673740439978,7443800,6.277690386772155,6.916525888442993,0.993903041641901,1.5719441084130337
2020-04-30,6.545638084411621,6.94591110753426,6.507965382128789,6.922365556333981,17712730,6.349739527702331,6.84598370552063,0.9558954156346385,1.505136920635261
2020-05-04,6.197165489196777,6.427910907623583,6.027638325492316,6.300765647118748,6556090,6.414960479736328,6.7709208011627195,0.89373136844009,1.4393083465623977
2020-05-05,5.957001209259033,6.333728659640469,5.914619758434705,6.286638009026546,7249550,6.462051415443421,6.701132049560547,0.8392464220772049,1.3907079566375309
2020-05-06,6.041764736175537,6.314892024318148,5.989964888111935,6.310182824741278,9913500,6.523740482330322,6.639160394668579,0.7520829199398233,1.348183444836887
2020-05-07,6.126528739929199,6.21600128945373,5.914619691818255,6.037055741310664,9154020,6.5870777606964115,6.573515672683715,0.6511421816576421,1.2891933279434602
2020-05-08,6.074728488922119,6.498547037580365,6.004092288692749,6.498547037580365,21515100,6.639819598197937,6.5132392883300785,0.55281730087702,1.2386685808114657
2020-05-11,5.900492191314697,6.2018742430858325,5.88636504096271,6.084146942266578,7399970,6.649237775802613,6.444580678939819,0.5375751038175115,1.1725344720540978
2020-05-12,5.768637657165527,5.900492106440132,5.650910358039701,5.8910741560389495,8608450,6.6268696069717405,6.384115915298462,0.5651505922930572,1.1260489199566501
2020-05-13,6.159492015838623,6.216001063339695,5.938164576305602,6.0182191725389504,19048470,6.624515008926392,6.323180236816406,0.5670885740941406,1.0500877823612482
2020-05-14,6.022928714752197,6.3007652175925735,5.980546814441765,6.154783166422642,9733110,6.590374088287353,6.26657696723938,0.582291070707936,0.9852072520346422
2020-05-15,6.037055492401123,6.206583083175411,5.989964844259144,6.112400888703479,10185940,6.547756791114807,6.210538768768311,0.5903885590771093,0.9129400469346527
2020-05-18,5.665037631988525,6.013510786327724,5.603819381213991,6.013510786327724,8999040,6.464876770973206,6.1656140613555905,0.5922297109613517,0.8822938566515351
2020-05-19,5.5991106033325195,5.801601255889148,5.561437902899007,5.66503760454416,4550600,6.361276745796204,6.129824962615967,0.5498265305366362,0.8678492403332557
2020-05-20,5.617946624755859,5.650910123432473,5.490800931413514,5.641491724328305,4202600,6.274394011497497,6.091398782730103,0.5209687937915513,0.8464409159539773
2020-05-21,5.745091438293457,5.806309680599043,5.688582395186907,5.740382239094423,3912270,6.199519419670105,6.053725996017456,0.48053741145270534,0.8180642428813613
2020-05-22,5.566146373748779,5.740382716766111,5.5143465255308675,5.698001267729996,4191180,6.117581224441528,6.01934962272644,0.4379065721195017,0.8012098469718925
2020-05-26,5.5049285888671875,5.617947143074496,5.467255887162761,5.58027444137007,5902920,6.048828530311584,5.991848545074463,0.4194626941327314,0.7946382614505643
2020-05-27,5.424874305725098,5.542601608028916,5.396619555570813,5.542601608028916,5665260,5.973012161254883,5.971787834167481,0.38532670151625537,0.79606477380912
2020-05-28,5.698001384735107,5.782764733641894,5.42487409017035,5.42487409017035,9880250,5.921683073043823,5.940896196365356,0.346344454556785,0.7754466834451629
2020-05-29,5.698001384735107,5.924037580611872,5.6085283870467215,5.68387378567231,18875760,5.867528557777405,5.9338325500488285,0.28395062942300453,0.776029930327089
2020-06-01,5.961709976196289,6.051182969326338,5.754510140532033,5.78276443903017,11056660,5.838332152366638,5.926486368179321,0.23663432223467348,0.7739483533842565
2020-06-02,6.201874256134033,6.3761106078218255,5.8957834529975885,5.9617104541749075,16714070,5.838567590713501,5.931195459365845,0.23701217331566377,0.7749119985943703
2020-06-03,6.192456245422363,6.371401808174697,6.15007479161532,6.258383699834499,9912630,5.850340342521667,5.934397649765015,0.24876107115522433,0.7756689619913549
2020-06-04,6.135946750640869,6.263092450214017,6.046474200236587,6.1218196003863,6477090,5.855049443244934,5.943439111709595,0.25342325208030103,0.7753238553998317
2020-06-05,6.286637306213379,6.357273498784512,6.234837012506852,6.263091758991681,22883040,5.863054871559143,5.961898736953735,0.26472715710686445,0.7722195107155505
2020-06-08,6.479711055755615,6.762256321821275,6.39965645143017,6.404365651471439,33519550,5.883303999900818,5.981206016540527,0.29547352466097726,0.7728692132693447
2020-06-09,6.225419521331787,6.545637460198864,6.1736192238122065,6.526801110853742,16029050,5.899550366401672,6.010967464447021,0.30523986938026504,0.752372876609811
