Price,Close,High,Low,Open,Volume,MA_20,MA_50,Volatility_20,Volatility_50
Ticker,MAHSEAMLES.NS,MAHSEAMLES.NS,MAHSEAMLES.NS,MAHSEAMLES.NS,MAHSEAMLES.NS,,,,
Date,,,,,,,,,
2020-01-10,200.2627410888672,204.6594384936774,198.60806785064312,200.782784134973,107078,,,,
2020-01-13,203.09933471679688,204.0921415987001,200.26275186999135,201.87014593099317,64490,,,,
2020-01-14,200.45184326171875,211.6327038034138,198.5607881366082,201.63375271491284,1335504,,,,
2020-01-15,202.46109008789062,203.7611904912571,194.8023110315621,198.79717076931234,253128,,,,
2020-01-16,200.0736541748047,205.60498220615182,199.22267064317737,205.60498220615182,98138,,,,
2020-01-17,196.64608764648438,200.57002100169848,196.2678679898005,200.07362483508146,52994,,,,
2020-01-20,192.91127014160156,198.51352426977658,191.04386171728106,198.04076045183112,47954,,,,
2020-01-21,193.7386016845703,197.59163824071896,190.5710928449101,190.99657738425475,42988,,,,
2020-01-22,192.69851684570312,196.66972965514165,190.99656437662793,196.19696588193216,36574,,,,
2020-01-23,191.37477111816406,194.63685272085993,190.52380209078586,192.9585326563009,46144,,,,
2020-01-24,192.1311798095703,193.54947102041007,188.63273104168644,191.46931346336595,47602,,,,
2020-01-27,189.90921020507812,192.2966614477077,189.36552033314803,191.94208862389507,30820,,,,
2020-01-28,186.7180633544922,191.682083115541,185.46522777747617,190.97293743539115,46320,,,,
2020-01-29,186.7653350830078,188.60912546152068,185.5597931533091,185.79617505541523,29710,,,,
2020-01-30,184.2596893310547,186.59987589026574,182.46319267885656,185.819804085458,45280,,,,
2020-01-31,183.07777404785156,188.1599846895931,182.01405554144054,183.50325856489485,17178,,,,
2020-02-03,178.7992706298828,184.3778775646425,177.28642073523315,184.3778775646425,21718,,,,
2020-02-04,179.81570434570312,182.43953752064232,177.3100476866712,177.3100476866712,84534,,,,
2020-02-05,179.65023803710938,181.02125012608195,177.54643342589566,179.69751730106134,80138,,,,
2020-02-06,183.2196044921875,184.28332303970979,179.65024358154403,179.65024358154403,37146,190.90319900512696,,7.9183821136849595,
2020-02-07,176.26998901367188,186.3162199516448,171.14049880217382,183.21960834714102,125770,189.70356140136718,,8.236829773701636,
2020-02-10,173.85887145996094,175.8681174251678,172.74787374661966,173.97706239909076,27844,188.24153823852538,,8.328515226696581,
2020-02-11,174.11891174316406,175.70267344940933,173.17338408900056,174.9935277087867,19320,186.92489166259764,,8.377931593729587,
2020-02-12,169.53309631347656,174.6153070060324,168.16208422147102,173.50430922492927,40582,185.27849197387695,,8.399540912424216,
2020-02-13,166.24737548828125,172.13329014814414,164.52179062728052,170.19495582132467,57238,183.5871780395508,,8.665020961185544,
2020-02-14,166.2237548828125,168.56392703508436,164.85274274901593,167.9729722853784,25834,182.0660614013672,,8.918480528940208,
2020-02-17,163.29258728027344,166.72012427709456,162.86710281446472,165.63277348362732,26004,180.5851272583008,,9.465194031961058,
2020-02-18,159.8887176513672,163.5762693985583,157.43034020150264,161.7561259431399,32456,178.89263305664062,,10.000644221020378,
2020-02-19,160.73968505859375,164.52179529526654,159.36867298332098,162.15797639734606,17758,177.29469146728516,,10.229224283076094,
2020-02-20,164.42724609375,164.9472891663077,159.8177989813816,160.73969417489783,19072,175.94731521606445,,10.050183584222015,
2020-02-24,160.97608947753906,169.58039724121414,159.91237082460378,165.42006674205828,31054,174.3895606994629,,9.821581381158998,
2020-02-25,161.47247314453125,162.7253087800911,160.03054929855583,160.95244449687223,11694,172.96772384643555,,9.510008536993094,
2020-02-26,159.32139587402344,161.44883291091693,158.87226450630362,160.73968723195242,16094,171.5978904724121,,9.397610407892325,
2020-02-27,159.510498046875,161.87431696999883,157.45397269823613,159.32139541854625,14522,170.23514862060546,,9.052184728247813,
2020-02-28,151.4262237548828,159.463207526162,148.23506843393372,159.463207526162,58304,168.59347534179688,,9.347346958560262,
2020-03-02,152.7026824951172,157.90308344696328,145.70578516731126,157.90308344696328,40546,167.07472076416016,,9.33774199871973,
2020-03-03,154.3573760986328,155.96477008519543,151.82808695850926,153.41184852681883,7796,165.85262603759764,,9.321933847348804,
2020-03-04,149.03878784179688,155.96477462124733,145.16211891356886,154.5937624877639,59684,164.31378021240235,,9.435228588965106,
2020-03-05,148.9915008544922,152.70269937497793,144.83118540417274,151.28440804951373,50080,162.78084335327148,,9.30199364546641,
2020-03-06,144.45297241210938,147.83324510297362,143.24743050072001,146.55677707994457,37670,160.84251174926757,,8.846765504754837,
2020-03-09,135.39955139160156,142.84558134922966,133.36667279325994,139.96171924202383,44726,158.79898986816406,,9.767986059392838,
2020-03-11,131.47560119628906,140.8835968953934,130.48279444002878,136.06140089504615,35580,156.67982635498046,,10.864737593451489,
2020-03-12,109.49208068847656,130.01002329798294,107.86104007969672,123.01312599698754,132136,153.4484848022461,,14.430483476268597,
2020-03-13,111.5486068725586,117.71817533593749,94.07998751747614,94.07998751747614,98566,150.54926033020018,,16.67856046749157,
2020-03-16,107.24646759033203,110.91038692673179,102.1406172658789,104.2444146678898,141002,147.59921493530274,,18.834401460323637,
2020-03-17,107.31737518310547,109.68119401973775,106.37184764845256,107.27009592085179,35320,144.65389595031738,,20.316202940022247,
2020-03-18,106.51367950439453,107.93197082345758,105.26085117760724,107.31737647576972,65602,141.81495056152343,,21.506788418813493,
2020-03-19,106.91551971435547,112.04500931315813,101.64420676088186,105.8990805322676,64588,139.16629066467286,,22.406881280200807,
