Price,Close,High,Low,Open,Volume,MA_20,MA_50,Volatility_20,Volatility_50
Ticker,MANAPPURAM.NS,MANAPPURAM.NS,MANAPPURAM.NS,MANAPPURAM.NS,MANAPPURAM.NS,,,,
Date,,,,,,,,,
2020-01-10,154.81320190429688,157.79036774522584,154.27189151534887,156.66264923999668,2426271,,,,
2020-01-13,159.50450134277344,160.45178760005925,155.21917120532783,155.21917120532783,3820056,,,,
2020-01-14,159.0985107421875,160.767525644914,158.37676824307377,159.1436084634314,3052632,,,,
2020-01-15,159.36920166015625,159.9556236455905,157.51975399943376,157.51975399943376,2342749,,,,
2020-01-16,165.6843719482422,166.36100294792098,159.2789400776054,160.09089177078278,5370585,,,,
2020-01-17,164.24090576171875,165.81971147589,163.022964418635,165.09796896762163,2976866,,,,
2020-01-20,162.57191467285156,166.9023569579529,161.80507426540538,164.78224043069702,3395156,,,,
2020-01-21,161.62461853027344,163.88005565051782,160.76755517779972,161.75995301714553,2038351,,,,
2020-01-22,161.39903259277344,164.15066791280344,159.73001782010036,162.3914301724866,1961654,,,,
2020-01-23,165.95504760742188,166.4061349962793,161.48928521095246,161.48928521095246,2493374,,,,
2020-01-24,169.38330078125,170.51101916195074,165.41373758762083,165.95503415070107,4454263,,,,
2020-01-27,166.7670440673828,172.67627894346467,165.63932538628364,168.25562721999484,3647175,,,,
2020-01-28,170.05995178222656,171.86430140325814,161.03820367706865,166.76701923028196,9772648,,,,
2020-01-29,168.66159057617188,175.74366887017771,167.53387197942547,175.20235843730097,9137011,,,,
2020-01-30,172.270263671875,173.62352578047745,166.67678304287028,168.52624401117913,5327201,,,,
2020-01-31,169.65394592285156,173.44307670492927,168.93220344862422,173.1724215563324,2802932,,,,
2020-02-03,166.0903778076172,169.24798944832403,164.28602829864187,167.17298475978353,3074054,,,,
2020-02-04,155.8056182861328,165.59422245080574,154.45235579881938,157.97084652549302,31904478,,,,
2020-02-05,152.2419891357422,158.73764458564833,150.3925281441336,157.79035834447376,8733193,,,,
2020-02-06,154.14276123046875,157.67274254117592,152.28725256771907,153.55442180461168,9532629,162.9669075012207,,5.859235275062115,
2020-02-07,151.11058044433594,154.95736078951634,150.06969246361277,154.2785171991904,10039600,162.78177642822266,,6.180130420173974,
2020-02-10,152.1514892578125,156.315055183958,149.70764117097127,149.798159178302,10251803,162.41412582397462,,6.590445086001548,
2020-02-11,149.9792022705078,154.73110828391657,149.39087657424437,154.55008605515172,6704516,161.95816040039062,,7.125644174980896,
2020-02-12,148.3499298095703,152.33248669580507,147.89736746871,151.33684402146974,3869511,161.40719680786134,,7.736214592179573,
2020-02-13,148.53102111816406,150.79383366529567,147.08281556355513,148.98358362759038,3676525,160.5495292663574,,8.175448190142124,
2020-02-14,145.49879455566406,149.61711467544853,145.09149120559897,149.39083350195608,4591788,159.6124237060547,,8.781727822324644,
2020-02-17,152.3778076171875,153.55445913272047,145.49885171611749,146.08717747388397,20303713,159.10271835327148,,8.89601099133187,
2020-02-18,154.36904907226562,155.138396923762,150.8390537987388,152.24200010702089,11525656,158.73993988037108,,8.935607950781229,
2020-02-19,157.718017578125,159.21146817421982,155.22892404389347,156.04353094883425,7135132,158.55588912963867,,8.91584266204651,
2020-02-20,159.3472137451172,162.3793733470792,157.4917052600048,157.89900863207643,7663208,158.22549743652343,,8.748077178693325,
2020-02-24,159.21144104003906,164.1896272600769,155.9982591650828,158.30631627275946,9678931,157.7169044494629,,8.351962911237676,
2020-02-25,161.02171325683594,163.10350327705086,158.53261979619222,160.9312090540239,6568372,157.42963790893555,,8.119880404182855,
2020-02-26,159.4829864501953,161.79105744449225,158.7136386595019,159.30196425303853,4389545,156.900789642334,,7.580496094371048,
2020-02-27,155.7267303466797,161.51952375592128,154.23326608492363,161.3385015514654,6877621,156.25404663085936,,7.058070952594278,
2020-02-28,147.30905151367188,152.01569740196402,146.132386588822,148.6214796251513,8413420,155.00598602294923,,6.23593815837512,
2020-03-02,145.27252197265625,152.33249776532463,143.9148348514165,149.7076277109298,6091156,153.78691482543945,,5.569212696336813,
2020-03-03,146.67547607421875,149.39085046444396,142.3308742876368,148.84777006195557,5460832,152.81616973876953,,4.971798945719098,
2020-03-04,142.73818969726562,147.98791672242368,139.07243119971764,146.67548841891153,5928965,152.16279830932618,,5.398576347323729,
2020-03-05,142.91920471191406,144.09586974967266,140.52062944391713,143.0097227190912,5211279,151.69665908813477,,5.780365772965974,
2020-03-06,136.8549041748047,138.30310977265725,128.7087787618864,134.72786860365443,5366051,150.83226623535157,,6.626067794996993,
2020-03-09,128.9802703857422,134.77306296985205,126.85322180581525,134.77306296985205,8827880,149.7257507324219,,8.230672565413576,
2020-03-11,131.19781494140625,132.96280524246254,123.45899644019907,123.45899644019907,8976158,148.67806701660157,,9.184033114213747,
2020-03-12,118.0689697265625,126.2461205729938,116.38811925969074,124.47440732900968,11379274,147.0825553894043,,11.440678939938305,
2020-03-13,121.97583770751953,125.92813296643305,100.39724444455052,108.12010940182364,10501710,145.76385078430175,,12.733823495868695,
2020-03-16,111.84526062011719,118.1598429347563,110.84583237036242,116.93326465402467,4804913,143.9295627593994,,14.790424056335143,
2020-03-17,93.67382049560547,114.84356187019212,91.4932451759968,112.0269885927991,8676084,141.33831405639648,,18.560373715606172,
2020-03-18,78.77323150634766,97.08096842586434,77.31951691986406,94.49153823558763,15563771,137.6580852508545,,23.018184381265986,
2020-03-19,77.04695129394531,83.58867056545508,67.46150858135913,72.23151423862694,13746461,133.79198036193847,,26.320311687733195,
2020-03-20,88.63123321533203,91.72037357968574,77.68293390918902,80.86293705167044,15515568,130.33764114379883,,27.52109810456325,
